group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,bevy,,,,53847923.0,ns,12
add_remove_component,bevy,,,,54508092.0,ns,12
add_remove_component,bevy,,,,55015032.0,ns,12
add_remove_component,bevy,,,,51895178.0,ns,12
add_remove_component,bevy,,,,51244969.0,ns,12
add_remove_component,bevy,,,,51250848.0,ns,12
add_remove_component,bevy,,,,51617118.0,ns,12
add_remove_component,bevy,,,,51399628.0,ns,12
add_remove_component,bevy,,,,51235068.0,ns,12
add_remove_component,bevy,,,,51337449.0,ns,12
add_remove_component,bevy,,,,51917398.0,ns,12
add_remove_component,bevy,,,,51968637.0,ns,12
add_remove_component,bevy,,,,51366318.0,ns,12
add_remove_component,bevy,,,,51005479.0,ns,12
add_remove_component,bevy,,,,51049609.0,ns,12
add_remove_component,bevy,,,,51268129.0,ns,12
add_remove_component,bevy,,,,51137429.0,ns,12
add_remove_component,bevy,,,,51136949.0,ns,12
add_remove_component,bevy,,,,51394019.0,ns,12
add_remove_component,bevy,,,,51615518.0,ns,12
add_remove_component,bevy,,,,51580538.0,ns,12
add_remove_component,bevy,,,,50999349.0,ns,12
add_remove_component,bevy,,,,51709638.0,ns,12
add_remove_component,bevy,,,,51163379.0,ns,12
add_remove_component,bevy,,,,51115579.0,ns,12
add_remove_component,bevy,,,,51368158.0,ns,12
add_remove_component,bevy,,,,52248547.0,ns,12
add_remove_component,bevy,,,,51601908.0,ns,12
add_remove_component,bevy,,,,51420778.0,ns,12
add_remove_component,bevy,,,,51042449.0,ns,12
add_remove_component,bevy,,,,51894797.0,ns,12
add_remove_component,bevy,,,,51041139.0,ns,12
add_remove_component,bevy,,,,51144759.0,ns,12
add_remove_component,bevy,,,,60568640.0,ns,12
add_remove_component,bevy,,,,53227425.0,ns,12
add_remove_component,bevy,,,,51324458.0,ns,12
add_remove_component,bevy,,,,51095049.0,ns,12
add_remove_component,bevy,,,,51290118.0,ns,12
add_remove_component,bevy,,,,51224438.0,ns,12
add_remove_component,bevy,,,,51143319.0,ns,12
add_remove_component,bevy,,,,51155919.0,ns,12
add_remove_component,bevy,,,,51374158.0,ns,12
add_remove_component,bevy,,,,51227158.0,ns,12
add_remove_component,bevy,,,,51451408.0,ns,12
add_remove_component,bevy,,,,51343598.0,ns,12
add_remove_component,bevy,,,,51521448.0,ns,12
add_remove_component,bevy,,,,51459568.0,ns,12
add_remove_component,bevy,,,,51199308.0,ns,12
add_remove_component,bevy,,,,51259248.0,ns,12
add_remove_component,bevy,,,,51472118.0,ns,12
add_remove_component,bevy,,,,51180989.0,ns,12
add_remove_component,bevy,,,,51552648.0,ns,12
add_remove_component,bevy,,,,51666908.0,ns,12
add_remove_component,bevy,,,,51471448.0,ns,12
add_remove_component,bevy,,,,51275379.0,ns,12
add_remove_component,bevy,,,,51282039.0,ns,12
add_remove_component,bevy,,,,54160203.0,ns,12
add_remove_component,bevy,,,,52625636.0,ns,12
add_remove_component,bevy,,,,54347973.0,ns,12
add_remove_component,bevy,,,,54592593.0,ns,12
add_remove_component,bevy,,,,51070199.0,ns,12
add_remove_component,bevy,,,,53672964.0,ns,12
add_remove_component,bevy,,,,51703308.0,ns,12
add_remove_component,bevy,,,,52502775.0,ns,12
add_remove_component,bevy,,,,53047795.0,ns,12
add_remove_component,bevy,,,,51735837.0,ns,12
add_remove_component,bevy,,,,53522634.0,ns,12
add_remove_component,bevy,,,,51201339.0,ns,12
add_remove_component,bevy,,,,51365219.0,ns,12
add_remove_component,bevy,,,,52952156.0,ns,12
add_remove_component,bevy,,,,50928879.0,ns,12
add_remove_component,bevy,,,,51245519.0,ns,12
add_remove_component,bevy,,,,51221309.0,ns,12
add_remove_component,bevy,,,,51607068.0,ns,12
add_remove_component,bevy,,,,51930667.0,ns,12
add_remove_component,bevy,,,,51162268.0,ns,12
add_remove_component,bevy,,,,51788187.0,ns,12
add_remove_component,bevy,,,,51013399.0,ns,12
add_remove_component,bevy,,,,50763169.0,ns,12
add_remove_component,bevy,,,,51177139.0,ns,12
add_remove_component,bevy,,,,51205599.0,ns,12
add_remove_component,bevy,,,,51103659.0,ns,12
add_remove_component,bevy,,,,53947293.0,ns,12
add_remove_component,bevy,,,,52302346.0,ns,12
add_remove_component,bevy,,,,57156857.0,ns,12
add_remove_component,bevy,,,,54081823.0,ns,12
add_remove_component,bevy,,,,51290608.0,ns,12
add_remove_component,bevy,,,,51322958.0,ns,12
add_remove_component,bevy,,,,51647198.0,ns,12
add_remove_component,bevy,,,,52973716.0,ns,12
add_remove_component,bevy,,,,50949480.0,ns,12
add_remove_component,bevy,,,,51013449.0,ns,12
add_remove_component,bevy,,,,56194838.0,ns,12
add_remove_component,bevy,,,,54949271.0,ns,12
add_remove_component,bevy,,,,51643377.0,ns,12
add_remove_component,bevy,,,,55558800.0,ns,12
add_remove_component,bevy,,,,51685117.0,ns,12
add_remove_component,bevy,,,,53041455.0,ns,12
add_remove_component,bevy,,,,54705522.0,ns,12
add_remove_component,bevy,,,,54788062.0,ns,12
