group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,bevy,,,,55687851.0,ns,11
add_remove_component,bevy,,,,49903295.0,ns,11
add_remove_component,bevy,,,,49284915.0,ns,11
add_remove_component,bevy,,,,49511836.0,ns,11
add_remove_component,bevy,,,,49527505.0,ns,11
add_remove_component,bevy,,,,49645015.0,ns,11
add_remove_component,bevy,,,,49974914.0,ns,11
add_remove_component,bevy,,,,49841084.0,ns,11
add_remove_component,bevy,,,,49957315.0,ns,11
add_remove_component,bevy,,,,50087143.0,ns,11
add_remove_component,bevy,,,,53266998.0,ns,11
add_remove_component,bevy,,,,50792833.0,ns,11
add_remove_component,bevy,,,,53408466.0,ns,11
add_remove_component,bevy,,,,55879462.0,ns,11
add_remove_component,bevy,,,,56884500.0,ns,11
add_remove_component,bevy,,,,68391485.0,ns,11
add_remove_component,bevy,,,,59395744.0,ns,11
add_remove_component,bevy,,,,52440548.0,ns,11
add_remove_component,bevy,,,,55033454.0,ns,11
add_remove_component,bevy,,,,52220129.0,ns,11
add_remove_component,bevy,,,,51698251.0,ns,11
add_remove_component,bevy,,,,50174073.0,ns,11
add_remove_component,bevy,,,,50549363.0,ns,11
add_remove_component,bevy,,,,49639565.0,ns,11
add_remove_component,bevy,,,,49825844.0,ns,11
add_remove_component,bevy,,,,54065535.0,ns,11
add_remove_component,bevy,,,,53435057.0,ns,11
add_remove_component,bevy,,,,63014516.0,ns,11
add_remove_component,bevy,,,,57716248.0,ns,11
add_remove_component,bevy,,,,55300353.0,ns,11
add_remove_component,bevy,,,,54721084.0,ns,11
add_remove_component,bevy,,,,62962297.0,ns,11
add_remove_component,bevy,,,,69346503.0,ns,11
add_remove_component,bevy,,,,60927490.0,ns,11
add_remove_component,bevy,,,,57394409.0,ns,11
add_remove_component,bevy,,,,59138804.0,ns,11
add_remove_component,bevy,,,,55828452.0,ns,11
add_remove_component,bevy,,,,59033074.0,ns,11
add_remove_component,bevy,,,,57047409.0,ns,11
add_remove_component,bevy,,,,62094608.0,ns,11
add_remove_component,bevy,,,,59079305.0,ns,11
add_remove_component,bevy,,,,55781272.0,ns,11
add_remove_component,bevy,,,,59512914.0,ns,11
add_remove_component,bevy,,,,49929683.0,ns,11
add_remove_component,bevy,,,,49709565.0,ns,11
add_remove_component,bevy,,,,50455733.0,ns,11
add_remove_component,bevy,,,,50200204.0,ns,11
add_remove_component,bevy,,,,49715944.0,ns,11
add_remove_component,bevy,,,,53223997.0,ns,11
add_remove_component,bevy,,,,49940274.0,ns,11
add_remove_component,bevy,,,,50062554.0,ns,11
add_remove_component,bevy,,,,51244151.0,ns,11
add_remove_component,bevy,,,,49604164.0,ns,11
add_remove_component,bevy,,,,50047354.0,ns,11
add_remove_component,bevy,,,,49672485.0,ns,11
add_remove_component,bevy,,,,50092514.0,ns,11
add_remove_component,bevy,,,,49423545.0,ns,11
add_remove_component,bevy,,,,49529574.0,ns,11
add_remove_component,bevy,,,,49582525.0,ns,11
add_remove_component,bevy,,,,49572195.0,ns,11
add_remove_component,bevy,,,,49669425.0,ns,11
add_remove_component,bevy,,,,49812964.0,ns,11
add_remove_component,bevy,,,,49629445.0,ns,11
add_remove_component,bevy,,,,50059124.0,ns,11
add_remove_component,bevy,,,,49786954.0,ns,11
add_remove_component,bevy,,,,49912354.0,ns,11
add_remove_component,bevy,,,,49961104.0,ns,11
add_remove_component,bevy,,,,49746134.0,ns,11
add_remove_component,bevy,,,,49534085.0,ns,11
add_remove_component,bevy,,,,50236913.0,ns,11
add_remove_component,bevy,,,,49780884.0,ns,11
add_remove_component,bevy,,,,50240934.0,ns,11
add_remove_component,bevy,,,,49745914.0,ns,11
add_remove_component,bevy,,,,50306903.0,ns,11
add_remove_component,bevy,,,,50219064.0,ns,11
add_remove_component,bevy,,,,50208393.0,ns,11
add_remove_component,bevy,,,,50231733.0,ns,11
add_remove_component,bevy,,,,50130644.0,ns,11
add_remove_component,bevy,,,,50412293.0,ns,11
add_remove_component,bevy,,,,50304903.0,ns,11
add_remove_component,bevy,,,,50090624.0,ns,11
add_remove_component,bevy,,,,49392385.0,ns,11
add_remove_component,bevy,,,,50291103.0,ns,11
add_remove_component,bevy,,,,50391953.0,ns,11
add_remove_component,bevy,,,,49605725.0,ns,11
add_remove_component,bevy,,,,49713605.0,ns,11
add_remove_component,bevy,,,,49764164.0,ns,11
add_remove_component,bevy,,,,49300326.0,ns,11
add_remove_component,bevy,,,,50089933.0,ns,11
add_remove_component,bevy,,,,49912354.0,ns,11
add_remove_component,bevy,,,,50528032.0,ns,11
add_remove_component,bevy,,,,50167844.0,ns,11
add_remove_component,bevy,,,,50412873.0,ns,11
add_remove_component,bevy,,,,50664922.0,ns,11
add_remove_component,bevy,,,,51660910.0,ns,11
add_remove_component,bevy,,,,55588232.0,ns,11
add_remove_component,bevy,,,,54631813.0,ns,11
add_remove_component,bevy,,,,55158593.0,ns,11
add_remove_component,bevy,,,,54779703.0,ns,11
add_remove_component,bevy,,,,53935595.0,ns,11
