group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,ellecs,,,,1319015.0,ns,1
add_remove_component,ellecs,,,,2333281.0,ns,2
add_remove_component,ellecs,,,,3456937.0,ns,3
add_remove_component,ellecs,,,,4886651.0,ns,4
add_remove_component,ellecs,,,,5806477.0,ns,5
add_remove_component,ellecs,,,,8387067.0,ns,6
add_remove_component,ellecs,,,,8524516.0,ns,7
add_remove_component,ellecs,,,,9678762.0,ns,8
add_remove_component,ellecs,,,,10640189.0,ns,9
add_remove_component,ellecs,,,,11188937.0,ns,10
add_remove_component,ellecs,,,,12470252.0,ns,11
add_remove_component,ellecs,,,,13553987.0,ns,12
add_remove_component,ellecs,,,,14768093.0,ns,13
add_remove_component,ellecs,,,,15834968.0,ns,14
add_remove_component,ellecs,,,,17073864.0,ns,15
add_remove_component,ellecs,,,,18189469.0,ns,16
add_remove_component,ellecs,,,,18988146.0,ns,17
add_remove_component,ellecs,,,,20217911.0,ns,18
add_remove_component,ellecs,,,,21580025.0,ns,19
add_remove_component,ellecs,,,,22686881.0,ns,20
add_remove_component,ellecs,,,,23611868.0,ns,21
add_remove_component,ellecs,,,,24764823.0,ns,22
add_remove_component,ellecs,,,,26032878.0,ns,23
add_remove_component,ellecs,,,,27472933.0,ns,24
add_remove_component,ellecs,,,,28413109.0,ns,25
add_remove_component,ellecs,,,,29680074.0,ns,26
add_remove_component,ellecs,,,,30392051.0,ns,27
add_remove_component,ellecs,,,,31290908.0,ns,28
add_remove_component,ellecs,,,,32999332.0,ns,29
add_remove_component,ellecs,,,,33645939.0,ns,30
add_remove_component,ellecs,,,,34779704.0,ns,31
add_remove_component,ellecs,,,,37588003.0,ns,32
add_remove_component,ellecs,,,,37961022.0,ns,33
add_remove_component,ellecs,,,,39293727.0,ns,34
add_remove_component,ellecs,,,,39770664.0,ns,35
add_remove_component,ellecs,,,,40366372.0,ns,36
add_remove_component,ellecs,,,,41330839.0,ns,37
add_remove_component,ellecs,,,,51128280.0,ns,38
add_remove_component,ellecs,,,,44500796.0,ns,39
add_remove_component,ellecs,,,,45116924.0,ns,40
add_remove_component,ellecs,,,,46382639.0,ns,41
add_remove_component,ellecs,,,,48288621.0,ns,42
add_remove_component,ellecs,,,,48849139.0,ns,43
add_remove_component,ellecs,,,,49881305.0,ns,44
add_remove_component,ellecs,,,,52040018.0,ns,45
add_remove_component,ellecs,,,,51283169.0,ns,46
add_remove_component,ellecs,,,,52388945.0,ns,47
add_remove_component,ellecs,,,,54073079.0,ns,48
add_remove_component,ellecs,,,,55332864.0,ns,49
add_remove_component,ellecs,,,,56601359.0,ns,50
add_remove_component,ellecs,,,,57855285.0,ns,51
add_remove_component,ellecs,,,,58942190.0,ns,52
add_remove_component,ellecs,,,,60176375.0,ns,53
add_remove_component,ellecs,,,,61253511.0,ns,54
add_remove_component,ellecs,,,,62053387.0,ns,55
add_remove_component,ellecs,,,,63997790.0,ns,56
add_remove_component,ellecs,,,,63806280.0,ns,57
add_remove_component,ellecs,,,,65183295.0,ns,58
add_remove_component,ellecs,,,,66666699.0,ns,59
add_remove_component,ellecs,,,,67395357.0,ns,60
add_remove_component,ellecs,,,,68757642.0,ns,61
add_remove_component,ellecs,,,,69357628.0,ns,62
add_remove_component,ellecs,,,,70178766.0,ns,63
add_remove_component,ellecs,,,,72374987.0,ns,64
add_remove_component,ellecs,,,,72978555.0,ns,65
add_remove_component,ellecs,,,,74247710.0,ns,66
add_remove_component,ellecs,,,,75949753.0,ns,67
add_remove_component,ellecs,,,,76739090.0,ns,68
add_remove_component,ellecs,,,,78246255.0,ns,69
add_remove_component,ellecs,,,,79130750.0,ns,70
add_remove_component,ellecs,,,,79750689.0,ns,71
add_remove_component,ellecs,,,,81841860.0,ns,72
add_remove_component,ellecs,,,,81806131.0,ns,73
add_remove_component,ellecs,,,,83782893.0,ns,74
add_remove_component,ellecs,,,,84772579.0,ns,75
add_remove_component,ellecs,,,,86397312.0,ns,76
add_remove_component,ellecs,,,,86032864.0,ns,77
add_remove_component,ellecs,,,,88894023.0,ns,78
add_remove_component,ellecs,,,,88626394.0,ns,79
add_remove_component,ellecs,,,,89776240.0,ns,80
add_remove_component,ellecs,,,,90853036.0,ns,81
add_remove_component,ellecs,,,,91626912.0,ns,82
add_remove_component,ellecs,,,,93477245.0,ns,83
add_remove_component,ellecs,,,,94430221.0,ns,84
add_remove_component,ellecs,,,,94977299.0,ns,85
add_remove_component,ellecs,,,,97490179.0,ns,86
add_remove_component,ellecs,,,,98687155.0,ns,87
add_remove_component,ellecs,,,,100078789.0,ns,88
add_remove_component,ellecs,,,,103080668.0,ns,89
add_remove_component,ellecs,,,,102561640.0,ns,90
add_remove_component,ellecs,,,,103191457.0,ns,91
add_remove_component,ellecs,,,,106571924.0,ns,92
add_remove_component,ellecs,,,,105157179.0,ns,93
add_remove_component,ellecs,,,,105774477.0,ns,94
add_remove_component,ellecs,,,,106670934.0,ns,95
add_remove_component,ellecs,,,,108413848.0,ns,96
add_remove_component,ellecs,,,,108707806.0,ns,97
add_remove_component,ellecs,,,,110053420.0,ns,98
add_remove_component,ellecs,,,,110835147.0,ns,99
add_remove_component,ellecs,,,,112102553.0,ns,100
