group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,hecs,,,,51698043.0,ns,14
add_remove_component,hecs,,,,51548783.0,ns,14
add_remove_component,hecs,,,,50001225.0,ns,14
add_remove_component,hecs,,,,49756677.0,ns,14
add_remove_component,hecs,,,,50111516.0,ns,14
add_remove_component,hecs,,,,50003657.0,ns,14
add_remove_component,hecs,,,,50783004.0,ns,14
add_remove_component,hecs,,,,49714377.0,ns,14
add_remove_component,hecs,,,,49667467.0,ns,14
add_remove_component,hecs,,,,51289233.0,ns,14
add_remove_component,hecs,,,,50663264.0,ns,14
add_remove_component,hecs,,,,51045604.0,ns,14
add_remove_component,hecs,,,,49688217.0,ns,14
add_remove_component,hecs,,,,54667636.0,ns,14
add_remove_component,hecs,,,,52893510.0,ns,14
add_remove_component,hecs,,,,51652323.0,ns,14
add_remove_component,hecs,,,,52094432.0,ns,14
add_remove_component,hecs,,,,52583831.0,ns,14
add_remove_component,hecs,,,,52416021.0,ns,14
add_remove_component,hecs,,,,50383166.0,ns,14
add_remove_component,hecs,,,,51361764.0,ns,14
add_remove_component,hecs,,,,49478007.0,ns,14
add_remove_component,hecs,,,,49785517.0,ns,14
add_remove_component,hecs,,,,49667067.0,ns,14
add_remove_component,hecs,,,,49537128.0,ns,14
add_remove_component,hecs,,,,49885266.0,ns,14
add_remove_component,hecs,,,,49823967.0,ns,14
add_remove_component,hecs,,,,49842296.0,ns,14
add_remove_component,hecs,,,,49820607.0,ns,14
add_remove_component,hecs,,,,49900727.0,ns,14
add_remove_component,hecs,,,,49871996.0,ns,14
add_remove_component,hecs,,,,49839437.0,ns,14
add_remove_component,hecs,,,,49805427.0,ns,14
add_remove_component,hecs,,,,49906246.0,ns,14
add_remove_component,hecs,,,,49906796.0,ns,14
add_remove_component,hecs,,,,49785406.0,ns,14
add_remove_component,hecs,,,,49959636.0,ns,14
add_remove_component,hecs,,,,49726997.0,ns,14
add_remove_component,hecs,,,,49402177.0,ns,14
add_remove_component,hecs,,,,49484868.0,ns,14
add_remove_component,hecs,,,,49818277.0,ns,14
add_remove_component,hecs,,,,49822216.0,ns,14
add_remove_component,hecs,,,,49858537.0,ns,14
add_remove_component,hecs,,,,49880296.0,ns,14
add_remove_component,hecs,,,,49907856.0,ns,14
add_remove_component,hecs,,,,49877377.0,ns,14
add_remove_component,hecs,,,,49843306.0,ns,14
add_remove_component,hecs,,,,49489408.0,ns,14
add_remove_component,hecs,,,,49843646.0,ns,14
add_remove_component,hecs,,,,49512888.0,ns,14
add_remove_component,hecs,,,,49868276.0,ns,14
add_remove_component,hecs,,,,49960016.0,ns,14
add_remove_component,hecs,,,,49871786.0,ns,14
add_remove_component,hecs,,,,49455678.0,ns,14
add_remove_component,hecs,,,,49787236.0,ns,14
add_remove_component,hecs,,,,49819036.0,ns,14
add_remove_component,hecs,,,,49806687.0,ns,14
add_remove_component,hecs,,,,49846126.0,ns,14
add_remove_component,hecs,,,,49803337.0,ns,14
add_remove_component,hecs,,,,49860276.0,ns,14
add_remove_component,hecs,,,,49443108.0,ns,14
add_remove_component,hecs,,,,49420497.0,ns,14
add_remove_component,hecs,,,,49883586.0,ns,14
add_remove_component,hecs,,,,49983146.0,ns,14
add_remove_component,hecs,,,,49429758.0,ns,14
add_remove_component,hecs,,,,49345947.0,ns,14
add_remove_component,hecs,,,,49807587.0,ns,14
add_remove_component,hecs,,,,49403637.0,ns,14
add_remove_component,hecs,,,,49686447.0,ns,14
add_remove_component,hecs,,,,49860826.0,ns,14
add_remove_component,hecs,,,,49803986.0,ns,14
add_remove_component,hecs,,,,49758366.0,ns,14
add_remove_component,hecs,,,,49827826.0,ns,14
add_remove_component,hecs,,,,49310718.0,ns,14
add_remove_component,hecs,,,,49716856.0,ns,14
add_remove_component,hecs,,,,49799207.0,ns,14
add_remove_component,hecs,,,,49743957.0,ns,14
add_remove_component,hecs,,,,49854797.0,ns,14
add_remove_component,hecs,,,,49808666.0,ns,14
add_remove_component,hecs,,,,49828197.0,ns,14
add_remove_component,hecs,,,,49806106.0,ns,14
add_remove_component,hecs,,,,49778067.0,ns,14
add_remove_component,hecs,,,,49386087.0,ns,14
add_remove_component,hecs,,,,49872866.0,ns,14
add_remove_component,hecs,,,,49898947.0,ns,14
add_remove_component,hecs,,,,49803066.0,ns,14
add_remove_component,hecs,,,,49455238.0,ns,14
add_remove_component,hecs,,,,49839776.0,ns,14
add_remove_component,hecs,,,,49480797.0,ns,14
add_remove_component,hecs,,,,49459778.0,ns,14
add_remove_component,hecs,,,,49898916.0,ns,14
add_remove_component,hecs,,,,49393747.0,ns,14
add_remove_component,hecs,,,,49772577.0,ns,14
add_remove_component,hecs,,,,49833066.0,ns,14
add_remove_component,hecs,,,,49687156.0,ns,14
add_remove_component,hecs,,,,49872046.0,ns,14
add_remove_component,hecs,,,,49459937.0,ns,14
add_remove_component,hecs,,,,49743817.0,ns,14
add_remove_component,hecs,,,,49815146.0,ns,14
add_remove_component,hecs,,,,49894305.0,ns,14
