group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,legion,,,,53241842.0,ns,17
add_remove_component,legion,,,,53375841.0,ns,17
add_remove_component,legion,,,,52470473.0,ns,17
add_remove_component,legion,,,,53660920.0,ns,17
add_remove_component,legion,,,,52931802.0,ns,17
add_remove_component,legion,,,,52919822.0,ns,17
add_remove_component,legion,,,,53632461.0,ns,17
add_remove_component,legion,,,,52855762.0,ns,17
add_remove_component,legion,,,,54334329.0,ns,17
add_remove_component,legion,,,,53266881.0,ns,17
add_remove_component,legion,,,,52498422.0,ns,17
add_remove_component,legion,,,,52978872.0,ns,17
add_remove_component,legion,,,,54194469.0,ns,17
add_remove_component,legion,,,,54278810.0,ns,17
add_remove_component,legion,,,,53867420.0,ns,17
add_remove_component,legion,,,,53863070.0,ns,17
add_remove_component,legion,,,,52979341.0,ns,17
add_remove_component,legion,,,,54931227.0,ns,17
add_remove_component,legion,,,,53595850.0,ns,17
add_remove_component,legion,,,,54791988.0,ns,17
add_remove_component,legion,,,,53155961.0,ns,17
add_remove_component,legion,,,,52471923.0,ns,17
add_remove_component,legion,,,,58926449.0,ns,17
add_remove_component,legion,,,,60518376.0,ns,17
add_remove_component,legion,,,,56207045.0,ns,17
add_remove_component,legion,,,,58322620.0,ns,17
add_remove_component,legion,,,,56051345.0,ns,17
add_remove_component,legion,,,,56168165.0,ns,17
add_remove_component,legion,,,,52217244.0,ns,17
add_remove_component,legion,,,,53405171.0,ns,17
add_remove_component,legion,,,,53867620.0,ns,17
add_remove_component,legion,,,,56812574.0,ns,17
add_remove_component,legion,,,,60797126.0,ns,17
add_remove_component,legion,,,,63580289.0,ns,17
add_remove_component,legion,,,,64220198.0,ns,17
add_remove_component,legion,,,,64071869.0,ns,17
add_remove_component,legion,,,,54558928.0,ns,17
add_remove_component,legion,,,,53172381.0,ns,17
add_remove_component,legion,,,,54012170.0,ns,17
add_remove_component,legion,,,,53471170.0,ns,17
add_remove_component,legion,,,,53632551.0,ns,17
add_remove_component,legion,,,,55392707.0,ns,17
add_remove_component,legion,,,,52949572.0,ns,17
add_remove_component,legion,,,,56456494.0,ns,17
add_remove_component,legion,,,,54606018.0,ns,17
add_remove_component,legion,,,,54900078.0,ns,17
add_remove_component,legion,,,,55310927.0,ns,17
add_remove_component,legion,,,,53301791.0,ns,17
add_remove_component,legion,,,,53513630.0,ns,17
add_remove_component,legion,,,,52886892.0,ns,17
add_remove_component,legion,,,,53424060.0,ns,17
add_remove_component,legion,,,,53420530.0,ns,17
add_remove_component,legion,,,,55477896.0,ns,17
add_remove_component,legion,,,,53594980.0,ns,17
add_remove_component,legion,,,,52553592.0,ns,17
add_remove_component,legion,,,,53287911.0,ns,17
add_remove_component,legion,,,,52748001.0,ns,17
add_remove_component,legion,,,,54675708.0,ns,17
add_remove_component,legion,,,,55391957.0,ns,17
add_remove_component,legion,,,,53547140.0,ns,17
add_remove_component,legion,,,,55072997.0,ns,17
add_remove_component,legion,,,,56769404.0,ns,17
add_remove_component,legion,,,,51892504.0,ns,17
add_remove_component,legion,,,,54111330.0,ns,17
add_remove_component,legion,,,,53698580.0,ns,17
add_remove_component,legion,,,,53398810.0,ns,17
add_remove_component,legion,,,,53345892.0,ns,17
add_remove_component,legion,,,,53661640.0,ns,17
add_remove_component,legion,,,,53574520.0,ns,17
add_remove_component,legion,,,,54554269.0,ns,17
add_remove_component,legion,,,,53475430.0,ns,17
add_remove_component,legion,,,,54361409.0,ns,17
add_remove_component,legion,,,,53529890.0,ns,17
add_remove_component,legion,,,,53271191.0,ns,17
add_remove_component,legion,,,,53650450.0,ns,17
add_remove_component,legion,,,,53592741.0,ns,17
add_remove_component,legion,,,,53589000.0,ns,17
add_remove_component,legion,,,,51800334.0,ns,17
add_remove_component,legion,,,,53895269.0,ns,17
add_remove_component,legion,,,,53330502.0,ns,17
add_remove_component,legion,,,,55138347.0,ns,17
add_remove_component,legion,,,,53406830.0,ns,17
add_remove_component,legion,,,,54340510.0,ns,17
add_remove_component,legion,,,,53622080.0,ns,17
add_remove_component,legion,,,,53828990.0,ns,17
add_remove_component,legion,,,,53299660.0,ns,17
add_remove_component,legion,,,,53359562.0,ns,17
add_remove_component,legion,,,,54754477.0,ns,17
add_remove_component,legion,,,,53859359.0,ns,17
add_remove_component,legion,,,,53409570.0,ns,17
add_remove_component,legion,,,,53364320.0,ns,17
add_remove_component,legion,,,,53101291.0,ns,17
add_remove_component,legion,,,,54669137.0,ns,17
add_remove_component,legion,,,,56285245.0,ns,17
add_remove_component,legion,,,,53343390.0,ns,17
add_remove_component,legion,,,,52948592.0,ns,17
add_remove_component,legion,,,,53991489.0,ns,17
add_remove_component,legion,,,,53687651.0,ns,17
add_remove_component,legion,,,,54418508.0,ns,17
add_remove_component,legion,,,,54807547.0,ns,17
