group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,legion_0.2.4,,,,53052270.0,ns,20
add_remove_component,legion_0.2.4,,,,49954458.0,ns,20
add_remove_component,legion_0.2.4,,,,52981211.0,ns,20
add_remove_component,legion_0.2.4,,,,49999287.0,ns,20
add_remove_component,legion_0.2.4,,,,52064463.0,ns,20
add_remove_component,legion_0.2.4,,,,50652526.0,ns,20
add_remove_component,legion_0.2.4,,,,58615170.0,ns,20
add_remove_component,legion_0.2.4,,,,57723191.0,ns,20
add_remove_component,legion_0.2.4,,,,56362164.0,ns,20
add_remove_component,legion_0.2.4,,,,56350264.0,ns,20
add_remove_component,legion_0.2.4,,,,53800399.0,ns,20
add_remove_component,legion_0.2.4,,,,49968228.0,ns,20
add_remove_component,legion_0.2.4,,,,49993976.0,ns,20
add_remove_component,legion_0.2.4,,,,50119207.0,ns,20
add_remove_component,legion_0.2.4,,,,50027347.0,ns,20
add_remove_component,legion_0.2.4,,,,50130167.0,ns,20
add_remove_component,legion_0.2.4,,,,50301906.0,ns,20
add_remove_component,legion_0.2.4,,,,50189596.0,ns,20
add_remove_component,legion_0.2.4,,,,51071685.0,ns,20
add_remove_component,legion_0.2.4,,,,50149377.0,ns,20
add_remove_component,legion_0.2.4,,,,49988467.0,ns,20
add_remove_component,legion_0.2.4,,,,50228407.0,ns,20
add_remove_component,legion_0.2.4,,,,50081037.0,ns,20
add_remove_component,legion_0.2.4,,,,50147187.0,ns,20
add_remove_component,legion_0.2.4,,,,50110067.0,ns,20
add_remove_component,legion_0.2.4,,,,51731943.0,ns,20
add_remove_component,legion_0.2.4,,,,50168297.0,ns,20
add_remove_component,legion_0.2.4,,,,50139967.0,ns,20
add_remove_component,legion_0.2.4,,,,50075137.0,ns,20
add_remove_component,legion_0.2.4,,,,50114666.0,ns,20
add_remove_component,legion_0.2.4,,,,50111237.0,ns,20
add_remove_component,legion_0.2.4,,,,50071667.0,ns,20
add_remove_component,legion_0.2.4,,,,50102436.0,ns,20
add_remove_component,legion_0.2.4,,,,50194616.0,ns,20
add_remove_component,legion_0.2.4,,,,50136356.0,ns,20
add_remove_component,legion_0.2.4,,,,50092397.0,ns,20
add_remove_component,legion_0.2.4,,,,50079236.0,ns,20
add_remove_component,legion_0.2.4,,,,50270647.0,ns,20
add_remove_component,legion_0.2.4,,,,50150096.0,ns,20
add_remove_component,legion_0.2.4,,,,50058008.0,ns,20
add_remove_component,legion_0.2.4,,,,50093416.0,ns,20
add_remove_component,legion_0.2.4,,,,50167637.0,ns,20
add_remove_component,legion_0.2.4,,,,50206827.0,ns,20
add_remove_component,legion_0.2.4,,,,50092037.0,ns,20
add_remove_component,legion_0.2.4,,,,50029236.0,ns,20
add_remove_component,legion_0.2.4,,,,50161877.0,ns,20
add_remove_component,legion_0.2.4,,,,51936662.0,ns,20
add_remove_component,legion_0.2.4,,,,54918347.0,ns,20
add_remove_component,legion_0.2.4,,,,59550117.0,ns,20
add_remove_component,legion_0.2.4,,,,59059988.0,ns,20
add_remove_component,legion_0.2.4,,,,58921349.0,ns,20
add_remove_component,legion_0.2.4,,,,53184580.0,ns,20
add_remove_component,legion_0.2.4,,,,50106437.0,ns,20
add_remove_component,legion_0.2.4,,,,50027237.0,ns,20
add_remove_component,legion_0.2.4,,,,50112477.0,ns,20
add_remove_component,legion_0.2.4,,,,50063266.0,ns,20
add_remove_component,legion_0.2.4,,,,50009397.0,ns,20
add_remove_component,legion_0.2.4,,,,50034127.0,ns,20
add_remove_component,legion_0.2.4,,,,50056317.0,ns,20
add_remove_component,legion_0.2.4,,,,50024557.0,ns,20
add_remove_component,legion_0.2.4,,,,52164302.0,ns,20
add_remove_component,legion_0.2.4,,,,50057297.0,ns,20
add_remove_component,legion_0.2.4,,,,50132037.0,ns,20
add_remove_component,legion_0.2.4,,,,50084446.0,ns,20
add_remove_component,legion_0.2.4,,,,50116516.0,ns,20
add_remove_component,legion_0.2.4,,,,50005666.0,ns,20
add_remove_component,legion_0.2.4,,,,50090387.0,ns,20
add_remove_component,legion_0.2.4,,,,50021916.0,ns,20
add_remove_component,legion_0.2.4,,,,50033817.0,ns,20
add_remove_component,legion_0.2.4,,,,50008967.0,ns,20
add_remove_component,legion_0.2.4,,,,50093227.0,ns,20
add_remove_component,legion_0.2.4,,,,50080356.0,ns,20
add_remove_component,legion_0.2.4,,,,51541505.0,ns,20
add_remove_component,legion_0.2.4,,,,50043156.0,ns,20
add_remove_component,legion_0.2.4,,,,50010637.0,ns,20
add_remove_component,legion_0.2.4,,,,49998457.0,ns,20
add_remove_component,legion_0.2.4,,,,49989977.0,ns,20
add_remove_component,legion_0.2.4,,,,50024747.0,ns,20
add_remove_component,legion_0.2.4,,,,50069386.0,ns,20
add_remove_component,legion_0.2.4,,,,49978917.0,ns,20
add_remove_component,legion_0.2.4,,,,50041276.0,ns,20
add_remove_component,legion_0.2.4,,,,50071717.0,ns,20
add_remove_component,legion_0.2.4,,,,50041526.0,ns,20
add_remove_component,legion_0.2.4,,,,50105176.0,ns,20
add_remove_component,legion_0.2.4,,,,51456614.0,ns,20
add_remove_component,legion_0.2.4,,,,50120396.0,ns,20
add_remove_component,legion_0.2.4,,,,50117126.0,ns,20
add_remove_component,legion_0.2.4,,,,50130757.0,ns,20
add_remove_component,legion_0.2.4,,,,50138687.0,ns,20
add_remove_component,legion_0.2.4,,,,50038907.0,ns,20
add_remove_component,legion_0.2.4,,,,50065216.0,ns,20
add_remove_component,legion_0.2.4,,,,50361016.0,ns,20
add_remove_component,legion_0.2.4,,,,50046297.0,ns,20
add_remove_component,legion_0.2.4,,,,49992696.0,ns,20
add_remove_component,legion_0.2.4,,,,49955007.0,ns,20
add_remove_component,legion_0.2.4,,,,49905028.0,ns,20
add_remove_component,legion_0.2.4,,,,50065176.0,ns,20
add_remove_component,legion_0.2.4,,,,49944297.0,ns,20
add_remove_component,legion_0.2.4,,,,49968817.0,ns,20
add_remove_component,legion_0.2.4,,,,49914857.0,ns,20
