group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,shipyard,,,,1021096.0,ns,6
add_remove_component,shipyard,,,,2147921.0,ns,12
add_remove_component,shipyard,,,,3046178.0,ns,18
add_remove_component,shipyard,,,,4095454.0,ns,24
add_remove_component,shipyard,,,,5044921.0,ns,30
add_remove_component,shipyard,,,,6523555.0,ns,36
add_remove_component,shipyard,,,,8520387.0,ns,42
add_remove_component,shipyard,,,,9048225.0,ns,48
add_remove_component,shipyard,,,,9473193.0,ns,54
add_remove_component,shipyard,,,,10321010.0,ns,60
add_remove_component,shipyard,,,,13672928.0,ns,66
add_remove_component,shipyard,,,,12753490.0,ns,72
add_remove_component,shipyard,,,,14893581.0,ns,78
add_remove_component,shipyard,,,,14227234.0,ns,84
add_remove_component,shipyard,,,,18343580.0,ns,90
add_remove_component,shipyard,,,,16779944.0,ns,96
add_remove_component,shipyard,,,,20331220.0,ns,102
add_remove_component,shipyard,,,,18972816.0,ns,108
add_remove_component,shipyard,,,,23210720.0,ns,114
add_remove_component,shipyard,,,,24314286.0,ns,120
add_remove_component,shipyard,,,,25177061.0,ns,126
add_remove_component,shipyard,,,,22318723.0,ns,132
add_remove_component,shipyard,,,,25600030.0,ns,138
add_remove_component,shipyard,,,,25588571.0,ns,144
add_remove_component,shipyard,,,,29618385.0,ns,150
add_remove_component,shipyard,,,,27462373.0,ns,156
add_remove_component,shipyard,,,,32819573.0,ns,162
add_remove_component,shipyard,,,,30533271.0,ns,168
add_remove_component,shipyard,,,,34145818.0,ns,174
add_remove_component,shipyard,,,,31270989.0,ns,180
add_remove_component,shipyard,,,,35953660.0,ns,186
add_remove_component,shipyard,,,,33731269.0,ns,192
add_remove_component,shipyard,,,,38316701.0,ns,198
add_remove_component,shipyard,,,,35562442.0,ns,204
add_remove_component,shipyard,,,,41167250.0,ns,210
add_remove_component,shipyard,,,,36726426.0,ns,216
add_remove_component,shipyard,,,,44820465.0,ns,222
add_remove_component,shipyard,,,,38997489.0,ns,228
add_remove_component,shipyard,,,,47561475.0,ns,234
add_remove_component,shipyard,,,,41502199.0,ns,240
add_remove_component,shipyard,,,,51649629.0,ns,246
add_remove_component,shipyard,,,,45489783.0,ns,252
add_remove_component,shipyard,,,,50084325.0,ns,258
add_remove_component,shipyard,,,,46453219.0,ns,264
add_remove_component,shipyard,,,,55479894.0,ns,270
add_remove_component,shipyard,,,,48077883.0,ns,276
add_remove_component,shipyard,,,,53723191.0,ns,282
add_remove_component,shipyard,,,,48859719.0,ns,288
add_remove_component,shipyard,,,,57603385.0,ns,294
add_remove_component,shipyard,,,,51339690.0,ns,300
add_remove_component,shipyard,,,,60703984.0,ns,306
add_remove_component,shipyard,,,,52988683.0,ns,312
add_remove_component,shipyard,,,,64915937.0,ns,318
add_remove_component,shipyard,,,,55469375.0,ns,324
add_remove_component,shipyard,,,,65108226.0,ns,330
add_remove_component,shipyard,,,,56833398.0,ns,336
add_remove_component,shipyard,,,,66952960.0,ns,342
add_remove_component,shipyard,,,,60988482.0,ns,348
add_remove_component,shipyard,,,,69252970.0,ns,354
add_remove_component,shipyard,,,,61879769.0,ns,360
add_remove_component,shipyard,,,,74750609.0,ns,366
add_remove_component,shipyard,,,,64263810.0,ns,372
add_remove_component,shipyard,,,,75463116.0,ns,378
add_remove_component,shipyard,,,,65231346.0,ns,384
add_remove_component,shipyard,,,,77382760.0,ns,390
add_remove_component,shipyard,,,,67076749.0,ns,396
add_remove_component,shipyard,,,,78872243.0,ns,402
add_remove_component,shipyard,,,,70114287.0,ns,408
add_remove_component,shipyard,,,,82397630.0,ns,414
add_remove_component,shipyard,,,,73115076.0,ns,420
add_remove_component,shipyard,,,,84768270.0,ns,426
add_remove_component,shipyard,,,,74624109.0,ns,432
add_remove_component,shipyard,,,,86028355.0,ns,438
add_remove_component,shipyard,,,,76123104.0,ns,444
add_remove_component,shipyard,,,,92689360.0,ns,450
add_remove_component,shipyard,,,,81275654.0,ns,456
add_remove_component,shipyard,,,,92243901.0,ns,462
add_remove_component,shipyard,,,,79701600.0,ns,468
add_remove_component,shipyard,,,,96069677.0,ns,474
add_remove_component,shipyard,,,,81857971.0,ns,480
add_remove_component,shipyard,,,,94778162.0,ns,486
add_remove_component,shipyard,,,,83730734.0,ns,492
add_remove_component,shipyard,,,,99454223.0,ns,498
add_remove_component,shipyard,,,,85657377.0,ns,504
add_remove_component,shipyard,,,,98417048.0,ns,510
add_remove_component,shipyard,,,,88499586.0,ns,516
add_remove_component,shipyard,,,,106983085.0,ns,522
add_remove_component,shipyard,,,,90572048.0,ns,528
add_remove_component,shipyard,,,,106540045.0,ns,534
add_remove_component,shipyard,,,,94224523.0,ns,540
add_remove_component,shipyard,,,,111041549.0,ns,546
add_remove_component,shipyard,,,,99105004.0,ns,552
add_remove_component,shipyard,,,,111923056.0,ns,558
add_remove_component,shipyard,,,,95671098.0,ns,564
add_remove_component,shipyard,,,,115954460.0,ns,570
add_remove_component,shipyard,,,,97197293.0,ns,576
add_remove_component,shipyard,,,,113784328.0,ns,582
add_remove_component,shipyard,,,,98877996.0,ns,588
add_remove_component,shipyard,,,,119282727.0,ns,594
add_remove_component,shipyard,,,,100897518.0,ns,600
