group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,shipyard,,,,1196327.0,ns,4
add_remove_component,shipyard,,,,2330285.0,ns,8
add_remove_component,shipyard,,,,3497513.0,ns,12
add_remove_component,shipyard,,,,4546531.0,ns,16
add_remove_component,shipyard,,,,5446279.0,ns,20
add_remove_component,shipyard,,,,6842675.0,ns,24
add_remove_component,shipyard,,,,8542382.0,ns,28
add_remove_component,shipyard,,,,9503561.0,ns,32
add_remove_component,shipyard,,,,10171659.0,ns,36
add_remove_component,shipyard,,,,11741725.0,ns,40
add_remove_component,shipyard,,,,12670273.0,ns,44
add_remove_component,shipyard,,,,14271460.0,ns,48
add_remove_component,shipyard,,,,14977009.0,ns,52
add_remove_component,shipyard,,,,18913681.0,ns,56
add_remove_component,shipyard,,,,18781631.0,ns,60
add_remove_component,shipyard,,,,17309954.0,ns,64
add_remove_component,shipyard,,,,18483362.0,ns,68
add_remove_component,shipyard,,,,19614699.0,ns,72
add_remove_component,shipyard,,,,20300378.0,ns,76
add_remove_component,shipyard,,,,22126534.0,ns,80
add_remove_component,shipyard,,,,22394263.0,ns,84
add_remove_component,shipyard,,,,23474311.0,ns,88
add_remove_component,shipyard,,,,24808568.0,ns,92
add_remove_component,shipyard,,,,26844154.0,ns,96
add_remove_component,shipyard,,,,26604973.0,ns,100
add_remove_component,shipyard,,,,28876430.0,ns,104
add_remove_component,shipyard,,,,28746640.0,ns,108
add_remove_component,shipyard,,,,30447146.0,ns,112
add_remove_component,shipyard,,,,31596314.0,ns,116
add_remove_component,shipyard,,,,32590022.0,ns,120
add_remove_component,shipyard,,,,33939689.0,ns,124
add_remove_component,shipyard,,,,35776395.0,ns,128
add_remove_component,shipyard,,,,36946203.0,ns,132
add_remove_component,shipyard,,,,38617499.0,ns,136
add_remove_component,shipyard,,,,37996681.0,ns,140
add_remove_component,shipyard,,,,38320030.0,ns,144
add_remove_component,shipyard,,,,40964665.0,ns,148
add_remove_component,shipyard,,,,42218692.0,ns,152
add_remove_component,shipyard,,,,42778770.0,ns,156
add_remove_component,shipyard,,,,46679852.0,ns,160
add_remove_component,shipyard,,,,45550135.0,ns,164
add_remove_component,shipyard,,,,47647341.0,ns,168
add_remove_component,shipyard,,,,45721244.0,ns,172
add_remove_component,shipyard,,,,47402522.0,ns,176
add_remove_component,shipyard,,,,48945848.0,ns,180
add_remove_component,shipyard,,,,48906038.0,ns,184
add_remove_component,shipyard,,,,51815451.0,ns,188
add_remove_component,shipyard,,,,52345761.0,ns,192
add_remove_component,shipyard,,,,53165939.0,ns,196
add_remove_component,shipyard,,,,53198499.0,ns,200
add_remove_component,shipyard,,,,54372555.0,ns,204
add_remove_component,shipyard,,,,56744351.0,ns,208
add_remove_component,shipyard,,,,57606140.0,ns,212
add_remove_component,shipyard,,,,59995015.0,ns,216
add_remove_component,shipyard,,,,59119686.0,ns,220
add_remove_component,shipyard,,,,59590496.0,ns,224
add_remove_component,shipyard,,,,62237029.0,ns,228
add_remove_component,shipyard,,,,62876509.0,ns,232
add_remove_component,shipyard,,,,62713738.0,ns,236
add_remove_component,shipyard,,,,65468134.0,ns,240
add_remove_component,shipyard,,,,64899985.0,ns,244
add_remove_component,shipyard,,,,65947602.0,ns,248
add_remove_component,shipyard,,,,68338237.0,ns,252
add_remove_component,shipyard,,,,68093857.0,ns,256
add_remove_component,shipyard,,,,69170935.0,ns,260
add_remove_component,shipyard,,,,70220273.0,ns,264
add_remove_component,shipyard,,,,71322831.0,ns,268
add_remove_component,shipyard,,,,72344688.0,ns,272
add_remove_component,shipyard,,,,75427663.0,ns,276
add_remove_component,shipyard,,,,74475294.0,ns,280
add_remove_component,shipyard,,,,75529431.0,ns,284
add_remove_component,shipyard,,,,76609200.0,ns,288
add_remove_component,shipyard,,,,77673918.0,ns,292
add_remove_component,shipyard,,,,80097222.0,ns,296
add_remove_component,shipyard,,,,81383070.0,ns,300
add_remove_component,shipyard,,,,80869041.0,ns,304
add_remove_component,shipyard,,,,82382718.0,ns,308
add_remove_component,shipyard,,,,83402206.0,ns,312
add_remove_component,shipyard,,,,84135193.0,ns,316
add_remove_component,shipyard,,,,85271581.0,ns,320
add_remove_component,shipyard,,,,87533507.0,ns,324
add_remove_component,shipyard,,,,88013036.0,ns,328
add_remove_component,shipyard,,,,88719255.0,ns,332
add_remove_component,shipyard,,,,89688012.0,ns,336
add_remove_component,shipyard,,,,92530496.0,ns,340
add_remove_component,shipyard,,,,91552078.0,ns,344
add_remove_component,shipyard,,,,93108005.0,ns,348
add_remove_component,shipyard,,,,93943954.0,ns,352
add_remove_component,shipyard,,,,96555298.0,ns,356
add_remove_component,shipyard,,,,98146724.0,ns,360
add_remove_component,shipyard,,,,97157307.0,ns,364
add_remove_component,shipyard,,,,98844563.0,ns,368
add_remove_component,shipyard,,,,98964472.0,ns,372
add_remove_component,shipyard,,,,100059559.0,ns,376
add_remove_component,shipyard,,,,101121188.0,ns,380
add_remove_component,shipyard,,,,102385606.0,ns,384
add_remove_component,shipyard,,,,103313404.0,ns,388
add_remove_component,shipyard,,,,106448767.0,ns,392
add_remove_component,shipyard,,,,105482869.0,ns,396
add_remove_component,shipyard,,,,107057386.0,ns,400
