group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,specs,,,,996288.0,ns,9
add_remove_component,specs,,,,1980026.0,ns,18
add_remove_component,specs,,,,2960944.0,ns,27
add_remove_component,specs,,,,3942061.0,ns,36
add_remove_component,specs,,,,4917070.0,ns,45
add_remove_component,specs,,,,5904288.0,ns,54
add_remove_component,specs,,,,6892195.0,ns,63
add_remove_component,specs,,,,7878763.0,ns,72
add_remove_component,specs,,,,9239191.0,ns,81
add_remove_component,specs,,,,10257888.0,ns,90
add_remove_component,specs,,,,10903577.0,ns,99
add_remove_component,specs,,,,11791505.0,ns,108
add_remove_component,specs,,,,12811973.0,ns,117
add_remove_component,specs,,,,13746591.0,ns,126
add_remove_component,specs,,,,14762700.0,ns,135
add_remove_component,specs,,,,16398235.0,ns,144
add_remove_component,specs,,,,17445284.0,ns,153
add_remove_component,specs,,,,18444641.0,ns,162
add_remove_component,specs,,,,19504639.0,ns,171
add_remove_component,specs,,,,20495927.0,ns,180
add_remove_component,specs,,,,21557224.0,ns,189
add_remove_component,specs,,,,22542733.0,ns,198
add_remove_component,specs,,,,23544280.0,ns,207
add_remove_component,specs,,,,24594169.0,ns,216
add_remove_component,specs,,,,25602425.0,ns,225
add_remove_component,specs,,,,26694635.0,ns,234
add_remove_component,specs,,,,27706961.0,ns,243
add_remove_component,specs,,,,28672799.0,ns,252
add_remove_component,specs,,,,29704408.0,ns,261
add_remove_component,specs,,,,30714275.0,ns,270
add_remove_component,specs,,,,31738514.0,ns,279
add_remove_component,specs,,,,32350892.0,ns,288
add_remove_component,specs,,,,33091560.0,ns,297
add_remove_component,specs,,,,34249237.0,ns,306
add_remove_component,specs,,,,34500568.0,ns,315
add_remove_component,specs,,,,35508026.0,ns,324
add_remove_component,specs,,,,71106200.0,ns,333
add_remove_component,specs,,,,38459109.0,ns,342
add_remove_component,specs,,,,38420529.0,ns,351
add_remove_component,specs,,,,59760755.0,ns,360
add_remove_component,specs,,,,41720003.0,ns,369
add_remove_component,specs,,,,47152761.0,ns,378
add_remove_component,specs,,,,43089030.0,ns,387
add_remove_component,specs,,,,43298589.0,ns,396
add_remove_component,specs,,,,44110698.0,ns,405
add_remove_component,specs,,,,45153215.0,ns,414
add_remove_component,specs,,,,46122472.0,ns,423
add_remove_component,specs,,,,47117031.0,ns,432
add_remove_component,specs,,,,50177675.0,ns,441
add_remove_component,specs,,,,49047717.0,ns,450
add_remove_component,specs,,,,50138724.0,ns,459
add_remove_component,specs,,,,51031862.0,ns,468
add_remove_component,specs,,,,52394770.0,ns,477
add_remove_component,specs,,,,55571093.0,ns,486
add_remove_component,specs,,,,56447191.0,ns,495
add_remove_component,specs,,,,58205477.0,ns,504
add_remove_component,specs,,,,58680627.0,ns,513
add_remove_component,specs,,,,59389995.0,ns,522
add_remove_component,specs,,,,61313481.0,ns,531
add_remove_component,specs,,,,61236871.0,ns,540
add_remove_component,specs,,,,60666902.0,ns,549
add_remove_component,specs,,,,60754862.0,ns,558
add_remove_component,specs,,,,61730570.0,ns,567
add_remove_component,specs,,,,63812865.0,ns,576
add_remove_component,specs,,,,64868324.0,ns,585
add_remove_component,specs,,,,65313972.0,ns,594
add_remove_component,specs,,,,65711272.0,ns,603
add_remove_component,specs,,,,66733589.0,ns,612
add_remove_component,specs,,,,68816555.0,ns,621
add_remove_component,specs,,,,68670566.0,ns,630
add_remove_component,specs,,,,69621753.0,ns,639
add_remove_component,specs,,,,70610991.0,ns,648
add_remove_component,specs,,,,72298048.0,ns,657
add_remove_component,specs,,,,74359103.0,ns,666
add_remove_component,specs,,,,77028708.0,ns,675
add_remove_component,specs,,,,75680990.0,ns,684
add_remove_component,specs,,,,76365439.0,ns,693
add_remove_component,specs,,,,76688438.0,ns,702
add_remove_component,specs,,,,78981964.0,ns,711
add_remove_component,specs,,,,87581645.0,ns,720
add_remove_component,specs,,,,83827804.0,ns,729
add_remove_component,specs,,,,81469869.0,ns,738
add_remove_component,specs,,,,86740816.0,ns,747
add_remove_component,specs,,,,88191154.0,ns,756
add_remove_component,specs,,,,86001238.0,ns,765
add_remove_component,specs,,,,84788282.0,ns,774
add_remove_component,specs,,,,85348130.0,ns,783
add_remove_component,specs,,,,87771534.0,ns,792
add_remove_component,specs,,,,92189626.0,ns,801
add_remove_component,specs,,,,89022592.0,ns,810
add_remove_component,specs,,,,89214192.0,ns,819
add_remove_component,specs,,,,91715256.0,ns,828
add_remove_component,specs,,,,94410302.0,ns,837
add_remove_component,specs,,,,97742623.0,ns,846
add_remove_component,specs,,,,93144413.0,ns,855
add_remove_component,specs,,,,94250241.0,ns,864
add_remove_component,specs,,,,96037328.0,ns,873
add_remove_component,specs,,,,98309353.0,ns,882
add_remove_component,specs,,,,97088595.0,ns,891
add_remove_component,specs,,,,98559162.0,ns,900
