group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
frag_iter_20_padding_20,bevy,,,,917758.0,ns,1252
frag_iter_20_padding_20,bevy,,,,2178036.0,ns,2504
frag_iter_20_padding_20,bevy,,,,2777785.0,ns,3756
frag_iter_20_padding_20,bevy,,,,3865303.0,ns,5008
frag_iter_20_padding_20,bevy,,,,4754062.0,ns,6260
frag_iter_20_padding_20,bevy,,,,5612751.0,ns,7512
frag_iter_20_padding_20,bevy,,,,6584378.0,ns,8764
frag_iter_20_padding_20,bevy,,,,7753947.0,ns,10016
frag_iter_20_padding_20,bevy,,,,8360296.0,ns,11268
frag_iter_20_padding_20,bevy,,,,9430205.0,ns,12520
frag_iter_20_padding_20,bevy,,,,11724450.0,ns,13772
frag_iter_20_padding_20,bevy,,,,12174899.0,ns,15024
frag_iter_20_padding_20,bevy,,,,12300409.0,ns,16276
frag_iter_20_padding_20,bevy,,,,13161398.0,ns,17528
frag_iter_20_padding_20,bevy,,,,14107426.0,ns,18780
frag_iter_20_padding_20,bevy,,,,14813255.0,ns,20032
frag_iter_20_padding_20,bevy,,,,16067953.0,ns,21284
frag_iter_20_padding_20,bevy,,,,16928352.0,ns,22536
frag_iter_20_padding_20,bevy,,,,17595241.0,ns,23788
frag_iter_20_padding_20,bevy,,,,18822828.0,ns,25040
frag_iter_20_padding_20,bevy,,,,19558177.0,ns,26292
frag_iter_20_padding_20,bevy,,,,20472395.0,ns,27544
frag_iter_20_padding_20,bevy,,,,21995463.0,ns,28796
frag_iter_20_padding_20,bevy,,,,22799142.0,ns,30048
frag_iter_20_padding_20,bevy,,,,23479022.0,ns,31300
frag_iter_20_padding_20,bevy,,,,24657869.0,ns,32552
frag_iter_20_padding_20,bevy,,,,25577977.0,ns,33804
frag_iter_20_padding_20,bevy,,,,26404986.0,ns,35056
frag_iter_20_padding_20,bevy,,,,27162355.0,ns,36308
frag_iter_20_padding_20,bevy,,,,27996973.0,ns,37560
frag_iter_20_padding_20,bevy,,,,29560871.0,ns,38812
frag_iter_20_padding_20,bevy,,,,37228997.0,ns,40064
frag_iter_20_padding_20,bevy,,,,31387897.0,ns,41316
frag_iter_20_padding_20,bevy,,,,32661976.0,ns,42568
frag_iter_20_padding_20,bevy,,,,36509310.0,ns,43820
frag_iter_20_padding_20,bevy,,,,43191707.0,ns,45072
frag_iter_20_padding_20,bevy,,,,35177871.0,ns,46324
frag_iter_20_padding_20,bevy,,,,38246665.0,ns,47576
frag_iter_20_padding_20,bevy,,,,43700617.0,ns,48828
frag_iter_20_padding_20,bevy,,,,39063464.0,ns,50080
frag_iter_20_padding_20,bevy,,,,39316354.0,ns,51332
frag_iter_20_padding_20,bevy,,,,42707549.0,ns,52584
frag_iter_20_padding_20,bevy,,,,41735020.0,ns,53836
frag_iter_20_padding_20,bevy,,,,46094183.0,ns,55088
frag_iter_20_padding_20,bevy,,,,44006586.0,ns,56340
frag_iter_20_padding_20,bevy,,,,48689548.0,ns,57592
frag_iter_20_padding_20,bevy,,,,50075645.0,ns,58844
frag_iter_20_padding_20,bevy,,,,45142955.0,ns,60096
frag_iter_20_padding_20,bevy,,,,46193252.0,ns,61348
frag_iter_20_padding_20,bevy,,,,46815171.0,ns,62600
frag_iter_20_padding_20,bevy,,,,48960937.0,ns,63852
frag_iter_20_padding_20,bevy,,,,56334786.0,ns,65104
frag_iter_20_padding_20,bevy,,,,50705494.0,ns,66356
frag_iter_20_padding_20,bevy,,,,52517562.0,ns,67608
frag_iter_20_padding_20,bevy,,,,56654486.0,ns,68860
frag_iter_20_padding_20,bevy,,,,65219061.0,ns,70112
frag_iter_20_padding_20,bevy,,,,53784090.0,ns,71364
frag_iter_20_padding_20,bevy,,,,62608255.0,ns,72616
frag_iter_20_padding_20,bevy,,,,57877132.0,ns,73868
frag_iter_20_padding_20,bevy,,,,62505985.0,ns,75120
frag_iter_20_padding_20,bevy,,,,58711502.0,ns,76372
frag_iter_20_padding_20,bevy,,,,63607133.0,ns,77624
frag_iter_20_padding_20,bevy,,,,83196660.0,ns,78876
frag_iter_20_padding_20,bevy,,,,71962260.0,ns,80128
frag_iter_20_padding_20,bevy,,,,66548198.0,ns,81380
frag_iter_20_padding_20,bevy,,,,69737893.0,ns,82632
frag_iter_20_padding_20,bevy,,,,66658978.0,ns,83884
frag_iter_20_padding_20,bevy,,,,79068177.0,ns,85136
frag_iter_20_padding_20,bevy,,,,64546731.0,ns,86388
frag_iter_20_padding_20,bevy,,,,66694689.0,ns,87640
frag_iter_20_padding_20,bevy,,,,68554115.0,ns,88892
frag_iter_20_padding_20,bevy,,,,82300311.0,ns,90144
frag_iter_20_padding_20,bevy,,,,95209151.0,ns,91396
frag_iter_20_padding_20,bevy,,,,93555143.0,ns,92648
frag_iter_20_padding_20,bevy,,,,75724523.0,ns,93900
frag_iter_20_padding_20,bevy,,,,73131408.0,ns,95152
frag_iter_20_padding_20,bevy,,,,91823346.0,ns,96404
frag_iter_20_padding_20,bevy,,,,76053692.0,ns,97656
frag_iter_20_padding_20,bevy,,,,114862918.0,ns,98908
