group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
frag_iter_20_padding_20,ellecs,,,,1168638.0,ns,2338
frag_iter_20_padding_20,ellecs,,,,2291556.0,ns,4676
frag_iter_20_padding_20,ellecs,,,,3674284.0,ns,7014
frag_iter_20_padding_20,ellecs,,,,4923882.0,ns,9352
frag_iter_20_padding_20,ellecs,,,,5121162.0,ns,11690
frag_iter_20_padding_20,ellecs,,,,6984588.0,ns,14028
frag_iter_20_padding_20,ellecs,,,,6919039.0,ns,16366
frag_iter_20_padding_20,ellecs,,,,8312476.0,ns,18704
frag_iter_20_padding_20,ellecs,,,,8963326.0,ns,21042
frag_iter_20_padding_20,ellecs,,,,10010733.0,ns,23380
frag_iter_20_padding_20,ellecs,,,,10885351.0,ns,25718
frag_iter_20_padding_20,ellecs,,,,12861669.0,ns,28056
frag_iter_20_padding_20,ellecs,,,,15037255.0,ns,30394
frag_iter_20_padding_20,ellecs,,,,12998358.0,ns,32732
frag_iter_20_padding_20,ellecs,,,,20825635.0,ns,35070
frag_iter_20_padding_20,ellecs,,,,15397465.0,ns,37408
frag_iter_20_padding_20,ellecs,,,,17546460.0,ns,39746
frag_iter_20_padding_20,ellecs,,,,19953997.0,ns,42084
frag_iter_20_padding_20,ellecs,,,,22012103.0,ns,44422
frag_iter_20_padding_20,ellecs,,,,22931313.0,ns,46760
frag_iter_20_padding_20,ellecs,,,,30434939.0,ns,49098
frag_iter_20_padding_20,ellecs,,,,24580609.0,ns,51436
frag_iter_20_padding_20,ellecs,,,,23849000.0,ns,53774
frag_iter_20_padding_20,ellecs,,,,23080172.0,ns,56112
frag_iter_20_padding_20,ellecs,,,,28656942.0,ns,58450
frag_iter_20_padding_20,ellecs,,,,28278423.0,ns,60788
frag_iter_20_padding_20,ellecs,,,,33584354.0,ns,63126
frag_iter_20_padding_20,ellecs,,,,32124157.0,ns,65464
frag_iter_20_padding_20,ellecs,,,,29748980.0,ns,67802
frag_iter_20_padding_20,ellecs,,,,33754254.0,ns,70140
frag_iter_20_padding_20,ellecs,,,,29936101.0,ns,72478
frag_iter_20_padding_20,ellecs,,,,37410478.0,ns,74816
frag_iter_20_padding_20,ellecs,,,,36838368.0,ns,77154
frag_iter_20_padding_20,ellecs,,,,38306586.0,ns,79492
frag_iter_20_padding_20,ellecs,,,,37216219.0,ns,81830
frag_iter_20_padding_20,ellecs,,,,39870104.0,ns,84168
frag_iter_20_padding_20,ellecs,,,,41134681.0,ns,86506
frag_iter_20_padding_20,ellecs,,,,37936356.0,ns,88844
frag_iter_20_padding_20,ellecs,,,,41054872.0,ns,91182
frag_iter_20_padding_20,ellecs,,,,41885450.0,ns,93520
frag_iter_20_padding_20,ellecs,,,,42327790.0,ns,95858
frag_iter_20_padding_20,ellecs,,,,38587086.0,ns,98196
frag_iter_20_padding_20,ellecs,,,,38242946.0,ns,100534
frag_iter_20_padding_20,ellecs,,,,38830695.0,ns,102872
frag_iter_20_padding_20,ellecs,,,,41240692.0,ns,105210
frag_iter_20_padding_20,ellecs,,,,45965424.0,ns,107548
frag_iter_20_padding_20,ellecs,,,,51896163.0,ns,109886
frag_iter_20_padding_20,ellecs,,,,56108687.0,ns,112224
frag_iter_20_padding_20,ellecs,,,,55721327.0,ns,114562
frag_iter_20_padding_20,ellecs,,,,54209541.0,ns,116900
frag_iter_20_padding_20,ellecs,,,,54578909.0,ns,119238
frag_iter_20_padding_20,ellecs,,,,52565933.0,ns,121576
frag_iter_20_padding_20,ellecs,,,,58197633.0,ns,123914
frag_iter_20_padding_20,ellecs,,,,53884810.0,ns,126252
frag_iter_20_padding_20,ellecs,,,,58861152.0,ns,128590
frag_iter_20_padding_20,ellecs,,,,51630844.0,ns,130928
frag_iter_20_padding_20,ellecs,,,,57213134.0,ns,133266
frag_iter_20_padding_20,ellecs,,,,64676983.0,ns,135604
frag_iter_20_padding_20,ellecs,,,,67648987.0,ns,137942
frag_iter_20_padding_20,ellecs,,,,55920957.0,ns,140280
frag_iter_20_padding_20,ellecs,,,,55525337.0,ns,142618
frag_iter_20_padding_20,ellecs,,,,64111083.0,ns,144956
frag_iter_20_padding_20,ellecs,,,,61576597.0,ns,147294
frag_iter_20_padding_20,ellecs,,,,56438536.0,ns,149632
frag_iter_20_padding_20,ellecs,,,,57616255.0,ns,151970
frag_iter_20_padding_20,ellecs,,,,73192408.0,ns,154308
frag_iter_20_padding_20,ellecs,,,,61637278.0,ns,156646
frag_iter_20_padding_20,ellecs,,,,74419466.0,ns,158984
frag_iter_20_padding_20,ellecs,,,,68979235.0,ns,161322
frag_iter_20_padding_20,ellecs,,,,72326799.0,ns,163660
frag_iter_20_padding_20,ellecs,,,,74531596.0,ns,165998
frag_iter_20_padding_20,ellecs,,,,67152358.0,ns,168336
frag_iter_20_padding_20,ellecs,,,,67330877.0,ns,170674
frag_iter_20_padding_20,ellecs,,,,65065491.0,ns,173012
frag_iter_20_padding_20,ellecs,,,,66589969.0,ns,175350
frag_iter_20_padding_20,ellecs,,,,67127107.0,ns,177688
frag_iter_20_padding_20,ellecs,,,,74396236.0,ns,180026
frag_iter_20_padding_20,ellecs,,,,68296486.0,ns,182364
frag_iter_20_padding_20,ellecs,,,,80416346.0,ns,184702
frag_iter_20_padding_20,ellecs,,,,81293485.0,ns,187040
frag_iter_20_padding_20,ellecs,,,,73168418.0,ns,189378
frag_iter_20_padding_20,ellecs,,,,73678627.0,ns,191716
frag_iter_20_padding_20,ellecs,,,,74856295.0,ns,194054
frag_iter_20_padding_20,ellecs,,,,75533524.0,ns,196392
frag_iter_20_padding_20,ellecs,,,,98587756.0,ns,198730
frag_iter_20_padding_20,ellecs,,,,93260364.0,ns,201068
frag_iter_20_padding_20,ellecs,,,,92778055.0,ns,203406
frag_iter_20_padding_20,ellecs,,,,90981749.0,ns,205744
frag_iter_20_padding_20,ellecs,,,,107692701.0,ns,208082
frag_iter_20_padding_20,ellecs,,,,101990129.0,ns,210420
frag_iter_20_padding_20,ellecs,,,,97506088.0,ns,212758
frag_iter_20_padding_20,ellecs,,,,104986034.0,ns,215096
frag_iter_20_padding_20,ellecs,,,,104700315.0,ns,217434
frag_iter_20_padding_20,ellecs,,,,102087190.0,ns,219772
frag_iter_20_padding_20,ellecs,,,,83935899.0,ns,222110
frag_iter_20_padding_20,ellecs,,,,94814851.0,ns,224448
frag_iter_20_padding_20,ellecs,,,,87154505.0,ns,226786
frag_iter_20_padding_20,ellecs,,,,94996081.0,ns,229124
frag_iter_20_padding_20,ellecs,,,,87675184.0,ns,231462
frag_iter_20_padding_20,ellecs,,,,90890009.0,ns,233800
