group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
frag_iter_20_padding_20,hecs,,,,976408.0,ns,934
frag_iter_20_padding_20,hecs,,,,1974926.0,ns,1868
frag_iter_20_padding_20,hecs,,,,2925255.0,ns,2802
frag_iter_20_padding_20,hecs,,,,3922863.0,ns,3736
frag_iter_20_padding_20,hecs,,,,4868882.0,ns,4670
frag_iter_20_padding_20,hecs,,,,5927150.0,ns,5604
frag_iter_20_padding_20,hecs,,,,6867038.0,ns,6538
frag_iter_20_padding_20,hecs,,,,7832666.0,ns,7472
frag_iter_20_padding_20,hecs,,,,8790885.0,ns,8406
frag_iter_20_padding_20,hecs,,,,9932373.0,ns,9340
frag_iter_20_padding_20,hecs,,,,10723712.0,ns,10274
frag_iter_20_padding_20,hecs,,,,11700610.0,ns,11208
frag_iter_20_padding_20,hecs,,,,13412857.0,ns,12142
frag_iter_20_padding_20,hecs,,,,13878557.0,ns,13076
frag_iter_20_padding_20,hecs,,,,15721414.0,ns,14010
frag_iter_20_padding_20,hecs,,,,15646224.0,ns,14944
frag_iter_20_padding_20,hecs,,,,16641372.0,ns,15878
frag_iter_20_padding_20,hecs,,,,17803009.0,ns,16812
frag_iter_20_padding_20,hecs,,,,18868108.0,ns,17746
frag_iter_20_padding_20,hecs,,,,20164156.0,ns,18680
frag_iter_20_padding_20,hecs,,,,20750905.0,ns,19614
frag_iter_20_padding_20,hecs,,,,21531914.0,ns,20548
frag_iter_20_padding_20,hecs,,,,22482052.0,ns,21482
frag_iter_20_padding_20,hecs,,,,23718829.0,ns,22416
frag_iter_20_padding_20,hecs,,,,24777438.0,ns,23350
frag_iter_20_padding_20,hecs,,,,25597437.0,ns,24284
frag_iter_20_padding_20,hecs,,,,26816635.0,ns,25218
frag_iter_20_padding_20,hecs,,,,27636854.0,ns,26152
frag_iter_20_padding_20,hecs,,,,28375942.0,ns,27086
frag_iter_20_padding_20,hecs,,,,29986000.0,ns,28020
frag_iter_20_padding_20,hecs,,,,31423687.0,ns,28954
frag_iter_20_padding_20,hecs,,,,31514787.0,ns,29888
frag_iter_20_padding_20,hecs,,,,33127604.0,ns,30822
frag_iter_20_padding_20,hecs,,,,34585942.0,ns,31756
frag_iter_20_padding_20,hecs,,,,34943381.0,ns,32690
frag_iter_20_padding_20,hecs,,,,36310078.0,ns,33624
frag_iter_20_padding_20,hecs,,,,36099069.0,ns,34558
frag_iter_20_padding_20,hecs,,,,40034633.0,ns,35492
frag_iter_20_padding_20,hecs,,,,41943819.0,ns,36426
frag_iter_20_padding_20,hecs,,,,40156922.0,ns,37360
frag_iter_20_padding_20,hecs,,,,43561486.0,ns,38294
frag_iter_20_padding_20,hecs,,,,46829151.0,ns,39228
frag_iter_20_padding_20,hecs,,,,42891118.0,ns,40162
frag_iter_20_padding_20,hecs,,,,44664254.0,ns,41096
frag_iter_20_padding_20,hecs,,,,45225284.0,ns,42030
frag_iter_20_padding_20,hecs,,,,47017181.0,ns,42964
frag_iter_20_padding_20,hecs,,,,47047270.0,ns,43898
frag_iter_20_padding_20,hecs,,,,49728176.0,ns,44832
frag_iter_20_padding_20,hecs,,,,50172625.0,ns,45766
frag_iter_20_padding_20,hecs,,,,51486614.0,ns,46700
frag_iter_20_padding_20,hecs,,,,53769919.0,ns,47634
frag_iter_20_padding_20,hecs,,,,52024462.0,ns,48568
frag_iter_20_padding_20,hecs,,,,53916809.0,ns,49502
frag_iter_20_padding_20,hecs,,,,53323581.0,ns,50436
frag_iter_20_padding_20,hecs,,,,54115229.0,ns,51370
frag_iter_20_padding_20,hecs,,,,54801028.0,ns,52304
frag_iter_20_padding_20,hecs,,,,56626724.0,ns,53238
frag_iter_20_padding_20,hecs,,,,57217493.0,ns,54172
frag_iter_20_padding_20,hecs,,,,60800187.0,ns,55106
frag_iter_20_padding_20,hecs,,,,61452936.0,ns,56040
frag_iter_20_padding_20,hecs,,,,61726446.0,ns,56974
frag_iter_20_padding_20,hecs,,,,69722742.0,ns,57908
frag_iter_20_padding_20,hecs,,,,64819610.0,ns,58842
frag_iter_20_padding_20,hecs,,,,65311220.0,ns,59776
frag_iter_20_padding_20,hecs,,,,65682688.0,ns,60710
frag_iter_20_padding_20,hecs,,,,65621589.0,ns,61644
frag_iter_20_padding_20,hecs,,,,69227863.0,ns,62578
frag_iter_20_padding_20,hecs,,,,73520125.0,ns,63512
frag_iter_20_padding_20,hecs,,,,68317454.0,ns,64446
frag_iter_20_padding_20,hecs,,,,74254895.0,ns,65380
frag_iter_20_padding_20,hecs,,,,78927887.0,ns,66314
frag_iter_20_padding_20,hecs,,,,77721449.0,ns,67248
frag_iter_20_padding_20,hecs,,,,76691822.0,ns,68182
frag_iter_20_padding_20,hecs,,,,80670404.0,ns,69116
frag_iter_20_padding_20,hecs,,,,78435388.0,ns,70050
frag_iter_20_padding_20,hecs,,,,78108268.0,ns,70984
frag_iter_20_padding_20,hecs,,,,77370049.0,ns,71918
frag_iter_20_padding_20,hecs,,,,76762920.0,ns,72852
frag_iter_20_padding_20,hecs,,,,77549989.0,ns,73786
frag_iter_20_padding_20,hecs,,,,81028693.0,ns,74720
frag_iter_20_padding_20,hecs,,,,84414107.0,ns,75654
frag_iter_20_padding_20,hecs,,,,87106153.0,ns,76588
frag_iter_20_padding_20,hecs,,,,90260488.0,ns,77522
frag_iter_20_padding_20,hecs,,,,95285689.0,ns,78456
frag_iter_20_padding_20,hecs,,,,95983027.0,ns,79390
frag_iter_20_padding_20,hecs,,,,102791266.0,ns,80324
frag_iter_20_padding_20,hecs,,,,99026322.0,ns,81258
frag_iter_20_padding_20,hecs,,,,99608381.0,ns,82192
frag_iter_20_padding_20,hecs,,,,96755206.0,ns,83126
frag_iter_20_padding_20,hecs,,,,89090499.0,ns,84060
frag_iter_20_padding_20,hecs,,,,98046634.0,ns,84994
frag_iter_20_padding_20,hecs,,,,106506499.0,ns,85928
frag_iter_20_padding_20,hecs,,,,104507653.0,ns,86862
frag_iter_20_padding_20,hecs,,,,97158535.0,ns,87796
frag_iter_20_padding_20,hecs,,,,102307247.0,ns,88730
frag_iter_20_padding_20,hecs,,,,105216641.0,ns,89664
frag_iter_20_padding_20,hecs,,,,105655071.0,ns,90598
frag_iter_20_padding_20,hecs,,,,108117667.0,ns,91532
frag_iter_20_padding_20,hecs,,,,100983810.0,ns,92466
frag_iter_20_padding_20,hecs,,,,101641428.0,ns,93400
