group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,bevy,,,,1029809.0,ns,812
fragmented_iter,bevy,,,,1964847.0,ns,1624
fragmented_iter,bevy,,,,2922566.0,ns,2436
fragmented_iter,bevy,,,,4084963.0,ns,3248
fragmented_iter,bevy,,,,4998071.0,ns,4060
fragmented_iter,bevy,,,,5853710.0,ns,4872
fragmented_iter,bevy,,,,6825960.0,ns,5684
fragmented_iter,bevy,,,,7804096.0,ns,6496
fragmented_iter,bevy,,,,8763036.0,ns,7308
fragmented_iter,bevy,,,,9771294.0,ns,8120
fragmented_iter,bevy,,,,10818932.0,ns,8932
fragmented_iter,bevy,,,,11749601.0,ns,9744
fragmented_iter,bevy,,,,12684250.0,ns,10556
fragmented_iter,bevy,,,,13688847.0,ns,11368
fragmented_iter,bevy,,,,14683106.0,ns,12180
fragmented_iter,bevy,,,,15676014.0,ns,12992
fragmented_iter,bevy,,,,16570073.0,ns,13804
fragmented_iter,bevy,,,,17570681.0,ns,14616
fragmented_iter,bevy,,,,18668820.0,ns,15428
fragmented_iter,bevy,,,,19513789.0,ns,16240
fragmented_iter,bevy,,,,20514136.0,ns,17052
fragmented_iter,bevy,,,,21455595.0,ns,17864
fragmented_iter,bevy,,,,22415034.0,ns,18676
fragmented_iter,bevy,,,,23516261.0,ns,19488
fragmented_iter,bevy,,,,24352560.0,ns,20300
fragmented_iter,bevy,,,,25652578.0,ns,21112
fragmented_iter,bevy,,,,26356617.0,ns,21924
fragmented_iter,bevy,,,,27456325.0,ns,22736
fragmented_iter,bevy,,,,28476963.0,ns,23548
fragmented_iter,bevy,,,,29249713.0,ns,24360
fragmented_iter,bevy,,,,30226741.0,ns,25172
fragmented_iter,bevy,,,,31274049.0,ns,25984
fragmented_iter,bevy,,,,32357208.0,ns,26796
fragmented_iter,bevy,,,,33487705.0,ns,27608
fragmented_iter,bevy,,,,35906922.0,ns,28420
fragmented_iter,bevy,,,,35323072.0,ns,29232
fragmented_iter,bevy,,,,36196251.0,ns,30044
fragmented_iter,bevy,,,,38698046.0,ns,30856
fragmented_iter,bevy,,,,38167648.0,ns,31668
fragmented_iter,bevy,,,,39966525.0,ns,32480
fragmented_iter,bevy,,,,40448984.0,ns,33292
fragmented_iter,bevy,,,,41103702.0,ns,34104
fragmented_iter,bevy,,,,42123082.0,ns,34916
fragmented_iter,bevy,,,,43288459.0,ns,35728
fragmented_iter,bevy,,,,44244918.0,ns,36540
fragmented_iter,bevy,,,,45202656.0,ns,37352
fragmented_iter,bevy,,,,45760745.0,ns,38164
fragmented_iter,bevy,,,,47108754.0,ns,38976
fragmented_iter,bevy,,,,47825712.0,ns,39788
fragmented_iter,bevy,,,,48948579.0,ns,40600
fragmented_iter,bevy,,,,49828088.0,ns,41412
fragmented_iter,bevy,,,,50919217.0,ns,42224
fragmented_iter,bevy,,,,52033636.0,ns,43036
fragmented_iter,bevy,,,,52823013.0,ns,43848
fragmented_iter,bevy,,,,53727702.0,ns,44660
fragmented_iter,bevy,,,,59138253.0,ns,45472
fragmented_iter,bevy,,,,55847589.0,ns,46284
fragmented_iter,bevy,,,,56778157.0,ns,47096
fragmented_iter,bevy,,,,57890645.0,ns,47908
fragmented_iter,bevy,,,,58758874.0,ns,48720
fragmented_iter,bevy,,,,59338013.0,ns,49532
fragmented_iter,bevy,,,,62703277.0,ns,50344
fragmented_iter,bevy,,,,61456360.0,ns,51156
fragmented_iter,bevy,,,,62560897.0,ns,51968
fragmented_iter,bevy,,,,63632927.0,ns,52780
fragmented_iter,bevy,,,,64596614.0,ns,53592
fragmented_iter,bevy,,,,65606733.0,ns,54404
fragmented_iter,bevy,,,,66299762.0,ns,55216
fragmented_iter,bevy,,,,70813504.0,ns,56028
fragmented_iter,bevy,,,,68478987.0,ns,56840
fragmented_iter,bevy,,,,72835651.0,ns,57652
fragmented_iter,bevy,,,,70578584.0,ns,58464
fragmented_iter,bevy,,,,73840039.0,ns,59276
fragmented_iter,bevy,,,,72500572.0,ns,60088
fragmented_iter,bevy,,,,73804380.0,ns,60900
fragmented_iter,bevy,,,,75200208.0,ns,61712
fragmented_iter,bevy,,,,80111959.0,ns,62524
fragmented_iter,bevy,,,,83596773.0,ns,63336
fragmented_iter,bevy,,,,76898214.0,ns,64148
fragmented_iter,bevy,,,,80093089.0,ns,64960
fragmented_iter,bevy,,,,81167388.0,ns,65772
fragmented_iter,bevy,,,,81681606.0,ns,66584
fragmented_iter,bevy,,,,81280126.0,ns,67396
fragmented_iter,bevy,,,,81679187.0,ns,68208
fragmented_iter,bevy,,,,84120953.0,ns,69020
fragmented_iter,bevy,,,,84707871.0,ns,69832
fragmented_iter,bevy,,,,85042701.0,ns,70644
fragmented_iter,bevy,,,,87105887.0,ns,71456
fragmented_iter,bevy,,,,86841378.0,ns,72268
fragmented_iter,bevy,,,,89192423.0,ns,73080
fragmented_iter,bevy,,,,88991094.0,ns,73892
fragmented_iter,bevy,,,,91451880.0,ns,74704
fragmented_iter,bevy,,,,93970556.0,ns,75516
fragmented_iter,bevy,,,,96476991.0,ns,76328
fragmented_iter,bevy,,,,92704238.0,ns,77140
fragmented_iter,bevy,,,,101788033.0,ns,77952
fragmented_iter,bevy,,,,95700593.0,ns,78764
fragmented_iter,bevy,,,,96931421.0,ns,79576
fragmented_iter,bevy,,,,98629218.0,ns,80388
fragmented_iter,bevy,,,,101599333.0,ns,81200
