group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,hecs,,,,971848.0,ns,627
fragmented_iter,hecs,,,,1948037.0,ns,1254
fragmented_iter,hecs,,,,2897345.0,ns,1881
fragmented_iter,hecs,,,,3867164.0,ns,2508
fragmented_iter,hecs,,,,4823002.0,ns,3135
fragmented_iter,hecs,,,,5812351.0,ns,3762
fragmented_iter,hecs,,,,6786919.0,ns,4389
fragmented_iter,hecs,,,,7724387.0,ns,5016
fragmented_iter,hecs,,,,8713486.0,ns,5643
fragmented_iter,hecs,,,,9708934.0,ns,6270
fragmented_iter,hecs,,,,10634613.0,ns,6897
fragmented_iter,hecs,,,,11638481.0,ns,7524
fragmented_iter,hecs,,,,12634679.0,ns,8151
fragmented_iter,hecs,,,,13540298.0,ns,8778
fragmented_iter,hecs,,,,15120374.0,ns,9405
fragmented_iter,hecs,,,,16152744.0,ns,10032
fragmented_iter,hecs,,,,17160202.0,ns,10659
fragmented_iter,hecs,,,,18337189.0,ns,11286
fragmented_iter,hecs,,,,19285988.0,ns,11913
fragmented_iter,hecs,,,,20258127.0,ns,12540
fragmented_iter,hecs,,,,20475466.0,ns,13167
fragmented_iter,hecs,,,,21620764.0,ns,13794
fragmented_iter,hecs,,,,22177534.0,ns,14421
fragmented_iter,hecs,,,,23130292.0,ns,15048
fragmented_iter,hecs,,,,24174150.0,ns,15675
fragmented_iter,hecs,,,,25167718.0,ns,16302
fragmented_iter,hecs,,,,26178387.0,ns,16929
fragmented_iter,hecs,,,,27044895.0,ns,17556
fragmented_iter,hecs,,,,27978174.0,ns,18183
fragmented_iter,hecs,,,,29038672.0,ns,18810
fragmented_iter,hecs,,,,30024270.0,ns,19437
fragmented_iter,hecs,,,,31030940.0,ns,20064
fragmented_iter,hecs,,,,31927257.0,ns,20691
fragmented_iter,hecs,,,,32778075.0,ns,21318
fragmented_iter,hecs,,,,33798124.0,ns,21945
fragmented_iter,hecs,,,,34844703.0,ns,22572
fragmented_iter,hecs,,,,35657361.0,ns,23199
fragmented_iter,hecs,,,,36668440.0,ns,23826
fragmented_iter,hecs,,,,37716478.0,ns,24453
fragmented_iter,hecs,,,,38876745.0,ns,25080
fragmented_iter,hecs,,,,39625464.0,ns,25707
fragmented_iter,hecs,,,,40736233.0,ns,26334
fragmented_iter,hecs,,,,41582051.0,ns,26961
fragmented_iter,hecs,,,,42575079.0,ns,27588
fragmented_iter,hecs,,,,43691439.0,ns,28215
fragmented_iter,hecs,,,,44598595.0,ns,28842
fragmented_iter,hecs,,,,46449174.0,ns,29469
fragmented_iter,hecs,,,,46384193.0,ns,30096
fragmented_iter,hecs,,,,47355872.0,ns,30723
fragmented_iter,hecs,,,,48254179.0,ns,31350
fragmented_iter,hecs,,,,51571085.0,ns,31977
fragmented_iter,hecs,,,,52887853.0,ns,32604
fragmented_iter,hecs,,,,53776731.0,ns,33231
fragmented_iter,hecs,,,,54538639.0,ns,33858
fragmented_iter,hecs,,,,55417269.0,ns,34485
fragmented_iter,hecs,,,,56532577.0,ns,35112
fragmented_iter,hecs,,,,57529335.0,ns,35739
fragmented_iter,hecs,,,,58584252.0,ns,36366
fragmented_iter,hecs,,,,59336612.0,ns,36993
fragmented_iter,hecs,,,,60526460.0,ns,37620
fragmented_iter,hecs,,,,61886987.0,ns,38247
fragmented_iter,hecs,,,,63036366.0,ns,38874
fragmented_iter,hecs,,,,63515595.0,ns,39501
fragmented_iter,hecs,,,,65330292.0,ns,40128
fragmented_iter,hecs,,,,67522328.0,ns,40755
fragmented_iter,hecs,,,,66988019.0,ns,41382
fragmented_iter,hecs,,,,66607829.0,ns,42009
fragmented_iter,hecs,,,,65898411.0,ns,42636
fragmented_iter,hecs,,,,66838459.0,ns,43263
fragmented_iter,hecs,,,,67358698.0,ns,43890
fragmented_iter,hecs,,,,69129176.0,ns,44517
fragmented_iter,hecs,,,,69719004.0,ns,45144
fragmented_iter,hecs,,,,70647813.0,ns,45771
fragmented_iter,hecs,,,,71734251.0,ns,46398
fragmented_iter,hecs,,,,72510480.0,ns,47025
fragmented_iter,hecs,,,,73342238.0,ns,47652
fragmented_iter,hecs,,,,74737917.0,ns,48279
fragmented_iter,hecs,,,,78856859.0,ns,48906
fragmented_iter,hecs,,,,81983554.0,ns,49533
fragmented_iter,hecs,,,,80867366.0,ns,50160
fragmented_iter,hecs,,,,81588604.0,ns,50787
fragmented_iter,hecs,,,,82828343.0,ns,51414
fragmented_iter,hecs,,,,84833540.0,ns,52041
fragmented_iter,hecs,,,,84899649.0,ns,52668
fragmented_iter,hecs,,,,85453048.0,ns,53295
fragmented_iter,hecs,,,,86842226.0,ns,53922
fragmented_iter,hecs,,,,88374523.0,ns,54549
fragmented_iter,hecs,,,,89253842.0,ns,55176
fragmented_iter,hecs,,,,89667721.0,ns,55803
fragmented_iter,hecs,,,,92331926.0,ns,56430
fragmented_iter,hecs,,,,91583538.0,ns,57057
fragmented_iter,hecs,,,,92884316.0,ns,57684
fragmented_iter,hecs,,,,93726574.0,ns,58311
fragmented_iter,hecs,,,,94762743.0,ns,58938
fragmented_iter,hecs,,,,101327132.0,ns,59565
fragmented_iter,hecs,,,,98001557.0,ns,60192
fragmented_iter,hecs,,,,96907069.0,ns,60819
fragmented_iter,hecs,,,,95233582.0,ns,61446
fragmented_iter,hecs,,,,95706281.0,ns,62073
fragmented_iter,hecs,,,,96494810.0,ns,62700
