group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,legion,,,,949118.0,ns,2308
fragmented_iter,legion,,,,1892527.0,ns,4616
fragmented_iter,legion,,,,2842656.0,ns,6924
fragmented_iter,legion,,,,3861984.0,ns,9232
fragmented_iter,legion,,,,4797443.0,ns,11540
fragmented_iter,legion,,,,5695592.0,ns,13848
fragmented_iter,legion,,,,6712590.0,ns,16156
fragmented_iter,legion,,,,7654317.0,ns,18464
fragmented_iter,legion,,,,8605826.0,ns,20772
fragmented_iter,legion,,,,9551615.0,ns,23080
fragmented_iter,legion,,,,10568914.0,ns,25388
fragmented_iter,legion,,,,11384422.0,ns,27696
fragmented_iter,legion,,,,12480791.0,ns,30004
fragmented_iter,legion,,,,13439449.0,ns,32312
fragmented_iter,legion,,,,14371777.0,ns,34620
fragmented_iter,legion,,,,15349026.0,ns,36928
fragmented_iter,legion,,,,16263615.0,ns,39236
fragmented_iter,legion,,,,17123713.0,ns,41544
fragmented_iter,legion,,,,18151591.0,ns,43852
fragmented_iter,legion,,,,19088410.0,ns,46160
fragmented_iter,legion,,,,20017399.0,ns,48468
fragmented_iter,legion,,,,21016026.0,ns,50776
fragmented_iter,legion,,,,21989206.0,ns,53084
fragmented_iter,legion,,,,22857294.0,ns,55392
fragmented_iter,legion,,,,23974082.0,ns,57700
fragmented_iter,legion,,,,24838161.0,ns,60008
fragmented_iter,legion,,,,25841939.0,ns,62316
fragmented_iter,legion,,,,26681118.0,ns,64624
fragmented_iter,legion,,,,27618316.0,ns,66932
fragmented_iter,legion,,,,28576645.0,ns,69240
fragmented_iter,legion,,,,29576483.0,ns,71548
fragmented_iter,legion,,,,30506421.0,ns,73856
fragmented_iter,legion,,,,31438430.0,ns,76164
fragmented_iter,legion,,,,32347099.0,ns,78472
fragmented_iter,legion,,,,33394767.0,ns,80780
fragmented_iter,legion,,,,34213536.0,ns,83088
fragmented_iter,legion,,,,35328804.0,ns,85396
fragmented_iter,legion,,,,36292363.0,ns,87704
fragmented_iter,legion,,,,37342481.0,ns,90012
fragmented_iter,legion,,,,38148600.0,ns,92320
fragmented_iter,legion,,,,38765309.0,ns,94628
fragmented_iter,legion,,,,39732117.0,ns,96936
fragmented_iter,legion,,,,40706065.0,ns,99244
fragmented_iter,legion,,,,41751874.0,ns,101552
fragmented_iter,legion,,,,42679572.0,ns,103860
fragmented_iter,legion,,,,43560672.0,ns,106168
fragmented_iter,legion,,,,47521415.0,ns,108476
fragmented_iter,legion,,,,46721926.0,ns,110784
fragmented_iter,legion,,,,47647955.0,ns,113092
fragmented_iter,legion,,,,49399342.0,ns,115400
fragmented_iter,legion,,,,49484212.0,ns,117708
fragmented_iter,legion,,,,50520380.0,ns,120016
fragmented_iter,legion,,,,53584765.0,ns,122324
fragmented_iter,legion,,,,52783697.0,ns,124632
fragmented_iter,legion,,,,56738991.0,ns,126940
fragmented_iter,legion,,,,73646423.0,ns,129248
fragmented_iter,legion,,,,54452244.0,ns,131556
fragmented_iter,legion,,,,55138813.0,ns,133864
fragmented_iter,legion,,,,60337154.0,ns,136172
fragmented_iter,legion,,,,68520522.0,ns,138480
fragmented_iter,legion,,,,58770417.0,ns,140788
fragmented_iter,legion,,,,59138306.0,ns,143096
fragmented_iter,legion,,,,59600876.0,ns,145404
fragmented_iter,legion,,,,61327434.0,ns,147712
fragmented_iter,legion,,,,61555943.0,ns,150020
fragmented_iter,legion,,,,62911210.0,ns,152328
fragmented_iter,legion,,,,63127331.0,ns,154636
fragmented_iter,legion,,,,64380298.0,ns,156944
fragmented_iter,legion,,,,66013146.0,ns,159252
fragmented_iter,legion,,,,66603654.0,ns,161560
fragmented_iter,legion,,,,67264413.0,ns,163868
fragmented_iter,legion,,,,68163512.0,ns,166176
fragmented_iter,legion,,,,69436440.0,ns,168484
fragmented_iter,legion,,,,70025090.0,ns,170792
fragmented_iter,legion,,,,71418608.0,ns,173100
fragmented_iter,legion,,,,74164793.0,ns,175408
fragmented_iter,legion,,,,79205085.0,ns,177716
fragmented_iter,legion,,,,78288366.0,ns,180024
fragmented_iter,legion,,,,76019619.0,ns,182332
fragmented_iter,legion,,,,77209527.0,ns,184640
fragmented_iter,legion,,,,77792117.0,ns,186948
fragmented_iter,legion,,,,79313494.0,ns,189256
fragmented_iter,legion,,,,80176582.0,ns,191564
fragmented_iter,legion,,,,79398824.0,ns,193872
fragmented_iter,legion,,,,80468082.0,ns,196180
fragmented_iter,legion,,,,82184800.0,ns,198488
fragmented_iter,legion,,,,82388658.0,ns,200796
fragmented_iter,legion,,,,83723478.0,ns,203104
fragmented_iter,legion,,,,84725755.0,ns,205412
fragmented_iter,legion,,,,85419335.0,ns,207720
fragmented_iter,legion,,,,86620122.0,ns,210028
fragmented_iter,legion,,,,88544689.0,ns,212336
fragmented_iter,legion,,,,88879888.0,ns,214644
fragmented_iter,legion,,,,90299487.0,ns,216952
fragmented_iter,legion,,,,90474877.0,ns,219260
fragmented_iter,legion,,,,94068920.0,ns,221568
fragmented_iter,legion,,,,93726301.0,ns,223876
fragmented_iter,legion,,,,94101170.0,ns,226184
fragmented_iter,legion,,,,94068520.0,ns,228492
fragmented_iter,legion,,,,95664168.0,ns,230800
