group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,legion_0.2.4,,,,997968.0,ns,437
fragmented_iter,legion_0.2.4,,,,2013597.0,ns,874
fragmented_iter,legion_0.2.4,,,,3020335.0,ns,1311
fragmented_iter,legion_0.2.4,,,,4009534.0,ns,1748
fragmented_iter,legion_0.2.4,,,,5043942.0,ns,2185
fragmented_iter,legion_0.2.4,,,,6086090.0,ns,2622
fragmented_iter,legion_0.2.4,,,,7069888.0,ns,3059
fragmented_iter,legion_0.2.4,,,,8002778.0,ns,3496
fragmented_iter,legion_0.2.4,,,,9074576.0,ns,3933
fragmented_iter,legion_0.2.4,,,,10002354.0,ns,4370
fragmented_iter,legion_0.2.4,,,,10980213.0,ns,4807
fragmented_iter,legion_0.2.4,,,,11976210.0,ns,5244
fragmented_iter,legion_0.2.4,,,,12932640.0,ns,5681
fragmented_iter,legion_0.2.4,,,,13976937.0,ns,6118
fragmented_iter,legion_0.2.4,,,,14928636.0,ns,6555
fragmented_iter,legion_0.2.4,,,,15925454.0,ns,6992
fragmented_iter,legion_0.2.4,,,,16959883.0,ns,7429
fragmented_iter,legion_0.2.4,,,,17967331.0,ns,7866
fragmented_iter,legion_0.2.4,,,,18946690.0,ns,8303
fragmented_iter,legion_0.2.4,,,,19718958.0,ns,8740
fragmented_iter,legion_0.2.4,,,,20852497.0,ns,9177
fragmented_iter,legion_0.2.4,,,,21806335.0,ns,9614
fragmented_iter,legion_0.2.4,,,,22722223.0,ns,10051
fragmented_iter,legion_0.2.4,,,,23754452.0,ns,10488
fragmented_iter,legion_0.2.4,,,,24886240.0,ns,10925
fragmented_iter,legion_0.2.4,,,,25848639.0,ns,11362
fragmented_iter,legion_0.2.4,,,,27042136.0,ns,11799
fragmented_iter,legion_0.2.4,,,,27722426.0,ns,12236
fragmented_iter,legion_0.2.4,,,,28841383.0,ns,12673
fragmented_iter,legion_0.2.4,,,,29750002.0,ns,13110
fragmented_iter,legion_0.2.4,,,,30658571.0,ns,13547
fragmented_iter,legion_0.2.4,,,,31842689.0,ns,13984
fragmented_iter,legion_0.2.4,,,,33021957.0,ns,14421
fragmented_iter,legion_0.2.4,,,,33998705.0,ns,14858
fragmented_iter,legion_0.2.4,,,,35068224.0,ns,15295
fragmented_iter,legion_0.2.4,,,,35422993.0,ns,15732
fragmented_iter,legion_0.2.4,,,,36544891.0,ns,16169
fragmented_iter,legion_0.2.4,,,,37928169.0,ns,16606
