group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,specs,,,,982908.0,ns,545
fragmented_iter,specs,,,,1968576.0,ns,1090
fragmented_iter,specs,,,,2963875.0,ns,1635
fragmented_iter,specs,,,,3971483.0,ns,2180
fragmented_iter,specs,,,,4944672.0,ns,2725
fragmented_iter,specs,,,,5913880.0,ns,3270
fragmented_iter,specs,,,,6926918.0,ns,3815
fragmented_iter,specs,,,,7909757.0,ns,4360
fragmented_iter,specs,,,,8980655.0,ns,4905
fragmented_iter,specs,,,,9880604.0,ns,5450
fragmented_iter,specs,,,,10822391.0,ns,5995
fragmented_iter,specs,,,,11809380.0,ns,6540
fragmented_iter,specs,,,,12806089.0,ns,7085
fragmented_iter,specs,,,,13811696.0,ns,7630
fragmented_iter,specs,,,,14944404.0,ns,8175
fragmented_iter,specs,,,,16106413.0,ns,8720
fragmented_iter,specs,,,,20254696.0,ns,9265
fragmented_iter,specs,,,,28388642.0,ns,9810
fragmented_iter,specs,,,,19517797.0,ns,10355
fragmented_iter,specs,,,,20287766.0,ns,10900
fragmented_iter,specs,,,,20714675.0,ns,11445
fragmented_iter,specs,,,,21657493.0,ns,11990
fragmented_iter,specs,,,,22662882.0,ns,12535
fragmented_iter,specs,,,,23601459.0,ns,13080
fragmented_iter,specs,,,,25338978.0,ns,13625
fragmented_iter,specs,,,,41552710.0,ns,14170
fragmented_iter,specs,,,,27433603.0,ns,14715
fragmented_iter,specs,,,,28320872.0,ns,15260
fragmented_iter,specs,,,,29216301.0,ns,15805
fragmented_iter,specs,,,,30309589.0,ns,16350
fragmented_iter,specs,,,,32258526.0,ns,16895
fragmented_iter,specs,,,,33765683.0,ns,17440
fragmented_iter,specs,,,,34628801.0,ns,17985
fragmented_iter,specs,,,,34519662.0,ns,18530
fragmented_iter,specs,,,,35213320.0,ns,19075
fragmented_iter,specs,,,,36406419.0,ns,19620
fragmented_iter,specs,,,,37371786.0,ns,20165
fragmented_iter,specs,,,,38210095.0,ns,20710
fragmented_iter,specs,,,,39482453.0,ns,21255
fragmented_iter,specs,,,,41123940.0,ns,21800
fragmented_iter,specs,,,,41034481.0,ns,22345
fragmented_iter,specs,,,,41602950.0,ns,22890
fragmented_iter,specs,,,,42924168.0,ns,23435
fragmented_iter,specs,,,,43694706.0,ns,23980
fragmented_iter,specs,,,,44724894.0,ns,24525
fragmented_iter,specs,,,,45759532.0,ns,25070
fragmented_iter,specs,,,,46710731.0,ns,25615
fragmented_iter,specs,,,,47937879.0,ns,26160
fragmented_iter,specs,,,,48363598.0,ns,26705
fragmented_iter,specs,,,,49297506.0,ns,27250
fragmented_iter,specs,,,,50719794.0,ns,27795
fragmented_iter,specs,,,,51168093.0,ns,28340
fragmented_iter,specs,,,,52169321.0,ns,28885
fragmented_iter,specs,,,,53384199.0,ns,29430
fragmented_iter,specs,,,,54273868.0,ns,29975
fragmented_iter,specs,,,,55335166.0,ns,30520
fragmented_iter,specs,,,,56235415.0,ns,31065
fragmented_iter,specs,,,,57296923.0,ns,31610
fragmented_iter,specs,,,,58315331.0,ns,32155
fragmented_iter,specs,,,,59219149.0,ns,32700
fragmented_iter,specs,,,,60207778.0,ns,33245
fragmented_iter,specs,,,,61576545.0,ns,33790
fragmented_iter,specs,,,,62161174.0,ns,34335
fragmented_iter,specs,,,,63083453.0,ns,34880
fragmented_iter,specs,,,,64032611.0,ns,35425
fragmented_iter,specs,,,,64985500.0,ns,35970
fragmented_iter,specs,,,,67827394.0,ns,36515
fragmented_iter,specs,,,,70802490.0,ns,37060
fragmented_iter,specs,,,,71264249.0,ns,37605
fragmented_iter,specs,,,,72124738.0,ns,38150
fragmented_iter,specs,,,,71834899.0,ns,38695
fragmented_iter,specs,,,,73811914.0,ns,39240
fragmented_iter,specs,,,,77259348.0,ns,39785
fragmented_iter,specs,,,,78335867.0,ns,40330
fragmented_iter,specs,,,,75329122.0,ns,40875
fragmented_iter,specs,,,,74818443.0,ns,41420
fragmented_iter,specs,,,,75921981.0,ns,41965
fragmented_iter,specs,,,,77013669.0,ns,42510
fragmented_iter,specs,,,,77971627.0,ns,43055
fragmented_iter,specs,,,,78795966.0,ns,43600
fragmented_iter,specs,,,,79909384.0,ns,44145
fragmented_iter,specs,,,,81537931.0,ns,44690
fragmented_iter,specs,,,,81994810.0,ns,45235
fragmented_iter,specs,,,,83398548.0,ns,45780
fragmented_iter,specs,,,,83808247.0,ns,46325
fragmented_iter,specs,,,,84759076.0,ns,46870
fragmented_iter,specs,,,,86050364.0,ns,47415
fragmented_iter,specs,,,,86819452.0,ns,47960
fragmented_iter,specs,,,,88224680.0,ns,48505
fragmented_iter,specs,,,,89756707.0,ns,49050
fragmented_iter,specs,,,,90567556.0,ns,49595
fragmented_iter,specs,,,,91305394.0,ns,50140
fragmented_iter,specs,,,,96146647.0,ns,50685
fragmented_iter,specs,,,,95633197.0,ns,51230
fragmented_iter,specs,,,,96992225.0,ns,51775
fragmented_iter,specs,,,,100309840.0,ns,52320
fragmented_iter,specs,,,,101848646.0,ns,52865
fragmented_iter,specs,,,,104462702.0,ns,53410
fragmented_iter,specs,,,,101491967.0,ns,53955
fragmented_iter,specs,,,,102317315.0,ns,54500
