group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter_20,bevy,,,,2234796.0,ns,1137
fragmented_iter_20,bevy,,,,3948463.0,ns,2274
fragmented_iter_20,bevy,,,,6161890.0,ns,3411
fragmented_iter_20,bevy,,,,7873417.0,ns,4548
fragmented_iter_20,bevy,,,,10114173.0,ns,5685
fragmented_iter_20,bevy,,,,11843091.0,ns,6822
fragmented_iter_20,bevy,,,,8122748.0,ns,7959
fragmented_iter_20,bevy,,,,7917727.0,ns,9096
fragmented_iter_20,bevy,,,,7999287.0,ns,10233
fragmented_iter_20,bevy,,,,8448736.0,ns,11370
fragmented_iter_20,bevy,,,,9285755.0,ns,12507
fragmented_iter_20,bevy,,,,10045013.0,ns,13644
fragmented_iter_20,bevy,,,,12632370.0,ns,14781
fragmented_iter_20,bevy,,,,11923430.0,ns,15918
fragmented_iter_20,bevy,,,,14463866.0,ns,17055
fragmented_iter_20,bevy,,,,14342317.0,ns,18192
fragmented_iter_20,bevy,,,,14777775.0,ns,19329
fragmented_iter_20,bevy,,,,16036433.0,ns,20466
fragmented_iter_20,bevy,,,,18925719.0,ns,21603
fragmented_iter_20,bevy,,,,16723063.0,ns,22740
fragmented_iter_20,bevy,,,,18009510.0,ns,23877
fragmented_iter_20,bevy,,,,18803260.0,ns,25014
fragmented_iter_20,bevy,,,,24500680.0,ns,26151
fragmented_iter_20,bevy,,,,23337402.0,ns,27288
fragmented_iter_20,bevy,,,,23239092.0,ns,28425
fragmented_iter_20,bevy,,,,28409663.0,ns,29562
fragmented_iter_20,bevy,,,,26991196.0,ns,30699
fragmented_iter_20,bevy,,,,23918951.0,ns,31836
fragmented_iter_20,bevy,,,,26986245.0,ns,32973
fragmented_iter_20,bevy,,,,31729308.0,ns,34110
fragmented_iter_20,bevy,,,,32660917.0,ns,35247
fragmented_iter_20,bevy,,,,28312273.0,ns,36384
fragmented_iter_20,bevy,,,,33190386.0,ns,37521
fragmented_iter_20,bevy,,,,32936085.0,ns,38658
fragmented_iter_20,bevy,,,,37038710.0,ns,39795
fragmented_iter_20,bevy,,,,38230107.0,ns,40932
fragmented_iter_20,bevy,,,,33714855.0,ns,42069
fragmented_iter_20,bevy,,,,33320536.0,ns,43206
fragmented_iter_20,bevy,,,,40177414.0,ns,44343
fragmented_iter_20,bevy,,,,38167577.0,ns,45480
fragmented_iter_20,bevy,,,,42269191.0,ns,46617
fragmented_iter_20,bevy,,,,42075100.0,ns,47754
fragmented_iter_20,bevy,,,,41283033.0,ns,48891
fragmented_iter_20,bevy,,,,46318064.0,ns,50028
fragmented_iter_20,bevy,,,,40695683.0,ns,51165
fragmented_iter_20,bevy,,,,40581214.0,ns,52302
fragmented_iter_20,bevy,,,,44883367.0,ns,53439
fragmented_iter_20,bevy,,,,44566247.0,ns,54576
fragmented_iter_20,bevy,,,,50134198.0,ns,55713
fragmented_iter_20,bevy,,,,43984288.0,ns,56850
fragmented_iter_20,bevy,,,,51579475.0,ns,57987
fragmented_iter_20,bevy,,,,45511326.0,ns,59124
fragmented_iter_20,bevy,,,,49053039.0,ns,60261
fragmented_iter_20,bevy,,,,47689072.0,ns,61398
fragmented_iter_20,bevy,,,,52011915.0,ns,62535
fragmented_iter_20,bevy,,,,49520099.0,ns,63672
fragmented_iter_20,bevy,,,,53096782.0,ns,64809
fragmented_iter_20,bevy,,,,52908704.0,ns,65946
fragmented_iter_20,bevy,,,,52728243.0,ns,67083
fragmented_iter_20,bevy,,,,54893891.0,ns,68220
fragmented_iter_20,bevy,,,,55261530.0,ns,69357
fragmented_iter_20,bevy,,,,65284583.0,ns,70494
fragmented_iter_20,bevy,,,,53133543.0,ns,71631
fragmented_iter_20,bevy,,,,54324561.0,ns,72768
fragmented_iter_20,bevy,,,,55343849.0,ns,73905
fragmented_iter_20,bevy,,,,55894489.0,ns,75042
fragmented_iter_20,bevy,,,,56790037.0,ns,76179
fragmented_iter_20,bevy,,,,57229596.0,ns,77316
fragmented_iter_20,bevy,,,,59110463.0,ns,78453
fragmented_iter_20,bevy,,,,59376282.0,ns,79590
fragmented_iter_20,bevy,,,,60451391.0,ns,80727
fragmented_iter_20,bevy,,,,61005790.0,ns,81864
fragmented_iter_20,bevy,,,,61804978.0,ns,83001
fragmented_iter_20,bevy,,,,62990217.0,ns,84138
fragmented_iter_20,bevy,,,,63624095.0,ns,85275
fragmented_iter_20,bevy,,,,66161511.0,ns,86412
fragmented_iter_20,bevy,,,,65809262.0,ns,87549
fragmented_iter_20,bevy,,,,67158390.0,ns,88686
fragmented_iter_20,bevy,,,,67369479.0,ns,89823
fragmented_iter_20,bevy,,,,67811959.0,ns,90960
fragmented_iter_20,bevy,,,,68652397.0,ns,92097
fragmented_iter_20,bevy,,,,72348621.0,ns,93234
fragmented_iter_20,bevy,,,,73664819.0,ns,94371
fragmented_iter_20,bevy,,,,77316483.0,ns,95508
fragmented_iter_20,bevy,,,,74226537.0,ns,96645
fragmented_iter_20,bevy,,,,74856468.0,ns,97782
fragmented_iter_20,bevy,,,,75993864.0,ns,98919
fragmented_iter_20,bevy,,,,75545277.0,ns,100056
fragmented_iter_20,bevy,,,,77910202.0,ns,101193
fragmented_iter_20,bevy,,,,80300328.0,ns,102330
fragmented_iter_20,bevy,,,,81497846.0,ns,103467
fragmented_iter_20,bevy,,,,88565264.0,ns,104604
fragmented_iter_20,bevy,,,,86827298.0,ns,105741
fragmented_iter_20,bevy,,,,88061995.0,ns,106878
fragmented_iter_20,bevy,,,,79730179.0,ns,108015
fragmented_iter_20,bevy,,,,82475214.0,ns,109152
fragmented_iter_20,bevy,,,,82039285.0,ns,110289
fragmented_iter_20,bevy,,,,85085510.0,ns,111426
fragmented_iter_20,bevy,,,,84571611.0,ns,112563
fragmented_iter_20,bevy,,,,86025039.0,ns,113700
