group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter_20,ellecs,,,,984388.0,ns,2390
fragmented_iter_20,ellecs,,,,1884697.0,ns,4780
fragmented_iter_20,ellecs,,,,2951715.0,ns,7170
fragmented_iter_20,ellecs,,,,3948724.0,ns,9560
fragmented_iter_20,ellecs,,,,4724212.0,ns,11950
fragmented_iter_20,ellecs,,,,5769250.0,ns,14340
fragmented_iter_20,ellecs,,,,6871549.0,ns,16730
fragmented_iter_20,ellecs,,,,7605648.0,ns,19120
fragmented_iter_20,ellecs,,,,8737295.0,ns,21510
fragmented_iter_20,ellecs,,,,9693034.0,ns,23900
fragmented_iter_20,ellecs,,,,10532893.0,ns,26290
fragmented_iter_20,ellecs,,,,11310681.0,ns,28680
fragmented_iter_20,ellecs,,,,12636369.0,ns,31070
fragmented_iter_20,ellecs,,,,13119549.0,ns,33460
fragmented_iter_20,ellecs,,,,14702336.0,ns,35850
fragmented_iter_20,ellecs,,,,15315045.0,ns,38240
fragmented_iter_20,ellecs,,,,16190143.0,ns,40630
fragmented_iter_20,ellecs,,,,16924952.0,ns,43020
fragmented_iter_20,ellecs,,,,18412951.0,ns,45410
fragmented_iter_20,ellecs,,,,19321278.0,ns,47800
fragmented_iter_20,ellecs,,,,20602406.0,ns,50190
fragmented_iter_20,ellecs,,,,20986896.0,ns,52580
fragmented_iter_20,ellecs,,,,22337193.0,ns,54970
fragmented_iter_20,ellecs,,,,22890773.0,ns,57360
fragmented_iter_20,ellecs,,,,23608491.0,ns,59750
fragmented_iter_20,ellecs,,,,24854260.0,ns,62140
fragmented_iter_20,ellecs,,,,26008487.0,ns,64530
fragmented_iter_20,ellecs,,,,26864997.0,ns,66920
fragmented_iter_20,ellecs,,,,27196335.0,ns,69310
fragmented_iter_20,ellecs,,,,28686113.0,ns,71700
fragmented_iter_20,ellecs,,,,29714972.0,ns,74090
fragmented_iter_20,ellecs,,,,30391120.0,ns,76480
fragmented_iter_20,ellecs,,,,31291569.0,ns,78870
fragmented_iter_20,ellecs,,,,32192588.0,ns,81260
fragmented_iter_20,ellecs,,,,33750755.0,ns,83650
fragmented_iter_20,ellecs,,,,34324984.0,ns,86040
fragmented_iter_20,ellecs,,,,36134641.0,ns,88430
fragmented_iter_20,ellecs,,,,39627875.0,ns,90820
fragmented_iter_20,ellecs,,,,38236508.0,ns,93210
fragmented_iter_20,ellecs,,,,36939259.0,ns,95600
fragmented_iter_20,ellecs,,,,39539726.0,ns,97990
fragmented_iter_20,ellecs,,,,38980276.0,ns,100380
fragmented_iter_20,ellecs,,,,41543263.0,ns,102770
fragmented_iter_20,ellecs,,,,39594516.0,ns,105160
fragmented_iter_20,ellecs,,,,41536142.0,ns,107550
fragmented_iter_20,ellecs,,,,44625397.0,ns,109940
fragmented_iter_20,ellecs,,,,45155667.0,ns,112330
fragmented_iter_20,ellecs,,,,46393365.0,ns,114720
fragmented_iter_20,ellecs,,,,47274023.0,ns,117110
fragmented_iter_20,ellecs,,,,48689351.0,ns,119500
fragmented_iter_20,ellecs,,,,51098657.0,ns,121890
fragmented_iter_20,ellecs,,,,51575166.0,ns,124280
fragmented_iter_20,ellecs,,,,51062207.0,ns,126670
fragmented_iter_20,ellecs,,,,51934876.0,ns,129060
fragmented_iter_20,ellecs,,,,52709284.0,ns,131450
fragmented_iter_20,ellecs,,,,54315611.0,ns,133840
fragmented_iter_20,ellecs,,,,55137350.0,ns,136230
fragmented_iter_20,ellecs,,,,56006259.0,ns,138620
fragmented_iter_20,ellecs,,,,55380869.0,ns,141010
fragmented_iter_20,ellecs,,,,58019426.0,ns,143400
fragmented_iter_20,ellecs,,,,58879904.0,ns,145790
fragmented_iter_20,ellecs,,,,60044532.0,ns,148180
fragmented_iter_20,ellecs,,,,61189830.0,ns,150570
fragmented_iter_20,ellecs,,,,61653689.0,ns,152960
fragmented_iter_20,ellecs,,,,62768618.0,ns,155350
fragmented_iter_20,ellecs,,,,64172905.0,ns,157740
fragmented_iter_20,ellecs,,,,64421445.0,ns,160130
