group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter_20,hecs,,,,940688.0,ns,911
fragmented_iter_20,hecs,,,,2079477.0,ns,1822
fragmented_iter_20,hecs,,,,3435475.0,ns,2733
fragmented_iter_20,hecs,,,,4383053.0,ns,3644
fragmented_iter_20,hecs,,,,4780572.0,ns,4555
fragmented_iter_20,hecs,,,,5659561.0,ns,5466
fragmented_iter_20,hecs,,,,6583668.0,ns,6377
fragmented_iter_20,hecs,,,,7550249.0,ns,7288
fragmented_iter_20,hecs,,,,9252285.0,ns,8199
fragmented_iter_20,hecs,,,,9490414.0,ns,9110
fragmented_iter_20,hecs,,,,10359693.0,ns,10021
fragmented_iter_20,hecs,,,,12500659.0,ns,10932
fragmented_iter_20,hecs,,,,13127849.0,ns,11843
fragmented_iter_20,hecs,,,,13846727.0,ns,12754
fragmented_iter_20,hecs,,,,14910676.0,ns,13665
fragmented_iter_20,hecs,,,,15587114.0,ns,14576
fragmented_iter_20,hecs,,,,17781261.0,ns,15487
fragmented_iter_20,hecs,,,,18737409.0,ns,16398
fragmented_iter_20,hecs,,,,19698997.0,ns,17309
fragmented_iter_20,hecs,,,,19376888.0,ns,18220
fragmented_iter_20,hecs,,,,21792754.0,ns,19131
fragmented_iter_20,hecs,,,,20913025.0,ns,20042
fragmented_iter_20,hecs,,,,23103682.0,ns,20953
fragmented_iter_20,hecs,,,,26008717.0,ns,21864
fragmented_iter_20,hecs,,,,24936019.0,ns,22775
fragmented_iter_20,hecs,,,,26024337.0,ns,23686
fragmented_iter_20,hecs,,,,26010317.0,ns,24597
fragmented_iter_20,hecs,,,,27315324.0,ns,25508
fragmented_iter_20,hecs,,,,29231962.0,ns,26419
fragmented_iter_20,hecs,,,,29368151.0,ns,27330
fragmented_iter_20,hecs,,,,30554100.0,ns,28241
fragmented_iter_20,hecs,,,,32086107.0,ns,29152
fragmented_iter_20,hecs,,,,32191207.0,ns,30063
fragmented_iter_20,hecs,,,,34034893.0,ns,30974
fragmented_iter_20,hecs,,,,34809743.0,ns,31885
fragmented_iter_20,hecs,,,,35520861.0,ns,32796
fragmented_iter_20,hecs,,,,38054257.0,ns,33707
fragmented_iter_20,hecs,,,,37121619.0,ns,34618
fragmented_iter_20,hecs,,,,38080006.0,ns,35529
fragmented_iter_20,hecs,,,,39670855.0,ns,36440
fragmented_iter_20,hecs,,,,41493681.0,ns,37351
fragmented_iter_20,hecs,,,,40592893.0,ns,38262
fragmented_iter_20,hecs,,,,41256092.0,ns,39173
fragmented_iter_20,hecs,,,,43810658.0,ns,40084
fragmented_iter_20,hecs,,,,45651165.0,ns,40995
fragmented_iter_20,hecs,,,,50596816.0,ns,41906
fragmented_iter_20,hecs,,,,48158251.0,ns,42817
fragmented_iter_20,hecs,,,,47640790.0,ns,43728
fragmented_iter_20,hecs,,,,49878978.0,ns,44639
fragmented_iter_20,hecs,,,,51453545.0,ns,45550
fragmented_iter_20,hecs,,,,51042256.0,ns,46461
fragmented_iter_20,hecs,,,,51962043.0,ns,47372
fragmented_iter_20,hecs,,,,56260067.0,ns,48283
fragmented_iter_20,hecs,,,,53925411.0,ns,49194
fragmented_iter_20,hecs,,,,54854610.0,ns,50105
fragmented_iter_20,hecs,,,,54551230.0,ns,51016
fragmented_iter_20,hecs,,,,57088586.0,ns,51927
fragmented_iter_20,hecs,,,,57181765.0,ns,52838
fragmented_iter_20,hecs,,,,55970968.0,ns,53749
fragmented_iter_20,hecs,,,,58137044.0,ns,54660
fragmented_iter_20,hecs,,,,59085452.0,ns,55571
fragmented_iter_20,hecs,,,,60645849.0,ns,56482
fragmented_iter_20,hecs,,,,60817430.0,ns,57393
fragmented_iter_20,hecs,,,,61792397.0,ns,58304
fragmented_iter_20,hecs,,,,61730368.0,ns,59215
fragmented_iter_20,hecs,,,,63865624.0,ns,60126
fragmented_iter_20,hecs,,,,64232904.0,ns,61037
fragmented_iter_20,hecs,,,,68533447.0,ns,61948
fragmented_iter_20,hecs,,,,71778332.0,ns,62859
fragmented_iter_20,hecs,,,,71434361.0,ns,63770
fragmented_iter_20,hecs,,,,67608618.0,ns,64681
fragmented_iter_20,hecs,,,,71151033.0,ns,65592
fragmented_iter_20,hecs,,,,74912576.0,ns,66503
fragmented_iter_20,hecs,,,,76670072.0,ns,67414
fragmented_iter_20,hecs,,,,72886580.0,ns,68325
fragmented_iter_20,hecs,,,,76126114.0,ns,69236
fragmented_iter_20,hecs,,,,74199557.0,ns,70147
fragmented_iter_20,hecs,,,,75773915.0,ns,71058
fragmented_iter_20,hecs,,,,75772665.0,ns,71969
fragmented_iter_20,hecs,,,,81284235.0,ns,72880
fragmented_iter_20,hecs,,,,81559836.0,ns,73791
fragmented_iter_20,hecs,,,,81934023.0,ns,74702
fragmented_iter_20,hecs,,,,79529189.0,ns,75613
fragmented_iter_20,hecs,,,,82475683.0,ns,76524
fragmented_iter_20,hecs,,,,86948956.0,ns,77435
fragmented_iter_20,hecs,,,,83264932.0,ns,78346
fragmented_iter_20,hecs,,,,89748121.0,ns,79257
fragmented_iter_20,hecs,,,,85059720.0,ns,80168
fragmented_iter_20,hecs,,,,85430818.0,ns,81079
fragmented_iter_20,hecs,,,,88738063.0,ns,81990
fragmented_iter_20,hecs,,,,87036096.0,ns,82901
fragmented_iter_20,hecs,,,,90467320.0,ns,83812
fragmented_iter_20,hecs,,,,90067390.0,ns,84723
fragmented_iter_20,hecs,,,,96938530.0,ns,85634
fragmented_iter_20,hecs,,,,94857053.0,ns,86545
fragmented_iter_20,hecs,,,,95303233.0,ns,87456
fragmented_iter_20,hecs,,,,99938284.0,ns,88367
fragmented_iter_20,hecs,,,,120967349.0,ns,89278
fragmented_iter_20,hecs,,,,96919610.0,ns,90189
fragmented_iter_20,hecs,,,,107036483.0,ns,91100
