group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter_200,ellecs,,,,1415328.0,ns,1195
fragmented_iter_200,ellecs,,,,3067555.0,ns,2390
fragmented_iter_200,ellecs,,,,4025233.0,ns,3585
fragmented_iter_200,ellecs,,,,3716904.0,ns,4780
fragmented_iter_200,ellecs,,,,5031011.0,ns,5975
fragmented_iter_200,ellecs,,,,5582321.0,ns,7170
fragmented_iter_200,ellecs,,,,6390119.0,ns,8365
fragmented_iter_200,ellecs,,,,8470935.0,ns,9560
fragmented_iter_200,ellecs,,,,10207553.0,ns,10755
fragmented_iter_200,ellecs,,,,9673254.0,ns,11950
fragmented_iter_200,ellecs,,,,10705772.0,ns,13145
fragmented_iter_200,ellecs,,,,11515030.0,ns,14340
fragmented_iter_200,ellecs,,,,12013260.0,ns,15535
fragmented_iter_200,ellecs,,,,13091778.0,ns,16730
fragmented_iter_200,ellecs,,,,13794156.0,ns,17925
fragmented_iter_200,ellecs,,,,14874945.0,ns,19120
fragmented_iter_200,ellecs,,,,15758584.0,ns,20315
fragmented_iter_200,ellecs,,,,16695101.0,ns,21510
fragmented_iter_200,ellecs,,,,17457681.0,ns,22705
fragmented_iter_200,ellecs,,,,19040878.0,ns,23900
fragmented_iter_200,ellecs,,,,19942805.0,ns,25095
fragmented_iter_200,ellecs,,,,20455285.0,ns,26290
fragmented_iter_200,ellecs,,,,21331554.0,ns,27485
fragmented_iter_200,ellecs,,,,22191342.0,ns,28680
fragmented_iter_200,ellecs,,,,23207171.0,ns,29875
fragmented_iter_200,ellecs,,,,23948410.0,ns,31070
fragmented_iter_200,ellecs,,,,29436439.0,ns,32265
fragmented_iter_200,ellecs,,,,27818803.0,ns,33460
fragmented_iter_200,ellecs,,,,30153109.0,ns,34655
fragmented_iter_200,ellecs,,,,27831932.0,ns,35850
fragmented_iter_200,ellecs,,,,29720460.0,ns,37045
fragmented_iter_200,ellecs,,,,29774430.0,ns,38240
fragmented_iter_200,ellecs,,,,35005930.0,ns,39435
fragmented_iter_200,ellecs,,,,34604351.0,ns,40630
fragmented_iter_200,ellecs,,,,34301642.0,ns,41825
fragmented_iter_200,ellecs,,,,41391540.0,ns,43020
fragmented_iter_200,ellecs,,,,36777188.0,ns,44215
fragmented_iter_200,ellecs,,,,34608101.0,ns,45410
fragmented_iter_200,ellecs,,,,37864615.0,ns,46605
fragmented_iter_200,ellecs,,,,40633750.0,ns,47800
fragmented_iter_200,ellecs,,,,39123624.0,ns,48995
