group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter_200,hecs,,,,957538.0,ns,339
fragmented_iter_200,hecs,,,,1890557.0,ns,678
fragmented_iter_200,hecs,,,,2990695.0,ns,1017
fragmented_iter_200,hecs,,,,4667192.0,ns,1356
fragmented_iter_200,hecs,,,,5523130.0,ns,1695
fragmented_iter_200,hecs,,,,6411749.0,ns,2034
fragmented_iter_200,hecs,,,,6747129.0,ns,2373
fragmented_iter_200,hecs,,,,7711796.0,ns,2712
fragmented_iter_200,hecs,,,,8909825.0,ns,3051
fragmented_iter_200,hecs,,,,10155493.0,ns,3390
fragmented_iter_200,hecs,,,,10394722.0,ns,3729
fragmented_iter_200,hecs,,,,11631131.0,ns,4068
fragmented_iter_200,hecs,,,,12658848.0,ns,4407
fragmented_iter_200,hecs,,,,13531047.0,ns,4746
fragmented_iter_200,hecs,,,,14948235.0,ns,5085
fragmented_iter_200,hecs,,,,16355471.0,ns,5424
fragmented_iter_200,hecs,,,,16046392.0,ns,5763
fragmented_iter_200,hecs,,,,17352650.0,ns,6102
fragmented_iter_200,hecs,,,,19094287.0,ns,6441
fragmented_iter_200,hecs,,,,21722644.0,ns,6780
fragmented_iter_200,hecs,,,,20110046.0,ns,7119
fragmented_iter_200,hecs,,,,22714041.0,ns,7458
fragmented_iter_200,hecs,,,,22824881.0,ns,7797
fragmented_iter_200,hecs,,,,22886211.0,ns,8136
fragmented_iter_200,hecs,,,,25445537.0,ns,8475
fragmented_iter_200,hecs,,,,26274345.0,ns,8814
fragmented_iter_200,hecs,,,,25842386.0,ns,9153
fragmented_iter_200,hecs,,,,26716293.0,ns,9492
fragmented_iter_200,hecs,,,,27386693.0,ns,9831
fragmented_iter_200,hecs,,,,28424601.0,ns,10170
fragmented_iter_200,hecs,,,,29521339.0,ns,10509
fragmented_iter_200,hecs,,,,32402155.0,ns,10848
fragmented_iter_200,hecs,,,,33033542.0,ns,11187
fragmented_iter_200,hecs,,,,33096874.0,ns,11526
fragmented_iter_200,hecs,,,,33162833.0,ns,11865
fragmented_iter_200,hecs,,,,34106661.0,ns,12204
fragmented_iter_200,hecs,,,,35321789.0,ns,12543
fragmented_iter_200,hecs,,,,38505394.0,ns,12882
fragmented_iter_200,hecs,,,,37236146.0,ns,13221
fragmented_iter_200,hecs,,,,40304000.0,ns,13560
fragmented_iter_200,hecs,,,,39580072.0,ns,13899
fragmented_iter_200,hecs,,,,40994919.0,ns,14238
fragmented_iter_200,hecs,,,,45156352.0,ns,14577
fragmented_iter_200,hecs,,,,44973143.0,ns,14916
fragmented_iter_200,hecs,,,,45322912.0,ns,15255
