group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter_2000,bevy,,,,996499.0,ns,17
fragmented_iter_2000,bevy,,,,2031086.0,ns,34
fragmented_iter_2000,bevy,,,,2996335.0,ns,51
fragmented_iter_2000,bevy,,,,4078163.0,ns,68
fragmented_iter_2000,bevy,,,,5027061.0,ns,85
fragmented_iter_2000,bevy,,,,6005880.0,ns,102
fragmented_iter_2000,bevy,,,,6987897.0,ns,119
fragmented_iter_2000,bevy,,,,8100075.0,ns,136
fragmented_iter_2000,bevy,,,,9095944.0,ns,153
fragmented_iter_2000,bevy,,,,10062903.0,ns,170
fragmented_iter_2000,bevy,,,,11074760.0,ns,187
fragmented_iter_2000,bevy,,,,12146439.0,ns,204
fragmented_iter_2000,bevy,,,,13030708.0,ns,221
fragmented_iter_2000,bevy,,,,14057905.0,ns,238
fragmented_iter_2000,bevy,,,,15079573.0,ns,255
fragmented_iter_2000,bevy,,,,16150672.0,ns,272
fragmented_iter_2000,bevy,,,,16996340.0,ns,289
fragmented_iter_2000,bevy,,,,18000749.0,ns,306
fragmented_iter_2000,bevy,,,,19114516.0,ns,323
fragmented_iter_2000,bevy,,,,20123226.0,ns,340
fragmented_iter_2000,bevy,,,,21096183.0,ns,357
fragmented_iter_2000,bevy,,,,22129331.0,ns,374
fragmented_iter_2000,bevy,,,,28869160.0,ns,391
fragmented_iter_2000,bevy,,,,25328706.0,ns,408
fragmented_iter_2000,bevy,,,,24970657.0,ns,425
fragmented_iter_2000,bevy,,,,25979904.0,ns,442
fragmented_iter_2000,bevy,,,,27059283.0,ns,459
fragmented_iter_2000,bevy,,,,28038192.0,ns,476
fragmented_iter_2000,bevy,,,,29030769.0,ns,493
fragmented_iter_2000,bevy,,,,30035538.0,ns,510
fragmented_iter_2000,bevy,,,,30990686.0,ns,527
fragmented_iter_2000,bevy,,,,32027164.0,ns,544
fragmented_iter_2000,bevy,,,,32910973.0,ns,561
fragmented_iter_2000,bevy,,,,34029641.0,ns,578
fragmented_iter_2000,bevy,,,,35036800.0,ns,595
fragmented_iter_2000,bevy,,,,35965217.0,ns,612
fragmented_iter_2000,bevy,,,,36938586.0,ns,629
fragmented_iter_2000,bevy,,,,38004534.0,ns,646
fragmented_iter_2000,bevy,,,,38904752.0,ns,663
