group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
get,ellecs,,,,1052499.0,ns,7
get,ellecs,,,,2096797.0,ns,14
get,ellecs,,,,3161155.0,ns,21
get,ellecs,,,,4369753.0,ns,28
get,ellecs,,,,5272213.0,ns,35
get,ellecs,,,,6304319.0,ns,42
get,ellecs,,,,7620229.0,ns,49
get,ellecs,,,,8556048.0,ns,56
get,ellecs,,,,9463456.0,ns,63
get,ellecs,,,,10670294.0,ns,70
get,ellecs,,,,11749432.0,ns,77
get,ellecs,,,,12700751.0,ns,84
get,ellecs,,,,13723869.0,ns,91
get,ellecs,,,,14823807.0,ns,98
get,ellecs,,,,15776286.0,ns,105
get,ellecs,,,,16889665.0,ns,112
get,ellecs,,,,17903903.0,ns,119
get,ellecs,,,,18999511.0,ns,126
get,ellecs,,,,20403359.0,ns,133
get,ellecs,,,,21262417.0,ns,140
get,ellecs,,,,22459077.0,ns,147
get,ellecs,,,,23443515.0,ns,154
get,ellecs,,,,24360053.0,ns,161
get,ellecs,,,,25332712.0,ns,168
get,ellecs,,,,26288640.0,ns,175
get,ellecs,,,,27438859.0,ns,182
get,ellecs,,,,28631947.0,ns,189
get,ellecs,,,,29798824.0,ns,196
get,ellecs,,,,30872033.0,ns,203
get,ellecs,,,,31736763.0,ns,210
get,ellecs,,,,32881669.0,ns,217
get,ellecs,,,,33881850.0,ns,224
get,ellecs,,,,34885616.0,ns,231
get,ellecs,,,,35869037.0,ns,238
get,ellecs,,,,37481233.0,ns,245
get,ellecs,,,,37963633.0,ns,252
get,ellecs,,,,39099411.0,ns,259
get,ellecs,,,,40249609.0,ns,266
get,ellecs,,,,41695337.0,ns,273
get,ellecs,,,,42430145.0,ns,280
get,ellecs,,,,43329575.0,ns,287
get,ellecs,,,,44265923.0,ns,294
get,ellecs,,,,45516001.0,ns,301
get,ellecs,,,,46425219.0,ns,308
get,ellecs,,,,47513168.0,ns,315
get,ellecs,,,,48441167.0,ns,322
get,ellecs,,,,49746494.0,ns,329
get,ellecs,,,,50554464.0,ns,336
get,ellecs,,,,51784692.0,ns,343
get,ellecs,,,,53216279.0,ns,350
get,ellecs,,,,54682927.0,ns,357
get,ellecs,,,,55526866.0,ns,364
get,ellecs,,,,56758644.0,ns,371
get,ellecs,,,,57587703.0,ns,378
get,ellecs,,,,58996710.0,ns,385
get,ellecs,,,,59659180.0,ns,392
get,ellecs,,,,60513748.0,ns,399
get,ellecs,,,,62454615.0,ns,406
get,ellecs,,,,62065156.0,ns,413
get,ellecs,,,,63096214.0,ns,420
get,ellecs,,,,64413443.0,ns,427
get,ellecs,,,,65297621.0,ns,434
get,ellecs,,,,66289869.0,ns,441
get,ellecs,,,,67393338.0,ns,448
get,ellecs,,,,74696357.0,ns,455
get,ellecs,,,,69406585.0,ns,462
get,ellecs,,,,70724582.0,ns,469
get,ellecs,,,,71806531.0,ns,476
get,ellecs,,,,73285110.0,ns,483
get,ellecs,,,,75476096.0,ns,490
get,ellecs,,,,75231325.0,ns,497
get,ellecs,,,,80006589.0,ns,504
get,ellecs,,,,77275863.0,ns,511
get,ellecs,,,,80456018.0,ns,518
get,ellecs,,,,79344359.0,ns,525
get,ellecs,,,,80632928.0,ns,532
get,ellecs,,,,85305481.0,ns,539
get,ellecs,,,,82947194.0,ns,546
get,ellecs,,,,86333779.0,ns,553
get,ellecs,,,,88058496.0,ns,560
get,ellecs,,,,85764170.0,ns,567
get,ellecs,,,,86749798.0,ns,574
get,ellecs,,,,87688797.0,ns,581
get,ellecs,,,,90330682.0,ns,588
get,ellecs,,,,100701357.0,ns,595
get,ellecs,,,,91307402.0,ns,602
get,ellecs,,,,99119530.0,ns,609
get,ellecs,,,,95441995.0,ns,616
get,ellecs,,,,98249821.0,ns,623
get,ellecs,,,,95877574.0,ns,630
get,ellecs,,,,98495710.0,ns,637
get,ellecs,,,,104235482.0,ns,644
get,ellecs,,,,101696426.0,ns,651
get,ellecs,,,,99946738.0,ns,658
get,ellecs,,,,100267997.0,ns,665
get,ellecs,,,,103785212.0,ns,672
get,ellecs,,,,104351192.0,ns,679
get,ellecs,,,,107984015.0,ns,686
get,ellecs,,,,108622005.0,ns,693
get,ellecs,,,,108515855.0,ns,700
