group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
get,hecs,,,,1070259.0,ns,3
get,hecs,,,,2151676.0,ns,6
get,hecs,,,,3940644.0,ns,9
get,hecs,,,,3677543.0,ns,12
get,hecs,,,,4603583.0,ns,15
get,hecs,,,,6362111.0,ns,18
get,hecs,,,,8004208.0,ns,21
get,hecs,,,,8867077.0,ns,24
get,hecs,,,,9565896.0,ns,27
get,hecs,,,,12073061.0,ns,30
get,hecs,,,,12787811.0,ns,33
get,hecs,,,,12177252.0,ns,36
get,hecs,,,,13746089.0,ns,39
get,hecs,,,,14492438.0,ns,42
get,hecs,,,,16430896.0,ns,45
get,hecs,,,,16266356.0,ns,48
get,hecs,,,,20090130.0,ns,51
get,hecs,,,,20762550.0,ns,54
get,hecs,,,,22344296.0,ns,57
get,hecs,,,,21406648.0,ns,60
get,hecs,,,,21918887.0,ns,63
get,hecs,,,,25161902.0,ns,66
get,hecs,,,,25987412.0,ns,69
get,hecs,,,,27070540.0,ns,72
get,hecs,,,,27567619.0,ns,75
get,hecs,,,,26629391.0,ns,78
get,hecs,,,,29677195.0,ns,81
get,hecs,,,,30152515.0,ns,84
get,hecs,,,,29932495.0,ns,87
get,hecs,,,,31414413.0,ns,90
get,hecs,,,,32759791.0,ns,93
get,hecs,,,,34598948.0,ns,96
get,hecs,,,,36114086.0,ns,99
get,hecs,,,,40609509.0,ns,102
get,hecs,,,,38478602.0,ns,105
get,hecs,,,,40710619.0,ns,108
get,hecs,,,,41753177.0,ns,111
get,hecs,,,,43820624.0,ns,114
get,hecs,,,,44653653.0,ns,117
get,hecs,,,,48340168.0,ns,120
get,hecs,,,,49493996.0,ns,123
get,hecs,,,,50029885.0,ns,126
get,hecs,,,,50701585.0,ns,129
get,hecs,,,,51026804.0,ns,132
get,hecs,,,,47869269.0,ns,135
get,hecs,,,,48547988.0,ns,138
get,hecs,,,,50517685.0,ns,141
get,hecs,,,,54363868.0,ns,144
get,hecs,,,,57696614.0,ns,147
get,hecs,,,,52132982.0,ns,150
get,hecs,,,,49929655.0,ns,153
get,hecs,,,,58782052.0,ns,156
get,hecs,,,,58516083.0,ns,159
get,hecs,,,,62188867.0,ns,162
get,hecs,,,,60406200.0,ns,165
get,hecs,,,,53906828.0,ns,168
get,hecs,,,,59281732.0,ns,171
get,hecs,,,,60593829.0,ns,174
get,hecs,,,,68588927.0,ns,177
get,hecs,,,,68416097.0,ns,180
get,hecs,,,,67097710.0,ns,183
get,hecs,,,,68680467.0,ns,186
get,hecs,,,,74541928.0,ns,189
get,hecs,,,,70919265.0,ns,192
get,hecs,,,,77925193.0,ns,195
get,hecs,,,,65832571.0,ns,198
get,hecs,,,,69837356.0,ns,201
get,hecs,,,,75267928.0,ns,204
get,hecs,,,,74989518.0,ns,207
get,hecs,,,,75416326.0,ns,210
get,hecs,,,,80453419.0,ns,213
get,hecs,,,,79654571.0,ns,216
get,hecs,,,,81954327.0,ns,219
get,hecs,,,,81871927.0,ns,222
get,hecs,,,,88282438.0,ns,225
get,hecs,,,,82166157.0,ns,228
get,hecs,,,,83673375.0,ns,231
get,hecs,,,,81531028.0,ns,234
get,hecs,,,,77348444.0,ns,237
get,hecs,,,,78942082.0,ns,240
get,hecs,,,,82493046.0,ns,243
get,hecs,,,,84226253.0,ns,246
get,hecs,,,,97698563.0,ns,249
get,hecs,,,,99346331.0,ns,252
get,hecs,,,,88975676.0,ns,255
get,hecs,,,,98507742.0,ns,258
get,hecs,,,,94833398.0,ns,261
get,hecs,,,,103773745.0,ns,264
get,hecs,,,,102347806.0,ns,267
get,hecs,,,,100159799.0,ns,270
get,hecs,,,,84821643.0,ns,273
get,hecs,,,,91245912.0,ns,276
get,hecs,,,,103873184.0,ns,279
get,hecs,,,,101846497.0,ns,282
get,hecs,,,,88689987.0,ns,285
get,hecs,,,,100465749.0,ns,288
get,hecs,,,,111207033.0,ns,291
get,hecs,,,,105278072.0,ns,294
get,hecs,,,,105633221.0,ns,297
get,hecs,,,,104160634.0,ns,300
