group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,bevy,,,,1041468.0,ns,1
heavy_compute,bevy,,,,2235455.0,ns,2
heavy_compute,bevy,,,,3254023.0,ns,3
heavy_compute,bevy,,,,4550011.0,ns,4
heavy_compute,bevy,,,,6044598.0,ns,5
heavy_compute,bevy,,,,7012496.0,ns,6
heavy_compute,bevy,,,,8275164.0,ns,7
heavy_compute,bevy,,,,9527262.0,ns,8
heavy_compute,bevy,,,,9599971.0,ns,9
heavy_compute,bevy,,,,10768568.0,ns,10
heavy_compute,bevy,,,,11796338.0,ns,11
heavy_compute,bevy,,,,13193905.0,ns,12
heavy_compute,bevy,,,,14560692.0,ns,13
heavy_compute,bevy,,,,19712391.0,ns,14
heavy_compute,bevy,,,,16989587.0,ns,15
heavy_compute,bevy,,,,18494084.0,ns,16
heavy_compute,bevy,,,,19268053.0,ns,17
heavy_compute,bevy,,,,18279424.0,ns,18
heavy_compute,bevy,,,,21821798.0,ns,19
heavy_compute,bevy,,,,20978530.0,ns,20
heavy_compute,bevy,,,,23922894.0,ns,21
heavy_compute,bevy,,,,25216091.0,ns,22
heavy_compute,bevy,,,,24958152.0,ns,23
heavy_compute,bevy,,,,19801541.0,ns,24
heavy_compute,bevy,,,,26284969.0,ns,25
heavy_compute,bevy,,,,32117548.0,ns,26
heavy_compute,bevy,,,,31913849.0,ns,27
heavy_compute,bevy,,,,29512193.0,ns,28
heavy_compute,bevy,,,,30104512.0,ns,29
heavy_compute,bevy,,,,33725535.0,ns,30
heavy_compute,bevy,,,,32747156.0,ns,31
heavy_compute,bevy,,,,36303499.0,ns,32
heavy_compute,bevy,,,,38008557.0,ns,33
heavy_compute,bevy,,,,39550973.0,ns,34
heavy_compute,bevy,,,,39984213.0,ns,35
heavy_compute,bevy,,,,42260108.0,ns,36
heavy_compute,bevy,,,,37776206.0,ns,37
heavy_compute,bevy,,,,39892763.0,ns,38
heavy_compute,bevy,,,,42880967.0,ns,39
heavy_compute,bevy,,,,44720934.0,ns,40
heavy_compute,bevy,,,,45523272.0,ns,41
heavy_compute,bevy,,,,47666567.0,ns,42
heavy_compute,bevy,,,,48085817.0,ns,43
heavy_compute,bevy,,,,47780158.0,ns,44
heavy_compute,bevy,,,,44280614.0,ns,45
heavy_compute,bevy,,,,49906913.0,ns,46
heavy_compute,bevy,,,,50866291.0,ns,47
heavy_compute,bevy,,,,52711838.0,ns,48
heavy_compute,bevy,,,,53531976.0,ns,49
heavy_compute,bevy,,,,57825748.0,ns,50
heavy_compute,bevy,,,,60387092.0,ns,51
heavy_compute,bevy,,,,57871138.0,ns,52
heavy_compute,bevy,,,,65166544.0,ns,53
heavy_compute,bevy,,,,62973618.0,ns,54
heavy_compute,bevy,,,,64726524.0,ns,55
heavy_compute,bevy,,,,84926065.0,ns,56
heavy_compute,bevy,,,,59726014.0,ns,57
heavy_compute,bevy,,,,65892802.0,ns,58
heavy_compute,bevy,,,,65085374.0,ns,59
heavy_compute,bevy,,,,67992748.0,ns,60
heavy_compute,bevy,,,,65725822.0,ns,61
heavy_compute,bevy,,,,67195331.0,ns,62
heavy_compute,bevy,,,,69018076.0,ns,63
heavy_compute,bevy,,,,67425469.0,ns,64
heavy_compute,bevy,,,,67897738.0,ns,65
heavy_compute,bevy,,,,70037064.0,ns,66
heavy_compute,bevy,,,,77674769.0,ns,67
heavy_compute,bevy,,,,75930292.0,ns,68
heavy_compute,bevy,,,,79987505.0,ns,69
heavy_compute,bevy,,,,76696580.0,ns,70
heavy_compute,bevy,,,,78040439.0,ns,71
heavy_compute,bevy,,,,78228117.0,ns,72
heavy_compute,bevy,,,,81232342.0,ns,73
heavy_compute,bevy,,,,78954076.0,ns,74
heavy_compute,bevy,,,,83688947.0,ns,75
heavy_compute,bevy,,,,85545434.0,ns,76
heavy_compute,bevy,,,,87190651.0,ns,77
heavy_compute,bevy,,,,83746328.0,ns,78
heavy_compute,bevy,,,,82955638.0,ns,79
heavy_compute,bevy,,,,83952977.0,ns,80
heavy_compute,bevy,,,,84835765.0,ns,81
heavy_compute,bevy,,,,91010134.0,ns,82
heavy_compute,bevy,,,,94747935.0,ns,83
heavy_compute,bevy,,,,97271631.0,ns,84
heavy_compute,bevy,,,,89594186.0,ns,85
heavy_compute,bevy,,,,98321929.0,ns,86
heavy_compute,bevy,,,,80928803.0,ns,87
heavy_compute,bevy,,,,73619038.0,ns,88
heavy_compute,bevy,,,,93398208.0,ns,89
heavy_compute,bevy,,,,105759674.0,ns,90
heavy_compute,bevy,,,,103072179.0,ns,91
heavy_compute,bevy,,,,103273839.0,ns,92
heavy_compute,bevy,,,,102534261.0,ns,93
heavy_compute,bevy,,,,100873784.0,ns,94
heavy_compute,bevy,,,,107630100.0,ns,95
heavy_compute,bevy,,,,100778204.0,ns,96
heavy_compute,bevy,,,,98326369.0,ns,97
heavy_compute,bevy,,,,93930468.0,ns,98
heavy_compute,bevy,,,,108082050.0,ns,99
heavy_compute,bevy,,,,113801968.0,ns,100
