group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,hecs,,,,4236222.0,ns,2
heavy_compute,hecs,,,,4187971.0,ns,4
heavy_compute,hecs,,,,6708087.0,ns,6
heavy_compute,hecs,,,,8269414.0,ns,8
heavy_compute,hecs,,,,9205351.0,ns,10
heavy_compute,hecs,,,,11711857.0,ns,12
heavy_compute,hecs,,,,13890043.0,ns,14
heavy_compute,hecs,,,,16487707.0,ns,16
heavy_compute,hecs,,,,15689800.0,ns,18
heavy_compute,hecs,,,,19329143.0,ns,20
heavy_compute,hecs,,,,23528205.0,ns,22
heavy_compute,hecs,,,,24872372.0,ns,24
heavy_compute,hecs,,,,25106331.0,ns,26
heavy_compute,hecs,,,,33704674.0,ns,28
heavy_compute,hecs,,,,31456588.0,ns,30
heavy_compute,hecs,,,,30841870.0,ns,32
heavy_compute,hecs,,,,33405844.0,ns,34
heavy_compute,hecs,,,,37011708.0,ns,36
heavy_compute,hecs,,,,40538932.0,ns,38
heavy_compute,hecs,,,,42091348.0,ns,40
heavy_compute,hecs,,,,43688694.0,ns,42
heavy_compute,hecs,,,,45199792.0,ns,44
heavy_compute,hecs,,,,46218390.0,ns,46
heavy_compute,hecs,,,,48199175.0,ns,48
heavy_compute,hecs,,,,42744187.0,ns,50
heavy_compute,hecs,,,,51138380.0,ns,52
heavy_compute,hecs,,,,56445900.0,ns,54
heavy_compute,hecs,,,,57782687.0,ns,56
heavy_compute,hecs,,,,60270492.0,ns,58
heavy_compute,hecs,,,,75209313.0,ns,60
heavy_compute,hecs,,,,63138996.0,ns,62
heavy_compute,hecs,,,,58921235.0,ns,64
heavy_compute,hecs,,,,66442880.0,ns,66
heavy_compute,hecs,,,,64700093.0,ns,68
heavy_compute,hecs,,,,72733958.0,ns,70
heavy_compute,hecs,,,,63674076.0,ns,72
heavy_compute,hecs,,,,80591192.0,ns,74
heavy_compute,hecs,,,,76797630.0,ns,76
heavy_compute,hecs,,,,79639685.0,ns,78
heavy_compute,hecs,,,,79619014.0,ns,80
heavy_compute,hecs,,,,75366013.0,ns,82
heavy_compute,hecs,,,,69376604.0,ns,84
heavy_compute,hecs,,,,90462972.0,ns,86
heavy_compute,hecs,,,,94509795.0,ns,88
heavy_compute,hecs,,,,99984444.0,ns,90
heavy_compute,hecs,,,,101739601.0,ns,92
heavy_compute,hecs,,,,106114562.0,ns,94
heavy_compute,hecs,,,,97181219.0,ns,96
heavy_compute,hecs,,,,105800993.0,ns,98
heavy_compute,hecs,,,,112711430.0,ns,100
heavy_compute,hecs,,,,117014590.0,ns,102
heavy_compute,hecs,,,,107537919.0,ns,104
heavy_compute,hecs,,,,141649592.0,ns,106
heavy_compute,hecs,,,,105813023.0,ns,108
heavy_compute,hecs,,,,114627185.0,ns,110
heavy_compute,hecs,,,,113484867.0,ns,112
heavy_compute,hecs,,,,122397230.0,ns,114
heavy_compute,hecs,,,,120292424.0,ns,116
heavy_compute,hecs,,,,123302838.0,ns,118
heavy_compute,hecs,,,,123687437.0,ns,120
heavy_compute,hecs,,,,121638122.0,ns,122
heavy_compute,hecs,,,,131074173.0,ns,124
heavy_compute,hecs,,,,141473423.0,ns,126
heavy_compute,hecs,,,,133006690.0,ns,128
heavy_compute,hecs,,,,144622436.0,ns,130
heavy_compute,hecs,,,,132477460.0,ns,132
heavy_compute,hecs,,,,145506325.0,ns,134
heavy_compute,hecs,,,,150503975.0,ns,136
heavy_compute,hecs,,,,146232203.0,ns,138
heavy_compute,hecs,,,,141731323.0,ns,140
heavy_compute,hecs,,,,152211571.0,ns,142
heavy_compute,hecs,,,,154956306.0,ns,144
heavy_compute,hecs,,,,154455877.0,ns,146
heavy_compute,hecs,,,,145749293.0,ns,148
heavy_compute,hecs,,,,154614657.0,ns,150
heavy_compute,hecs,,,,157441710.0,ns,152
heavy_compute,hecs,,,,137984159.0,ns,154
heavy_compute,hecs,,,,160229125.0,ns,156
heavy_compute,hecs,,,,158419069.0,ns,158
heavy_compute,hecs,,,,152964199.0,ns,160
heavy_compute,hecs,,,,159466886.0,ns,162
heavy_compute,hecs,,,,146435352.0,ns,164
heavy_compute,hecs,,,,166474223.0,ns,166
heavy_compute,hecs,,,,173395920.0,ns,168
heavy_compute,hecs,,,,175340265.0,ns,170
heavy_compute,hecs,,,,185389645.0,ns,172
heavy_compute,hecs,,,,180721674.0,ns,174
heavy_compute,hecs,,,,178352589.0,ns,176
heavy_compute,hecs,,,,176840392.0,ns,178
heavy_compute,hecs,,,,163863157.0,ns,180
heavy_compute,hecs,,,,182139401.0,ns,182
heavy_compute,hecs,,,,182764870.0,ns,184
heavy_compute,hecs,,,,187665871.0,ns,186
heavy_compute,hecs,,,,192372751.0,ns,188
heavy_compute,hecs,,,,186371663.0,ns,190
heavy_compute,hecs,,,,194927876.0,ns,192
heavy_compute,hecs,,,,192193151.0,ns,194
heavy_compute,hecs,,,,194639717.0,ns,196
heavy_compute,hecs,,,,192479460.0,ns,198
heavy_compute,hecs,,,,177526700.0,ns,200
