group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,legion (packed),,,,4661542.0,ns,2
heavy_compute,legion (packed),,,,3061305.0,ns,4
heavy_compute,legion (packed),,,,5576000.0,ns,6
heavy_compute,legion (packed),,,,5300280.0,ns,8
heavy_compute,legion (packed),,,,6536108.0,ns,10
heavy_compute,legion (packed),,,,7222535.0,ns,12
heavy_compute,legion (packed),,,,8542414.0,ns,14
heavy_compute,legion (packed),,,,9408312.0,ns,16
heavy_compute,legion (packed),,,,10450500.0,ns,18
heavy_compute,legion (packed),,,,12316727.0,ns,20
heavy_compute,legion (packed),,,,19641653.0,ns,22
heavy_compute,legion (packed),,,,15436491.0,ns,24
heavy_compute,legion (packed),,,,15104161.0,ns,26
heavy_compute,legion (packed),,,,16103349.0,ns,28
heavy_compute,legion (packed),,,,17750066.0,ns,30
heavy_compute,legion (packed),,,,18668305.0,ns,32
heavy_compute,legion (packed),,,,19659732.0,ns,34
heavy_compute,legion (packed),,,,21906268.0,ns,36
heavy_compute,legion (packed),,,,23275986.0,ns,38
heavy_compute,legion (packed),,,,24094374.0,ns,40
heavy_compute,legion (packed),,,,25500502.0,ns,42
heavy_compute,legion (packed),,,,25663021.0,ns,44
heavy_compute,legion (packed),,,,26905659.0,ns,46
heavy_compute,legion (packed),,,,27721497.0,ns,48
heavy_compute,legion (packed),,,,28803515.0,ns,50
heavy_compute,legion (packed),,,,31078201.0,ns,52
heavy_compute,legion (packed),,,,32384628.0,ns,54
heavy_compute,legion (packed),,,,32470368.0,ns,56
heavy_compute,legion (packed),,,,33473006.0,ns,58
heavy_compute,legion (packed),,,,34785324.0,ns,60
heavy_compute,legion (packed),,,,35718012.0,ns,62
heavy_compute,legion (packed),,,,37138619.0,ns,64
heavy_compute,legion (packed),,,,38647446.0,ns,66
heavy_compute,legion (packed),,,,46183682.0,ns,68
heavy_compute,legion (packed),,,,46349222.0,ns,70
heavy_compute,legion (packed),,,,48346338.0,ns,72
heavy_compute,legion (packed),,,,51519662.0,ns,74
heavy_compute,legion (packed),,,,51848511.0,ns,76
heavy_compute,legion (packed),,,,60332225.0,ns,78
heavy_compute,legion (packed),,,,51691681.0,ns,80
heavy_compute,legion (packed),,,,55028396.0,ns,82
heavy_compute,legion (packed),,,,54116008.0,ns,84
heavy_compute,legion (packed),,,,51854012.0,ns,86
heavy_compute,legion (packed),,,,52750880.0,ns,88
heavy_compute,legion (packed),,,,55888504.0,ns,90
heavy_compute,legion (packed),,,,53549438.0,ns,92
heavy_compute,legion (packed),,,,71346794.0,ns,94
heavy_compute,legion (packed),,,,67124523.0,ns,96
heavy_compute,legion (packed),,,,67054172.0,ns,98
heavy_compute,legion (packed),,,,64106898.0,ns,100
heavy_compute,legion (packed),,,,60164665.0,ns,102
heavy_compute,legion (packed),,,,60658874.0,ns,104
heavy_compute,legion (packed),,,,63418109.0,ns,106
heavy_compute,legion (packed),,,,62993740.0,ns,108
heavy_compute,legion (packed),,,,66084365.0,ns,110
heavy_compute,legion (packed),,,,67668601.0,ns,112
heavy_compute,legion (packed),,,,72113783.0,ns,114
heavy_compute,legion (packed),,,,72034083.0,ns,116
heavy_compute,legion (packed),,,,72682831.0,ns,118
heavy_compute,legion (packed),,,,77682632.0,ns,120
heavy_compute,legion (packed),,,,82317733.0,ns,122
heavy_compute,legion (packed),,,,84565729.0,ns,124
heavy_compute,legion (packed),,,,75300126.0,ns,126
heavy_compute,legion (packed),,,,75942606.0,ns,128
heavy_compute,legion (packed),,,,77582052.0,ns,130
heavy_compute,legion (packed),,,,82411652.0,ns,132
heavy_compute,legion (packed),,,,91283086.0,ns,134
heavy_compute,legion (packed),,,,101334317.0,ns,136
heavy_compute,legion (packed),,,,102664184.0,ns,138
heavy_compute,legion (packed),,,,107830845.0,ns,140
heavy_compute,legion (packed),,,,101504028.0,ns,142
heavy_compute,legion (packed),,,,106354137.0,ns,144
heavy_compute,legion (packed),,,,119396063.0,ns,146
heavy_compute,legion (packed),,,,115369540.0,ns,148
heavy_compute,legion (packed),,,,99932359.0,ns,150
heavy_compute,legion (packed),,,,91108336.0,ns,152
heavy_compute,legion (packed),,,,90392558.0,ns,154
heavy_compute,legion (packed),,,,93060492.0,ns,156
heavy_compute,legion (packed),,,,91650616.0,ns,158
heavy_compute,legion (packed),,,,95141648.0,ns,160
heavy_compute,legion (packed),,,,96809145.0,ns,162
heavy_compute,legion (packed),,,,98451293.0,ns,164
heavy_compute,legion (packed),,,,98705482.0,ns,166
heavy_compute,legion (packed),,,,100342198.0,ns,168
heavy_compute,legion (packed),,,,101248847.0,ns,170
heavy_compute,legion (packed),,,,100852717.0,ns,172
heavy_compute,legion (packed),,,,103109754.0,ns,174
heavy_compute,legion (packed),,,,106279448.0,ns,176
heavy_compute,legion (packed),,,,110744649.0,ns,178
heavy_compute,legion (packed),,,,108679282.0,ns,180
heavy_compute,legion (packed),,,,107823034.0,ns,182
heavy_compute,legion (packed),,,,108063404.0,ns,184
heavy_compute,legion (packed),,,,110638509.0,ns,186
heavy_compute,legion (packed),,,,111100897.0,ns,188
heavy_compute,legion (packed),,,,112264715.0,ns,190
heavy_compute,legion (packed),,,,112874865.0,ns,192
heavy_compute,legion (packed),,,,113817022.0,ns,194
heavy_compute,legion (packed),,,,114877700.0,ns,196
heavy_compute,legion (packed),,,,117666166.0,ns,198
heavy_compute,legion (packed),,,,118501753.0,ns,200
