group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,legion,,,,1265787.0,ns,2
heavy_compute,legion,,,,2465006.0,ns,4
heavy_compute,legion,,,,3723013.0,ns,6
heavy_compute,legion,,,,6116319.0,ns,8
heavy_compute,legion,,,,7359206.0,ns,10
heavy_compute,legion,,,,8560454.0,ns,12
heavy_compute,legion,,,,8306034.0,ns,14
heavy_compute,legion,,,,9391822.0,ns,16
heavy_compute,legion,,,,12091637.0,ns,18
heavy_compute,legion,,,,11690098.0,ns,20
heavy_compute,legion,,,,12641336.0,ns,22
heavy_compute,legion,,,,13981534.0,ns,24
heavy_compute,legion,,,,15025842.0,ns,26
heavy_compute,legion,,,,16177370.0,ns,28
heavy_compute,legion,,,,17217817.0,ns,30
heavy_compute,legion,,,,18647895.0,ns,32
heavy_compute,legion,,,,19491683.0,ns,34
heavy_compute,legion,,,,20717901.0,ns,36
heavy_compute,legion,,,,22146529.0,ns,38
heavy_compute,legion,,,,23427196.0,ns,40
heavy_compute,legion,,,,24655113.0,ns,42
heavy_compute,legion,,,,25551692.0,ns,44
heavy_compute,legion,,,,27333728.0,ns,46
heavy_compute,legion,,,,27819698.0,ns,48
heavy_compute,legion,,,,29456395.0,ns,50
heavy_compute,legion,,,,31096661.0,ns,52
heavy_compute,legion,,,,31671830.0,ns,54
heavy_compute,legion,,,,32695658.0,ns,56
heavy_compute,legion,,,,33659057.0,ns,58
heavy_compute,legion,,,,38403118.0,ns,60
heavy_compute,legion,,,,35570693.0,ns,62
heavy_compute,legion,,,,37463890.0,ns,64
heavy_compute,legion,,,,38335699.0,ns,66
heavy_compute,legion,,,,41143742.0,ns,68
heavy_compute,legion,,,,40446444.0,ns,70
heavy_compute,legion,,,,42073340.0,ns,72
heavy_compute,legion,,,,43277729.0,ns,74
heavy_compute,legion,,,,44840116.0,ns,76
heavy_compute,legion,,,,45150935.0,ns,78
heavy_compute,legion,,,,47725300.0,ns,80
heavy_compute,legion,,,,49375538.0,ns,82
heavy_compute,legion,,,,49724766.0,ns,84
heavy_compute,legion,,,,52784730.0,ns,86
heavy_compute,legion,,,,53328570.0,ns,88
heavy_compute,legion,,,,51918603.0,ns,90
heavy_compute,legion,,,,54723097.0,ns,92
heavy_compute,legion,,,,54944386.0,ns,94
heavy_compute,legion,,,,55403787.0,ns,96
heavy_compute,legion,,,,56356404.0,ns,98
heavy_compute,legion,,,,57644691.0,ns,100
heavy_compute,legion,,,,60411556.0,ns,102
heavy_compute,legion,,,,60332637.0,ns,104
heavy_compute,legion,,,,61117985.0,ns,106
heavy_compute,legion,,,,67548493.0,ns,108
heavy_compute,legion,,,,64193259.0,ns,110
heavy_compute,legion,,,,65093167.0,ns,112
heavy_compute,legion,,,,66331936.0,ns,114
heavy_compute,legion,,,,66726334.0,ns,116
heavy_compute,legion,,,,69494249.0,ns,118
heavy_compute,legion,,,,69543009.0,ns,120
heavy_compute,legion,,,,72783473.0,ns,122
heavy_compute,legion,,,,72382524.0,ns,124
heavy_compute,legion,,,,77309035.0,ns,126
heavy_compute,legion,,,,73840741.0,ns,128
heavy_compute,legion,,,,75286928.0,ns,130
heavy_compute,legion,,,,76732916.0,ns,132
heavy_compute,legion,,,,81208687.0,ns,134
heavy_compute,legion,,,,79264832.0,ns,136
heavy_compute,legion,,,,81403847.0,ns,138
heavy_compute,legion,,,,90495319.0,ns,140
heavy_compute,legion,,,,83799112.0,ns,142
heavy_compute,legion,,,,85916958.0,ns,144
heavy_compute,legion,,,,86733776.0,ns,146
heavy_compute,legion,,,,86790887.0,ns,148
heavy_compute,legion,,,,88743833.0,ns,150
heavy_compute,legion,,,,90607729.0,ns,152
heavy_compute,legion,,,,95384251.0,ns,154
heavy_compute,legion,,,,93564024.0,ns,156
heavy_compute,legion,,,,92496706.0,ns,158
heavy_compute,legion,,,,93503224.0,ns,160
heavy_compute,legion,,,,101207529.0,ns,162
heavy_compute,legion,,,,95964379.0,ns,164
heavy_compute,legion,,,,99548182.0,ns,166
heavy_compute,legion,,,,98453444.0,ns,168
heavy_compute,legion,,,,102169687.0,ns,170
heavy_compute,legion,,,,104414453.0,ns,172
heavy_compute,legion,,,,102952936.0,ns,174
heavy_compute,legion,,,,102806365.0,ns,176
heavy_compute,legion,,,,110651742.0,ns,178
heavy_compute,legion,,,,104622403.0,ns,180
heavy_compute,legion,,,,108764824.0,ns,182
heavy_compute,legion,,,,110131333.0,ns,184
heavy_compute,legion,,,,109492234.0,ns,186
heavy_compute,legion,,,,110725170.0,ns,188
heavy_compute,legion,,,,121115042.0,ns,190
heavy_compute,legion,,,,112277368.0,ns,192
heavy_compute,legion,,,,114167695.0,ns,194
heavy_compute,legion,,,,121350700.0,ns,196
heavy_compute,legion,,,,116909339.0,ns,198
heavy_compute,legion,,,,127682219.0,ns,200
