group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,legion_0.2.4,,,,54083217.0,ns,14
heavy_compute,legion_0.2.4,,,,49977375.0,ns,14
heavy_compute,legion_0.2.4,,,,50489283.0,ns,14
heavy_compute,legion_0.2.4,,,,50135504.0,ns,14
heavy_compute,legion_0.2.4,,,,50787173.0,ns,14
heavy_compute,legion_0.2.4,,,,54280126.0,ns,14
heavy_compute,legion_0.2.4,,,,52581439.0,ns,14
heavy_compute,legion_0.2.4,,,,50678603.0,ns,14
heavy_compute,legion_0.2.4,,,,50165244.0,ns,14
heavy_compute,legion_0.2.4,,,,50169094.0,ns,14
heavy_compute,legion_0.2.4,,,,52847739.0,ns,14
heavy_compute,legion_0.2.4,,,,50213973.0,ns,14
heavy_compute,legion_0.2.4,,,,50308903.0,ns,14
heavy_compute,legion_0.2.4,,,,50220954.0,ns,14
heavy_compute,legion_0.2.4,,,,49603325.0,ns,14
heavy_compute,legion_0.2.4,,,,49886554.0,ns,14
heavy_compute,legion_0.2.4,,,,50413633.0,ns,14
heavy_compute,legion_0.2.4,,,,50476374.0,ns,14
heavy_compute,legion_0.2.4,,,,49808165.0,ns,14
heavy_compute,legion_0.2.4,,,,50086244.0,ns,14
heavy_compute,legion_0.2.4,,,,49995134.0,ns,14
heavy_compute,legion_0.2.4,,,,49279055.0,ns,14
heavy_compute,legion_0.2.4,,,,52563919.0,ns,14
heavy_compute,legion_0.2.4,,,,50252563.0,ns,14
heavy_compute,legion_0.2.4,,,,50268924.0,ns,14
heavy_compute,legion_0.2.4,,,,50169843.0,ns,14
heavy_compute,legion_0.2.4,,,,50546043.0,ns,14
heavy_compute,legion_0.2.4,,,,52594580.0,ns,14
heavy_compute,legion_0.2.4,,,,52786079.0,ns,14
heavy_compute,legion_0.2.4,,,,50376893.0,ns,14
heavy_compute,legion_0.2.4,,,,50736273.0,ns,14
heavy_compute,legion_0.2.4,,,,50265943.0,ns,14
heavy_compute,legion_0.2.4,,,,50539263.0,ns,14
heavy_compute,legion_0.2.4,,,,50794333.0,ns,14
heavy_compute,legion_0.2.4,,,,51553001.0,ns,14
heavy_compute,legion_0.2.4,,,,50698393.0,ns,14
heavy_compute,legion_0.2.4,,,,50336333.0,ns,14
heavy_compute,legion_0.2.4,,,,50589973.0,ns,14
heavy_compute,legion_0.2.4,,,,51804241.0,ns,14
heavy_compute,legion_0.2.4,,,,53169548.0,ns,14
heavy_compute,legion_0.2.4,,,,50640743.0,ns,14
heavy_compute,legion_0.2.4,,,,50967252.0,ns,14
heavy_compute,legion_0.2.4,,,,52644659.0,ns,14
heavy_compute,legion_0.2.4,,,,49849073.0,ns,14
heavy_compute,legion_0.2.4,,,,50679423.0,ns,14
heavy_compute,legion_0.2.4,,,,50713103.0,ns,14
heavy_compute,legion_0.2.4,,,,51010601.0,ns,14
heavy_compute,legion_0.2.4,,,,50630763.0,ns,14
heavy_compute,legion_0.2.4,,,,52849848.0,ns,14
heavy_compute,legion_0.2.4,,,,54301806.0,ns,14
heavy_compute,legion_0.2.4,,,,50566763.0,ns,14
heavy_compute,legion_0.2.4,,,,50328193.0,ns,14
heavy_compute,legion_0.2.4,,,,49837074.0,ns,14
heavy_compute,legion_0.2.4,,,,50492884.0,ns,14
heavy_compute,legion_0.2.4,,,,52848508.0,ns,14
heavy_compute,legion_0.2.4,,,,52526159.0,ns,14
heavy_compute,legion_0.2.4,,,,50133774.0,ns,14
heavy_compute,legion_0.2.4,,,,50433833.0,ns,14
heavy_compute,legion_0.2.4,,,,50213233.0,ns,14
heavy_compute,legion_0.2.4,,,,50284323.0,ns,14
heavy_compute,legion_0.2.4,,,,49328515.0,ns,14
heavy_compute,legion_0.2.4,,,,49467616.0,ns,14
heavy_compute,legion_0.2.4,,,,53865857.0,ns,14
heavy_compute,legion_0.2.4,,,,52806309.0,ns,14
heavy_compute,legion_0.2.4,,,,50240414.0,ns,14
