group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,shipyard,,,,2969714.0,ns,2
heavy_compute,shipyard,,,,5047760.0,ns,4
heavy_compute,shipyard,,,,4102502.0,ns,6
heavy_compute,shipyard,,,,5704039.0,ns,8
heavy_compute,shipyard,,,,6215207.0,ns,10
heavy_compute,shipyard,,,,7868084.0,ns,12
heavy_compute,shipyard,,,,8797323.0,ns,14
heavy_compute,shipyard,,,,11080018.0,ns,16
heavy_compute,shipyard,,,,11727327.0,ns,18
heavy_compute,shipyard,,,,11640167.0,ns,20
heavy_compute,shipyard,,,,12931035.0,ns,22
heavy_compute,shipyard,,,,14639741.0,ns,24
heavy_compute,shipyard,,,,15552239.0,ns,26
heavy_compute,shipyard,,,,17109546.0,ns,28
heavy_compute,shipyard,,,,18086705.0,ns,30
heavy_compute,shipyard,,,,20474559.0,ns,32
heavy_compute,shipyard,,,,19894450.0,ns,34
heavy_compute,shipyard,,,,21254628.0,ns,36
heavy_compute,shipyard,,,,24265892.0,ns,38
heavy_compute,shipyard,,,,24655091.0,ns,40
heavy_compute,shipyard,,,,24678161.0,ns,42
heavy_compute,shipyard,,,,26269909.0,ns,44
heavy_compute,shipyard,,,,27298416.0,ns,46
heavy_compute,shipyard,,,,31233328.0,ns,48
heavy_compute,shipyard,,,,31043588.0,ns,50
heavy_compute,shipyard,,,,36705167.0,ns,52
heavy_compute,shipyard,,,,32803485.0,ns,54
heavy_compute,shipyard,,,,34850931.0,ns,56
heavy_compute,shipyard,,,,34561252.0,ns,58
heavy_compute,shipyard,,,,37903085.0,ns,60
heavy_compute,shipyard,,,,38161034.0,ns,62
heavy_compute,shipyard,,,,40081931.0,ns,64
heavy_compute,shipyard,,,,39500152.0,ns,66
heavy_compute,shipyard,,,,41829007.0,ns,68
heavy_compute,shipyard,,,,44001083.0,ns,70
heavy_compute,shipyard,,,,44169463.0,ns,72
heavy_compute,shipyard,,,,44295862.0,ns,74
heavy_compute,shipyard,,,,46501967.0,ns,76
heavy_compute,shipyard,,,,48934493.0,ns,78
heavy_compute,shipyard,,,,47934275.0,ns,80
heavy_compute,shipyard,,,,49599822.0,ns,82
heavy_compute,shipyard,,,,50518440.0,ns,84
heavy_compute,shipyard,,,,51577577.0,ns,86
heavy_compute,shipyard,,,,52376006.0,ns,88
heavy_compute,shipyard,,,,53598234.0,ns,90
heavy_compute,shipyard,,,,56298788.0,ns,92
heavy_compute,shipyard,,,,56223338.0,ns,94
heavy_compute,shipyard,,,,57766475.0,ns,96
heavy_compute,shipyard,,,,58775683.0,ns,98
heavy_compute,shipyard,,,,61263238.0,ns,100
heavy_compute,shipyard,,,,65952389.0,ns,102
heavy_compute,shipyard,,,,70419460.0,ns,104
heavy_compute,shipyard,,,,69996111.0,ns,106
heavy_compute,shipyard,,,,72498286.0,ns,108
heavy_compute,shipyard,,,,71910937.0,ns,110
heavy_compute,shipyard,,,,71303739.0,ns,112
heavy_compute,shipyard,,,,74690122.0,ns,114
heavy_compute,shipyard,,,,90422910.0,ns,116
heavy_compute,shipyard,,,,78380674.0,ns,118
heavy_compute,shipyard,,,,77265237.0,ns,120
heavy_compute,shipyard,,,,80200991.0,ns,122
heavy_compute,shipyard,,,,87233467.0,ns,124
heavy_compute,shipyard,,,,85015512.0,ns,126
heavy_compute,shipyard,,,,83223205.0,ns,128
heavy_compute,shipyard,,,,89180263.0,ns,130
heavy_compute,shipyard,,,,81690908.0,ns,132
heavy_compute,shipyard,,,,81120628.0,ns,134
heavy_compute,shipyard,,,,81227199.0,ns,136
heavy_compute,shipyard,,,,94810981.0,ns,138
heavy_compute,shipyard,,,,95638040.0,ns,140
heavy_compute,shipyard,,,,93986253.0,ns,142
heavy_compute,shipyard,,,,98611404.0,ns,144
heavy_compute,shipyard,,,,92033517.0,ns,146
heavy_compute,shipyard,,,,88466514.0,ns,148
heavy_compute,shipyard,,,,91393658.0,ns,150
heavy_compute,shipyard,,,,96570628.0,ns,152
heavy_compute,shipyard,,,,97000137.0,ns,154
heavy_compute,shipyard,,,,97204377.0,ns,156
heavy_compute,shipyard,,,,96420749.0,ns,158
heavy_compute,shipyard,,,,98786184.0,ns,160
heavy_compute,shipyard,,,,99081372.0,ns,162
heavy_compute,shipyard,,,,105279271.0,ns,164
heavy_compute,shipyard,,,,107057447.0,ns,166
heavy_compute,shipyard,,,,106420569.0,ns,168
heavy_compute,shipyard,,,,102166957.0,ns,170
heavy_compute,shipyard,,,,104563892.0,ns,172
heavy_compute,shipyard,,,,107049897.0,ns,174
heavy_compute,shipyard,,,,106174019.0,ns,176
heavy_compute,shipyard,,,,109343302.0,ns,178
heavy_compute,shipyard,,,,113315264.0,ns,180
heavy_compute,shipyard,,,,128460264.0,ns,182
heavy_compute,shipyard,,,,117767916.0,ns,184
heavy_compute,shipyard,,,,118465933.0,ns,186
heavy_compute,shipyard,,,,119554952.0,ns,188
heavy_compute,shipyard,,,,119384893.0,ns,190
heavy_compute,shipyard,,,,115421810.0,ns,192
heavy_compute,shipyard,,,,117373446.0,ns,194
heavy_compute,shipyard,,,,123722073.0,ns,196
heavy_compute,shipyard,,,,123925373.0,ns,198
heavy_compute,shipyard,,,,122897005.0,ns,200
