group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,specs,,,,8792462.0,ns,2
heavy_compute,specs,,,,5262899.0,ns,4
heavy_compute,specs,,,,6763116.0,ns,6
heavy_compute,specs,,,,9107892.0,ns,8
heavy_compute,specs,,,,10907398.0,ns,10
heavy_compute,specs,,,,15903608.0,ns,12
heavy_compute,specs,,,,14498231.0,ns,14
heavy_compute,specs,,,,18474603.0,ns,16
heavy_compute,specs,,,,19139431.0,ns,18
heavy_compute,specs,,,,21451917.0,ns,20
heavy_compute,specs,,,,22122646.0,ns,22
heavy_compute,specs,,,,25732638.0,ns,24
heavy_compute,specs,,,,26209178.0,ns,26
heavy_compute,specs,,,,28076674.0,ns,28
heavy_compute,specs,,,,29920599.0,ns,30
heavy_compute,specs,,,,31691586.0,ns,32
heavy_compute,specs,,,,33981642.0,ns,34
heavy_compute,specs,,,,37688324.0,ns,36
heavy_compute,specs,,,,40918257.0,ns,38
heavy_compute,specs,,,,56784975.0,ns,40
heavy_compute,specs,,,,46152917.0,ns,42
heavy_compute,specs,,,,54420710.0,ns,44
heavy_compute,specs,,,,47221635.0,ns,46
heavy_compute,specs,,,,47645984.0,ns,48
heavy_compute,specs,,,,52107435.0,ns,50
heavy_compute,specs,,,,44577519.0,ns,52
heavy_compute,specs,,,,54132341.0,ns,54
heavy_compute,specs,,,,54590229.0,ns,56
heavy_compute,specs,,,,53254522.0,ns,58
heavy_compute,specs,,,,70096338.0,ns,60
heavy_compute,specs,,,,69830079.0,ns,62
heavy_compute,specs,,,,68478161.0,ns,64
heavy_compute,specs,,,,65823226.0,ns,66
heavy_compute,specs,,,,57654103.0,ns,68
heavy_compute,specs,,,,70612777.0,ns,70
heavy_compute,specs,,,,64571990.0,ns,72
heavy_compute,specs,,,,90142908.0,ns,74
heavy_compute,specs,,,,81257206.0,ns,76
heavy_compute,specs,,,,79171870.0,ns,78
heavy_compute,specs,,,,79447370.0,ns,80
heavy_compute,specs,,,,87087873.0,ns,82
heavy_compute,specs,,,,83139151.0,ns,84
heavy_compute,specs,,,,86662975.0,ns,86
heavy_compute,specs,,,,94522528.0,ns,88
heavy_compute,specs,,,,89888898.0,ns,90
heavy_compute,specs,,,,95246038.0,ns,92
heavy_compute,specs,,,,97170963.0,ns,94
heavy_compute,specs,,,,102317303.0,ns,96
heavy_compute,specs,,,,110134637.0,ns,98
heavy_compute,specs,,,,107396813.0,ns,100
heavy_compute,specs,,,,102379353.0,ns,102
heavy_compute,specs,,,,106440424.0,ns,104
heavy_compute,specs,,,,99124270.0,ns,106
heavy_compute,specs,,,,93092522.0,ns,108
heavy_compute,specs,,,,101233595.0,ns,110
heavy_compute,specs,,,,112595773.0,ns,112
heavy_compute,specs,,,,117936751.0,ns,114
heavy_compute,specs,,,,116991532.0,ns,116
heavy_compute,specs,,,,126927533.0,ns,118
heavy_compute,specs,,,,133079541.0,ns,120
heavy_compute,specs,,,,123148231.0,ns,122
heavy_compute,specs,,,,125318976.0,ns,124
heavy_compute,specs,,,,127530601.0,ns,126
heavy_compute,specs,,,,126841872.0,ns,128
heavy_compute,specs,,,,130780605.0,ns,130
heavy_compute,specs,,,,133313430.0,ns,132
heavy_compute,specs,,,,132225242.0,ns,134
heavy_compute,specs,,,,126550234.0,ns,136
heavy_compute,specs,,,,129171308.0,ns,138
heavy_compute,specs,,,,140801964.0,ns,140
heavy_compute,specs,,,,142952900.0,ns,142
heavy_compute,specs,,,,135303456.0,ns,144
heavy_compute,specs,,,,116656923.0,ns,146
heavy_compute,specs,,,,142299381.0,ns,148
heavy_compute,specs,,,,142671620.0,ns,150
heavy_compute,specs,,,,153220549.0,ns,152
heavy_compute,specs,,,,162881620.0,ns,154
heavy_compute,specs,,,,162941519.0,ns,156
heavy_compute,specs,,,,140005216.0,ns,158
heavy_compute,specs,,,,166651082.0,ns,160
heavy_compute,specs,,,,166014483.0,ns,162
heavy_compute,specs,,,,161782992.0,ns,164
heavy_compute,specs,,,,161616552.0,ns,166
heavy_compute,specs,,,,161174152.0,ns,168
heavy_compute,specs,,,,169600586.0,ns,170
heavy_compute,specs,,,,171043683.0,ns,172
heavy_compute,specs,,,,184544795.0,ns,174
heavy_compute,specs,,,,166441432.0,ns,176
heavy_compute,specs,,,,179643855.0,ns,178
heavy_compute,specs,,,,167806538.0,ns,180
heavy_compute,specs,,,,145167305.0,ns,182
heavy_compute,specs,,,,175764403.0,ns,184
heavy_compute,specs,,,,184037116.0,ns,186
heavy_compute,specs,,,,188809027.0,ns,188
heavy_compute,specs,,,,172141940.0,ns,190
heavy_compute,specs,,,,193777326.0,ns,192
heavy_compute,specs,,,,192049329.0,ns,194
heavy_compute,specs,,,,191158811.0,ns,196
heavy_compute,specs,,,,194245745.0,ns,198
heavy_compute,specs,,,,199962023.0,ns,200
