group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,bevy,,,,940048.0,ns,13
schedule,bevy,,,,1864577.0,ns,26
schedule,bevy,,,,3417454.0,ns,39
schedule,bevy,,,,3901503.0,ns,52
schedule,bevy,,,,5079391.0,ns,65
schedule,bevy,,,,5589201.0,ns,78
schedule,bevy,,,,6869158.0,ns,91
schedule,bevy,,,,7567017.0,ns,104
schedule,bevy,,,,8394905.0,ns,117
schedule,bevy,,,,9338433.0,ns,130
schedule,bevy,,,,13654906.0,ns,143
schedule,bevy,,,,14613603.0,ns,156
schedule,bevy,,,,15202033.0,ns,169
schedule,bevy,,,,14497284.0,ns,182
schedule,bevy,,,,15422282.0,ns,195
schedule,bevy,,,,14999813.0,ns,208
schedule,bevy,,,,15967992.0,ns,221
schedule,bevy,,,,20510383.0,ns,234
schedule,bevy,,,,17817658.0,ns,247
schedule,bevy,,,,18688627.0,ns,260
schedule,bevy,,,,19590045.0,ns,273
schedule,bevy,,,,20539923.0,ns,286
schedule,bevy,,,,21482472.0,ns,299
schedule,bevy,,,,22378190.0,ns,312
schedule,bevy,,,,23315439.0,ns,325
schedule,bevy,,,,24268296.0,ns,338
schedule,bevy,,,,26255583.0,ns,351
schedule,bevy,,,,28894698.0,ns,364
schedule,bevy,,,,30396146.0,ns,377
schedule,bevy,,,,27996750.0,ns,390
schedule,bevy,,,,29022778.0,ns,403
schedule,bevy,,,,36464445.0,ns,416
schedule,bevy,,,,36521175.0,ns,429
schedule,bevy,,,,34824208.0,ns,442
schedule,bevy,,,,32729301.0,ns,455
schedule,bevy,,,,33586530.0,ns,468
schedule,bevy,,,,34519488.0,ns,481
schedule,bevy,,,,36079606.0,ns,494
schedule,bevy,,,,36486205.0,ns,507
schedule,bevy,,,,37358084.0,ns,520
schedule,bevy,,,,39668129.0,ns,533
schedule,bevy,,,,39283790.0,ns,546
schedule,bevy,,,,45332399.0,ns,559
schedule,bevy,,,,41040277.0,ns,572
schedule,bevy,,,,46035698.0,ns,585
schedule,bevy,,,,42933934.0,ns,598
schedule,bevy,,,,44179921.0,ns,611
schedule,bevy,,,,51033799.0,ns,624
schedule,bevy,,,,60571102.0,ns,637
schedule,bevy,,,,51225899.0,ns,650
schedule,bevy,,,,48271704.0,ns,663
schedule,bevy,,,,48606762.0,ns,676
schedule,bevy,,,,49802810.0,ns,689
schedule,bevy,,,,51088079.0,ns,702
schedule,bevy,,,,54794633.0,ns,715
schedule,bevy,,,,66918720.0,ns,728
schedule,bevy,,,,64995374.0,ns,741
schedule,bevy,,,,61930439.0,ns,754
schedule,bevy,,,,65332234.0,ns,767
schedule,bevy,,,,57905596.0,ns,780
schedule,bevy,,,,57457388.0,ns,793
schedule,bevy,,,,57960486.0,ns,806
schedule,bevy,,,,61844559.0,ns,819
schedule,bevy,,,,70406573.0,ns,832
schedule,bevy,,,,63690775.0,ns,845
schedule,bevy,,,,63577856.0,ns,858
schedule,bevy,,,,62505368.0,ns,871
schedule,bevy,,,,66891510.0,ns,884
schedule,bevy,,,,68471727.0,ns,897
schedule,bevy,,,,66915530.0,ns,910
schedule,bevy,,,,66171341.0,ns,923
schedule,bevy,,,,70939553.0,ns,936
schedule,bevy,,,,67983998.0,ns,949
schedule,bevy,,,,71451472.0,ns,962
schedule,bevy,,,,82727981.0,ns,975
schedule,bevy,,,,70973763.0,ns,988
schedule,bevy,,,,74585367.0,ns,1001
schedule,bevy,,,,80429606.0,ns,1014
schedule,bevy,,,,76098653.0,ns,1027
schedule,bevy,,,,82438132.0,ns,1040
schedule,bevy,,,,75921634.0,ns,1053
schedule,bevy,,,,76645582.0,ns,1066
schedule,bevy,,,,84705318.0,ns,1079
schedule,bevy,,,,81099945.0,ns,1092
schedule,bevy,,,,79795616.0,ns,1105
schedule,bevy,,,,84372468.0,ns,1118
schedule,bevy,,,,94260541.0,ns,1131
schedule,bevy,,,,82008483.0,ns,1144
schedule,bevy,,,,90919757.0,ns,1157
schedule,bevy,,,,85018187.0,ns,1170
schedule,bevy,,,,89792509.0,ns,1183
schedule,bevy,,,,95254578.0,ns,1196
schedule,bevy,,,,109726742.0,ns,1209
schedule,bevy,,,,113529716.0,ns,1222
schedule,bevy,,,,123430537.0,ns,1235
schedule,bevy,,,,108569375.0,ns,1248
schedule,bevy,,,,113585016.0,ns,1261
schedule,bevy,,,,92298154.0,ns,1274
schedule,bevy,,,,92559604.0,ns,1287
schedule,bevy,,,,93664051.0,ns,1300
