group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,legion (packed),,,,1159838.0,ns,19
schedule,legion (packed),,,,2187176.0,ns,38
schedule,legion (packed),,,,3330694.0,ns,57
schedule,legion (packed),,,,4326903.0,ns,76
schedule,legion (packed),,,,5559191.0,ns,95
schedule,legion (packed),,,,6628499.0,ns,114
schedule,legion (packed),,,,8036926.0,ns,133
schedule,legion (packed),,,,8567515.0,ns,152
schedule,legion (packed),,,,9901713.0,ns,171
schedule,legion (packed),,,,10287132.0,ns,190
schedule,legion (packed),,,,11840379.0,ns,209
schedule,legion (packed),,,,12326029.0,ns,228
schedule,legion (packed),,,,13672236.0,ns,247
schedule,legion (packed),,,,14256735.0,ns,266
schedule,legion (packed),,,,15589953.0,ns,285
schedule,legion (packed),,,,17221810.0,ns,304
schedule,legion (packed),,,,17894769.0,ns,323
schedule,legion (packed),,,,17800060.0,ns,342
schedule,legion (packed),,,,18893457.0,ns,361
schedule,legion (packed),,,,19684556.0,ns,380
schedule,legion (packed),,,,22004881.0,ns,399
schedule,legion (packed),,,,22837321.0,ns,418
schedule,legion (packed),,,,22983741.0,ns,437
schedule,legion (packed),,,,24402708.0,ns,456
schedule,legion (packed),,,,24883917.0,ns,475
schedule,legion (packed),,,,25086306.0,ns,494
schedule,legion (packed),,,,27221643.0,ns,513
schedule,legion (packed),,,,28834589.0,ns,532
schedule,legion (packed),,,,28323161.0,ns,551
schedule,legion (packed),,,,29094549.0,ns,570
schedule,legion (packed),,,,30962456.0,ns,589
schedule,legion (packed),,,,32103355.0,ns,608
schedule,legion (packed),,,,32492253.0,ns,627
schedule,legion (packed),,,,34182831.0,ns,646
schedule,legion (packed),,,,34299990.0,ns,665
schedule,legion (packed),,,,36084347.0,ns,684
schedule,legion (packed),,,,36542917.0,ns,703
schedule,legion (packed),,,,37186535.0,ns,722
schedule,legion (packed),,,,38615393.0,ns,741
schedule,legion (packed),,,,40300590.0,ns,760
schedule,legion (packed),,,,40641619.0,ns,779
schedule,legion (packed),,,,41617228.0,ns,798
schedule,legion (packed),,,,51327390.0,ns,817
schedule,legion (packed),,,,42998495.0,ns,836
schedule,legion (packed),,,,42218357.0,ns,855
schedule,legion (packed),,,,43597853.0,ns,874
schedule,legion (packed),,,,45172202.0,ns,893
schedule,legion (packed),,,,45734631.0,ns,912
schedule,legion (packed),,,,52073330.0,ns,931
schedule,legion (packed),,,,50293102.0,ns,950
schedule,legion (packed),,,,49978812.0,ns,969
schedule,legion (packed),,,,53546527.0,ns,988
schedule,legion (packed),,,,55083084.0,ns,1007
schedule,legion (packed),,,,52615448.0,ns,1026
schedule,legion (packed),,,,54211776.0,ns,1045
schedule,legion (packed),,,,53128127.0,ns,1064
schedule,legion (packed),,,,54817354.0,ns,1083
schedule,legion (packed),,,,54383406.0,ns,1102
schedule,legion (packed),,,,57882290.0,ns,1121
schedule,legion (packed),,,,58522468.0,ns,1140
schedule,legion (packed),,,,60381515.0,ns,1159
schedule,legion (packed),,,,69582059.0,ns,1178
schedule,legion (packed),,,,72640713.0,ns,1197
schedule,legion (packed),,,,66415384.0,ns,1216
schedule,legion (packed),,,,67713622.0,ns,1235
schedule,legion (packed),,,,68958580.0,ns,1254
schedule,legion (packed),,,,69593089.0,ns,1273
schedule,legion (packed),,,,70803007.0,ns,1292
schedule,legion (packed),,,,69581849.0,ns,1311
schedule,legion (packed),,,,69437059.0,ns,1330
schedule,legion (packed),,,,78379524.0,ns,1349
schedule,legion (packed),,,,89791253.0,ns,1368
schedule,legion (packed),,,,73953561.0,ns,1387
schedule,legion (packed),,,,77121045.0,ns,1406
schedule,legion (packed),,,,73870132.0,ns,1425
schedule,legion (packed),,,,74592210.0,ns,1444
schedule,legion (packed),,,,75750418.0,ns,1463
schedule,legion (packed),,,,76430417.0,ns,1482
schedule,legion (packed),,,,77936114.0,ns,1501
schedule,legion (packed),,,,81656207.0,ns,1520
schedule,legion (packed),,,,84333993.0,ns,1539
schedule,legion (packed),,,,80824259.0,ns,1558
schedule,legion (packed),,,,81732177.0,ns,1577
schedule,legion (packed),,,,85072602.0,ns,1596
schedule,legion (packed),,,,83277616.0,ns,1615
schedule,legion (packed),,,,83261355.0,ns,1634
schedule,legion (packed),,,,84161913.0,ns,1653
schedule,legion (packed),,,,86294889.0,ns,1672
schedule,legion (packed),,,,89952823.0,ns,1691
schedule,legion (packed),,,,86969008.0,ns,1710
schedule,legion (packed),,,,89786213.0,ns,1729
schedule,legion (packed),,,,92486638.0,ns,1748
schedule,legion (packed),,,,89252135.0,ns,1767
schedule,legion (packed),,,,93568757.0,ns,1786
schedule,legion (packed),,,,91023471.0,ns,1805
schedule,legion (packed),,,,93296097.0,ns,1824
schedule,legion (packed),,,,95135344.0,ns,1843
schedule,legion (packed),,,,94426505.0,ns,1862
schedule,legion (packed),,,,97945629.0,ns,1881
schedule,legion (packed),,,,98126569.0,ns,1900
