group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,legion,,,,1088028.0,ns,19
schedule,legion,,,,2114027.0,ns,38
schedule,legion,,,,3495164.0,ns,57
schedule,legion,,,,4502141.0,ns,76
schedule,legion,,,,5726721.0,ns,95
schedule,legion,,,,6338499.0,ns,114
schedule,legion,,,,7700587.0,ns,133
schedule,legion,,,,8630976.0,ns,152
schedule,legion,,,,9546233.0,ns,171
schedule,legion,,,,10998022.0,ns,190
schedule,legion,,,,11677310.0,ns,209
schedule,legion,,,,12710518.0,ns,228
schedule,legion,,,,13705527.0,ns,247
schedule,legion,,,,14325726.0,ns,266
schedule,legion,,,,15131664.0,ns,285
schedule,legion,,,,16097752.0,ns,304
schedule,legion,,,,17089871.0,ns,323
schedule,legion,,,,19161797.0,ns,342
schedule,legion,,,,19158087.0,ns,361
schedule,legion,,,,21053034.0,ns,380
schedule,legion,,,,21351863.0,ns,399
schedule,legion,,,,21799863.0,ns,418
schedule,legion,,,,22657221.0,ns,437
schedule,legion,,,,24346468.0,ns,456
schedule,legion,,,,25154167.0,ns,475
schedule,legion,,,,25815005.0,ns,494
schedule,legion,,,,29060140.0,ns,513
schedule,legion,,,,29917039.0,ns,532
schedule,legion,,,,29612298.0,ns,551
schedule,legion,,,,28906231.0,ns,570
schedule,legion,,,,30923186.0,ns,589
schedule,legion,,,,29787929.0,ns,608
schedule,legion,,,,32031965.0,ns,627
schedule,legion,,,,32754354.0,ns,646
schedule,legion,,,,37718295.0,ns,665
schedule,legion,,,,38710214.0,ns,684
schedule,legion,,,,43314385.0,ns,703
schedule,legion,,,,42125667.0,ns,722
schedule,legion,,,,39255442.0,ns,741
schedule,legion,,,,40406161.0,ns,760
schedule,legion,,,,40553501.0,ns,779
schedule,legion,,,,40956150.0,ns,798
schedule,legion,,,,43189756.0,ns,817
schedule,legion,,,,42407047.0,ns,836
schedule,legion,,,,42960176.0,ns,855
schedule,legion,,,,44831823.0,ns,874
schedule,legion,,,,45102903.0,ns,893
schedule,legion,,,,45508802.0,ns,912
schedule,legion,,,,49231635.0,ns,931
schedule,legion,,,,48872106.0,ns,950
schedule,legion,,,,52824459.0,ns,969
schedule,legion,,,,50033784.0,ns,988
schedule,legion,,,,51502062.0,ns,1007
schedule,legion,,,,52520540.0,ns,1026
schedule,legion,,,,52201670.0,ns,1045
schedule,legion,,,,52895089.0,ns,1064
schedule,legion,,,,55420675.0,ns,1083
schedule,legion,,,,57142122.0,ns,1102
schedule,legion,,,,57433141.0,ns,1121
schedule,legion,,,,56937792.0,ns,1140
schedule,legion,,,,60394336.0,ns,1159
schedule,legion,,,,60262346.0,ns,1178
schedule,legion,,,,62586672.0,ns,1197
schedule,legion,,,,62224643.0,ns,1216
schedule,legion,,,,61603413.0,ns,1235
schedule,legion,,,,63256931.0,ns,1254
schedule,legion,,,,64544539.0,ns,1273
schedule,legion,,,,65894046.0,ns,1292
schedule,legion,,,,67887793.0,ns,1311
schedule,legion,,,,68134123.0,ns,1330
schedule,legion,,,,69219251.0,ns,1349
schedule,legion,,,,69917320.0,ns,1368
schedule,legion,,,,69696480.0,ns,1387
schedule,legion,,,,69031771.0,ns,1406
schedule,legion,,,,72458536.0,ns,1425
schedule,legion,,,,72055886.0,ns,1444
schedule,legion,,,,73603083.0,ns,1463
schedule,legion,,,,74113102.0,ns,1482
schedule,legion,,,,76383668.0,ns,1501
schedule,legion,,,,78159956.0,ns,1520
schedule,legion,,,,76961047.0,ns,1539
schedule,legion,,,,79545473.0,ns,1558
schedule,legion,,,,80669031.0,ns,1577
schedule,legion,,,,82016759.0,ns,1596
schedule,legion,,,,81902009.0,ns,1615
schedule,legion,,,,82663228.0,ns,1634
schedule,legion,,,,84883904.0,ns,1653
schedule,legion,,,,84844485.0,ns,1672
schedule,legion,,,,87503109.0,ns,1691
schedule,legion,,,,84669714.0,ns,1710
schedule,legion,,,,86370212.0,ns,1729
schedule,legion,,,,86411041.0,ns,1748
schedule,legion,,,,89246786.0,ns,1767
schedule,legion,,,,89343046.0,ns,1786
schedule,legion,,,,90336594.0,ns,1805
schedule,legion,,,,92237730.0,ns,1824
schedule,legion,,,,92033591.0,ns,1843
schedule,legion,,,,93629649.0,ns,1862
schedule,legion,,,,95718155.0,ns,1881
schedule,legion,,,,97580441.0,ns,1900
