group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,legion_0.2.4,,,,1162157.0,ns,6
schedule,legion_0.2.4,,,,4746782.0,ns,12
schedule,legion_0.2.4,,,,3792503.0,ns,18
schedule,legion_0.2.4,,,,6941508.0,ns,24
schedule,legion_0.2.4,,,,8952004.0,ns,30
schedule,legion_0.2.4,,,,9495674.0,ns,36
schedule,legion_0.2.4,,,,10046732.0,ns,42
schedule,legion_0.2.4,,,,13069577.0,ns,48
schedule,legion_0.2.4,,,,14602664.0,ns,54
schedule,legion_0.2.4,,,,13954155.0,ns,60
schedule,legion_0.2.4,,,,14545385.0,ns,66
schedule,legion_0.2.4,,,,14995894.0,ns,72
schedule,legion_0.2.4,,,,16435022.0,ns,78
schedule,legion_0.2.4,,,,18031768.0,ns,84
schedule,legion_0.2.4,,,,19206686.0,ns,90
schedule,legion_0.2.4,,,,25853045.0,ns,96
schedule,legion_0.2.4,,,,24983905.0,ns,102
schedule,legion_0.2.4,,,,25666305.0,ns,108
schedule,legion_0.2.4,,,,26156314.0,ns,114
schedule,legion_0.2.4,,,,23380729.0,ns,120
schedule,legion_0.2.4,,,,26317213.0,ns,126
schedule,legion_0.2.4,,,,24477367.0,ns,132
schedule,legion_0.2.4,,,,39376090.0,ns,138
schedule,legion_0.2.4,,,,30412787.0,ns,144
schedule,legion_0.2.4,,,,27480242.0,ns,150
schedule,legion_0.2.4,,,,27977911.0,ns,156
schedule,legion_0.2.4,,,,29572068.0,ns,162
schedule,legion_0.2.4,,,,36052726.0,ns,168
schedule,legion_0.2.4,,,,34691689.0,ns,174
schedule,legion_0.2.4,,,,35980037.0,ns,180
schedule,legion_0.2.4,,,,41516837.0,ns,186
schedule,legion_0.2.4,,,,39222701.0,ns,192
schedule,legion_0.2.4,,,,34914558.0,ns,198
schedule,legion_0.2.4,,,,39584780.0,ns,204
schedule,legion_0.2.4,,,,45926479.0,ns,210
schedule,legion_0.2.4,,,,46794597.0,ns,216
schedule,legion_0.2.4,,,,42049995.0,ns,222
schedule,legion_0.2.4,,,,40679988.0,ns,228
schedule,legion_0.2.4,,,,43835983.0,ns,234
schedule,legion_0.2.4,,,,44665681.0,ns,240
schedule,legion_0.2.4,,,,48771334.0,ns,246
schedule,legion_0.2.4,,,,43254863.0,ns,252
schedule,legion_0.2.4,,,,48920304.0,ns,258
schedule,legion_0.2.4,,,,58984065.0,ns,264
schedule,legion_0.2.4,,,,54846363.0,ns,270
schedule,legion_0.2.4,,,,57593859.0,ns,276
schedule,legion_0.2.4,,,,51929138.0,ns,282
schedule,legion_0.2.4,,,,51553799.0,ns,288
schedule,legion_0.2.4,,,,54834193.0,ns,294
schedule,legion_0.2.4,,,,51188479.0,ns,300
schedule,legion_0.2.4,,,,71362154.0,ns,306
schedule,legion_0.2.4,,,,56544640.0,ns,312
schedule,legion_0.2.4,,,,69952246.0,ns,318
schedule,legion_0.2.4,,,,59350356.0,ns,324
schedule,legion_0.2.4,,,,58659556.0,ns,330
schedule,legion_0.2.4,,,,58937226.0,ns,336
schedule,legion_0.2.4,,,,57940578.0,ns,342
schedule,legion_0.2.4,,,,67172802.0,ns,348
schedule,legion_0.2.4,,,,81792375.0,ns,354
schedule,legion_0.2.4,,,,54754713.0,ns,360
schedule,legion_0.2.4,,,,79192990.0,ns,366
schedule,legion_0.2.4,,,,63420618.0,ns,372
schedule,legion_0.2.4,,,,67581041.0,ns,378
schedule,legion_0.2.4,,,,73479070.0,ns,384
schedule,legion_0.2.4,,,,84850250.0,ns,390
schedule,legion_0.2.4,,,,78306041.0,ns,396
schedule,legion_0.2.4,,,,71133485.0,ns,402
schedule,legion_0.2.4,,,,93150235.0,ns,408
schedule,legion_0.2.4,,,,75978935.0,ns,414
schedule,legion_0.2.4,,,,80201438.0,ns,420
schedule,legion_0.2.4,,,,69258108.0,ns,426
schedule,legion_0.2.4,,,,72760481.0,ns,432
schedule,legion_0.2.4,,,,97598108.0,ns,438
schedule,legion_0.2.4,,,,90589580.0,ns,444
schedule,legion_0.2.4,,,,84175251.0,ns,450
schedule,legion_0.2.4,,,,87554296.0,ns,456
schedule,legion_0.2.4,,,,88453554.0,ns,462
schedule,legion_0.2.4,,,,92770086.0,ns,468
schedule,legion_0.2.4,,,,80971477.0,ns,474
schedule,legion_0.2.4,,,,87802444.0,ns,480
schedule,legion_0.2.4,,,,92363876.0,ns,486
schedule,legion_0.2.4,,,,98725435.0,ns,492
schedule,legion_0.2.4,,,,99274955.0,ns,498
schedule,legion_0.2.4,,,,118511450.0,ns,504
schedule,legion_0.2.4,,,,98057826.0,ns,510
schedule,legion_0.2.4,,,,94483462.0,ns,516
schedule,legion_0.2.4,,,,89465561.0,ns,522
schedule,legion_0.2.4,,,,92741976.0,ns,528
schedule,legion_0.2.4,,,,98413775.0,ns,534
schedule,legion_0.2.4,,,,91775437.0,ns,540
schedule,legion_0.2.4,,,,99203594.0,ns,546
schedule,legion_0.2.4,,,,96884008.0,ns,552
schedule,legion_0.2.4,,,,114667597.0,ns,558
schedule,legion_0.2.4,,,,106085782.0,ns,564
schedule,legion_0.2.4,,,,112181921.0,ns,570
schedule,legion_0.2.4,,,,101920359.0,ns,576
schedule,legion_0.2.4,,,,111871641.0,ns,582
schedule,legion_0.2.4,,,,115116706.0,ns,588
schedule,legion_0.2.4,,,,108369617.0,ns,594
schedule,legion_0.2.4,,,,112764249.0,ns,600
