group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,specs,,,,2380825.0,ns,5
schedule,specs,,,,5347740.0,ns,10
schedule,specs,,,,6044709.0,ns,15
schedule,specs,,,,9512103.0,ns,20
schedule,specs,,,,11692278.0,ns,25
schedule,specs,,,,12922556.0,ns,30
schedule,specs,,,,12326158.0,ns,35
schedule,specs,,,,12273297.0,ns,40
schedule,specs,,,,17531768.0,ns,45
schedule,specs,,,,13291276.0,ns,50
schedule,specs,,,,18679755.0,ns,55
schedule,specs,,,,16610139.0,ns,60
schedule,specs,,,,22406679.0,ns,65
schedule,specs,,,,21464690.0,ns,70
schedule,specs,,,,22495109.0,ns,75
schedule,specs,,,,24270205.0,ns,80
schedule,specs,,,,22252838.0,ns,85
schedule,specs,,,,26282502.0,ns,90
schedule,specs,,,,27913019.0,ns,95
schedule,specs,,,,33364558.0,ns,100
schedule,specs,,,,29661725.0,ns,105
schedule,specs,,,,32041920.0,ns,110
schedule,specs,,,,32278090.0,ns,115
schedule,specs,,,,30090484.0,ns,120
schedule,specs,,,,33995097.0,ns,125
schedule,specs,,,,37260692.0,ns,130
schedule,specs,,,,32443769.0,ns,135
schedule,specs,,,,41442713.0,ns,140
schedule,specs,,,,37400281.0,ns,145
schedule,specs,,,,34829006.0,ns,150
schedule,specs,,,,38113529.0,ns,155
schedule,specs,,,,39414657.0,ns,160
schedule,specs,,,,38500229.0,ns,165
schedule,specs,,,,44332249.0,ns,170
schedule,specs,,,,39858126.0,ns,175
schedule,specs,,,,42996440.0,ns,180
schedule,specs,,,,41871582.0,ns,185
schedule,specs,,,,50156097.0,ns,190
schedule,specs,,,,52968541.0,ns,195
schedule,specs,,,,47121292.0,ns,200
schedule,specs,,,,49678757.0,ns,205
schedule,specs,,,,50331227.0,ns,210
schedule,specs,,,,56454464.0,ns,215
schedule,specs,,,,49219149.0,ns,220
schedule,specs,,,,51768224.0,ns,225
schedule,specs,,,,54691658.0,ns,230
schedule,specs,,,,57847462.0,ns,235
schedule,specs,,,,59092581.0,ns,240
schedule,specs,,,,57946412.0,ns,245
schedule,specs,,,,52937932.0,ns,250
schedule,specs,,,,60643377.0,ns,255
schedule,specs,,,,65519638.0,ns,260
schedule,specs,,,,65790697.0,ns,265
schedule,specs,,,,58620291.0,ns,270
schedule,specs,,,,67227215.0,ns,275
schedule,specs,,,,63020093.0,ns,280
schedule,specs,,,,72139905.0,ns,285
schedule,specs,,,,71085518.0,ns,290
schedule,specs,,,,68791703.0,ns,295
schedule,specs,,,,74449491.0,ns,300
schedule,specs,,,,67375464.0,ns,305
schedule,specs,,,,68589883.0,ns,310
schedule,specs,,,,76860118.0,ns,315
schedule,specs,,,,68161623.0,ns,320
schedule,specs,,,,77025046.0,ns,325
schedule,specs,,,,76577537.0,ns,330
schedule,specs,,,,78591994.0,ns,335
schedule,specs,,,,75537649.0,ns,340
schedule,specs,,,,74134063.0,ns,345
schedule,specs,,,,78980223.0,ns,350
schedule,specs,,,,76913218.0,ns,355
schedule,specs,,,,80146001.0,ns,360
schedule,specs,,,,79042133.0,ns,365
schedule,specs,,,,83282485.0,ns,370
schedule,specs,,,,83108895.0,ns,375
schedule,specs,,,,87047928.0,ns,380
schedule,specs,,,,84367813.0,ns,385
schedule,specs,,,,82916006.0,ns,390
schedule,specs,,,,86897008.0,ns,395
schedule,specs,,,,88209866.0,ns,400
schedule,specs,,,,89181214.0,ns,405
schedule,specs,,,,88736125.0,ns,410
schedule,specs,,,,88303215.0,ns,415
schedule,specs,,,,94857293.0,ns,420
schedule,specs,,,,102114619.0,ns,425
schedule,specs,,,,99228615.0,ns,430
schedule,specs,,,,96199260.0,ns,435
schedule,specs,,,,102496909.0,ns,440
schedule,specs,,,,95232592.0,ns,445
schedule,specs,,,,108485357.0,ns,450
schedule,specs,,,,98653986.0,ns,455
schedule,specs,,,,104068666.0,ns,460
schedule,specs,,,,109349127.0,ns,465
schedule,specs,,,,105461753.0,ns,470
schedule,specs,,,,106715931.0,ns,475
schedule,specs,,,,104164406.0,ns,480
schedule,specs,,,,95512621.0,ns,485
schedule,specs,,,,110017805.0,ns,490
schedule,specs,,,,103290657.0,ns,495
schedule,specs,,,,118706519.0,ns,500
