group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_binary,legion,,,,52788207.0,ns,19
serialize_binary,legion,,,,51317150.0,ns,19
serialize_binary,legion,,,,51954218.0,ns,19
serialize_binary,legion,,,,51469080.0,ns,19
serialize_binary,legion,,,,52502858.0,ns,19
serialize_binary,legion,,,,51532280.0,ns,19
serialize_binary,legion,,,,50338031.0,ns,19
serialize_binary,legion,,,,50409782.0,ns,19
serialize_binary,legion,,,,50386342.0,ns,19
serialize_binary,legion,,,,51744959.0,ns,19
serialize_binary,legion,,,,50490941.0,ns,19
serialize_binary,legion,,,,50978721.0,ns,19
serialize_binary,legion,,,,50674922.0,ns,19
serialize_binary,legion,,,,50489492.0,ns,19
serialize_binary,legion,,,,51023370.0,ns,19
serialize_binary,legion,,,,50603411.0,ns,19
serialize_binary,legion,,,,53141716.0,ns,19
serialize_binary,legion,,,,50621091.0,ns,19
serialize_binary,legion,,,,50399102.0,ns,19
serialize_binary,legion,,,,50790381.0,ns,19
serialize_binary,legion,,,,50324931.0,ns,19
serialize_binary,legion,,,,50726921.0,ns,19
serialize_binary,legion,,,,50718541.0,ns,19
serialize_binary,legion,,,,50428132.0,ns,19
serialize_binary,legion,,,,50302722.0,ns,19
serialize_binary,legion,,,,50504081.0,ns,19
serialize_binary,legion,,,,51296460.0,ns,19
serialize_binary,legion,,,,50065872.0,ns,19
serialize_binary,legion,,,,50203062.0,ns,19
serialize_binary,legion,,,,52211469.0,ns,19
serialize_binary,legion,,,,51118870.0,ns,19
serialize_binary,legion,,,,50396071.0,ns,19
serialize_binary,legion,,,,50445342.0,ns,19
serialize_binary,legion,,,,50211642.0,ns,19
serialize_binary,legion,,,,50309922.0,ns,19
serialize_binary,legion,,,,50476072.0,ns,19
serialize_binary,legion,,,,50569432.0,ns,19
serialize_binary,legion,,,,50433941.0,ns,19
serialize_binary,legion,,,,50402912.0,ns,19
serialize_binary,legion,,,,50805040.0,ns,19
serialize_binary,legion,,,,50882841.0,ns,19
serialize_binary,legion,,,,50456721.0,ns,19
serialize_binary,legion,,,,50436902.0,ns,19
serialize_binary,legion,,,,51950538.0,ns,19
serialize_binary,legion,,,,50159682.0,ns,19
serialize_binary,legion,,,,50330242.0,ns,19
serialize_binary,legion,,,,51304040.0,ns,19
serialize_binary,legion,,,,51730199.0,ns,19
serialize_binary,legion,,,,50776811.0,ns,19
serialize_binary,legion,,,,54074733.0,ns,19
serialize_binary,legion,,,,78182592.0,ns,19
serialize_binary,legion,,,,55239771.0,ns,19
serialize_binary,legion,,,,54352543.0,ns,19
serialize_binary,legion,,,,50359412.0,ns,19
serialize_binary,legion,,,,50491391.0,ns,19
serialize_binary,legion,,,,51065720.0,ns,19
serialize_binary,legion,,,,50244962.0,ns,19
serialize_binary,legion,,,,51136810.0,ns,19
serialize_binary,legion,,,,50922230.0,ns,19
serialize_binary,legion,,,,51787419.0,ns,19
serialize_binary,legion,,,,49962933.0,ns,19
serialize_binary,legion,,,,50121533.0,ns,19
serialize_binary,legion,,,,51097960.0,ns,19
serialize_binary,legion,,,,54337783.0,ns,19
serialize_binary,legion,,,,50802121.0,ns,19
serialize_binary,legion,,,,50797090.0,ns,19
serialize_binary,legion,,,,52052468.0,ns,19
serialize_binary,legion,,,,51970819.0,ns,19
serialize_binary,legion,,,,50455651.0,ns,19
serialize_binary,legion,,,,50268052.0,ns,19
serialize_binary,legion,,,,50196142.0,ns,19
serialize_binary,legion,,,,50911580.0,ns,19
serialize_binary,legion,,,,50576631.0,ns,19
serialize_binary,legion,,,,50799061.0,ns,19
serialize_binary,legion,,,,50442022.0,ns,19
serialize_binary,legion,,,,50770110.0,ns,19
serialize_binary,legion,,,,50469122.0,ns,19
serialize_binary,legion,,,,51382039.0,ns,19
serialize_binary,legion,,,,50280482.0,ns,19
serialize_binary,legion,,,,50414931.0,ns,19
serialize_binary,legion,,,,50125663.0,ns,19
serialize_binary,legion,,,,50763090.0,ns,19
serialize_binary,legion,,,,50617161.0,ns,19
serialize_binary,legion,,,,51240660.0,ns,19
serialize_binary,legion,,,,50306933.0,ns,19
serialize_binary,legion,,,,51030320.0,ns,19
serialize_binary,legion,,,,50952031.0,ns,19
serialize_binary,legion,,,,50957480.0,ns,19
serialize_binary,legion,,,,50109732.0,ns,19
serialize_binary,legion,,,,50049503.0,ns,19
serialize_binary,legion,,,,50427491.0,ns,19
serialize_binary,legion,,,,50167392.0,ns,19
serialize_binary,legion,,,,53581675.0,ns,19
serialize_binary,legion,,,,50839871.0,ns,19
serialize_binary,legion,,,,50992240.0,ns,19
serialize_binary,legion,,,,50328472.0,ns,19
serialize_binary,legion,,,,50634551.0,ns,19
serialize_binary,legion,,,,50459731.0,ns,19
serialize_binary,legion,,,,50179762.0,ns,19
serialize_binary,legion,,,,50709211.0,ns,19
