group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_text,legion,,,,48812236.0,ns,4
serialize_text,legion,,,,48835726.0,ns,4
serialize_text,legion,,,,49176005.0,ns,4
serialize_text,legion,,,,49250135.0,ns,4
serialize_text,legion,,,,49646384.0,ns,4
serialize_text,legion,,,,48970176.0,ns,4
serialize_text,legion,,,,48664386.0,ns,4
serialize_text,legion,,,,48705486.0,ns,4
serialize_text,legion,,,,48766526.0,ns,4
serialize_text,legion,,,,49999294.0,ns,4
serialize_text,legion,,,,49762394.0,ns,4
serialize_text,legion,,,,48856686.0,ns,4
serialize_text,legion,,,,49066545.0,ns,4
serialize_text,legion,,,,54430344.0,ns,4
serialize_text,legion,,,,49120386.0,ns,4
serialize_text,legion,,,,50126993.0,ns,4
serialize_text,legion,,,,48853876.0,ns,4
serialize_text,legion,,,,49605714.0,ns,4
serialize_text,legion,,,,49363505.0,ns,4
serialize_text,legion,,,,48715406.0,ns,4
serialize_text,legion,,,,48418017.0,ns,4
serialize_text,legion,,,,48891865.0,ns,4
serialize_text,legion,,,,48934926.0,ns,4
serialize_text,legion,,,,48765766.0,ns,4
serialize_text,legion,,,,49163745.0,ns,4
serialize_text,legion,,,,49765974.0,ns,4
serialize_text,legion,,,,48770066.0,ns,4
serialize_text,legion,,,,48654236.0,ns,4
serialize_text,legion,,,,48803656.0,ns,4
serialize_text,legion,,,,48975425.0,ns,4
serialize_text,legion,,,,49066665.0,ns,4
serialize_text,legion,,,,48815266.0,ns,4
serialize_text,legion,,,,48866686.0,ns,4
serialize_text,legion,,,,48589676.0,ns,4
serialize_text,legion,,,,48674746.0,ns,4
serialize_text,legion,,,,48587577.0,ns,4
serialize_text,legion,,,,48657377.0,ns,4
serialize_text,legion,,,,48612386.0,ns,4
serialize_text,legion,,,,49909244.0,ns,4
serialize_text,legion,,,,48983735.0,ns,4
serialize_text,legion,,,,48587126.0,ns,4
serialize_text,legion,,,,48688846.0,ns,4
serialize_text,legion,,,,48761227.0,ns,4
serialize_text,legion,,,,48577916.0,ns,4
serialize_text,legion,,,,48685026.0,ns,4
serialize_text,legion,,,,49168845.0,ns,4
serialize_text,legion,,,,48514856.0,ns,4
serialize_text,legion,,,,48552976.0,ns,4
serialize_text,legion,,,,48376027.0,ns,4
serialize_text,legion,,,,48567667.0,ns,4
serialize_text,legion,,,,48670635.0,ns,4
serialize_text,legion,,,,48512767.0,ns,4
serialize_text,legion,,,,48547156.0,ns,4
serialize_text,legion,,,,48633736.0,ns,4
serialize_text,legion,,,,48689456.0,ns,4
serialize_text,legion,,,,48754686.0,ns,4
serialize_text,legion,,,,48771146.0,ns,4
serialize_text,legion,,,,50545013.0,ns,4
serialize_text,legion,,,,49445125.0,ns,4
serialize_text,legion,,,,49727464.0,ns,4
serialize_text,legion,,,,48729886.0,ns,4
serialize_text,legion,,,,48679566.0,ns,4
serialize_text,legion,,,,49054615.0,ns,4
serialize_text,legion,,,,48824666.0,ns,4
serialize_text,legion,,,,49155385.0,ns,4
serialize_text,legion,,,,49542194.0,ns,4
serialize_text,legion,,,,48893025.0,ns,4
serialize_text,legion,,,,49126755.0,ns,4
serialize_text,legion,,,,48840546.0,ns,4
serialize_text,legion,,,,49064535.0,ns,4
serialize_text,legion,,,,50195443.0,ns,4
serialize_text,legion,,,,48544276.0,ns,4
serialize_text,legion,,,,48519646.0,ns,4
serialize_text,legion,,,,48553267.0,ns,4
serialize_text,legion,,,,48789036.0,ns,4
serialize_text,legion,,,,48755816.0,ns,4
serialize_text,legion,,,,48840176.0,ns,4
serialize_text,legion,,,,48939135.0,ns,4
serialize_text,legion,,,,48860085.0,ns,4
serialize_text,legion,,,,49390555.0,ns,4
serialize_text,legion,,,,48685406.0,ns,4
serialize_text,legion,,,,48581766.0,ns,4
serialize_text,legion,,,,49458105.0,ns,4
serialize_text,legion,,,,48760595.0,ns,4
serialize_text,legion,,,,48619656.0,ns,4
serialize_text,legion,,,,48749147.0,ns,4
serialize_text,legion,,,,48963095.0,ns,4
serialize_text,legion,,,,48685936.0,ns,4
serialize_text,legion,,,,48722145.0,ns,4
serialize_text,legion,,,,48841576.0,ns,4
serialize_text,legion,,,,48919815.0,ns,4
serialize_text,legion,,,,48669686.0,ns,4
serialize_text,legion,,,,48709146.0,ns,4
serialize_text,legion,,,,48756216.0,ns,4
serialize_text,legion,,,,48722866.0,ns,4
serialize_text,legion,,,,48767256.0,ns,4
serialize_text,legion,,,,48878656.0,ns,4
serialize_text,legion,,,,48959525.0,ns,4
serialize_text,legion,,,,48882916.0,ns,4
serialize_text,legion,,,,49068265.0,ns,4
