group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,bevy,,,,1439936.0,ns,2
simple_insert,bevy,,,,2865613.0,ns,4
simple_insert,bevy,,,,4333680.0,ns,6
simple_insert,bevy,,,,5779316.0,ns,8
simple_insert,bevy,,,,7218883.0,ns,10
simple_insert,bevy,,,,8694540.0,ns,12
simple_insert,bevy,,,,10280915.0,ns,14
simple_insert,bevy,,,,11521823.0,ns,16
simple_insert,bevy,,,,13031609.0,ns,18
simple_insert,bevy,,,,14471715.0,ns,20
simple_insert,bevy,,,,15881982.0,ns,22
simple_insert,bevy,,,,17302720.0,ns,24
simple_insert,bevy,,,,18865495.0,ns,26
simple_insert,bevy,,,,20210012.0,ns,28
simple_insert,bevy,,,,21619238.0,ns,30
simple_insert,bevy,,,,23458095.0,ns,32
simple_insert,bevy,,,,24621811.0,ns,34
simple_insert,bevy,,,,26042018.0,ns,36
simple_insert,bevy,,,,27461285.0,ns,38
simple_insert,bevy,,,,29146571.0,ns,40
simple_insert,bevy,,,,30543737.0,ns,42
simple_insert,bevy,,,,31895805.0,ns,44
simple_insert,bevy,,,,33221111.0,ns,46
simple_insert,bevy,,,,34678477.0,ns,48
simple_insert,bevy,,,,36196064.0,ns,50
simple_insert,bevy,,,,37753441.0,ns,52
simple_insert,bevy,,,,39407846.0,ns,54
simple_insert,bevy,,,,51683687.0,ns,56
simple_insert,bevy,,,,42328820.0,ns,58
simple_insert,bevy,,,,43504746.0,ns,60
simple_insert,bevy,,,,44765484.0,ns,62
simple_insert,bevy,,,,46142221.0,ns,64
simple_insert,bevy,,,,47616816.0,ns,66
simple_insert,bevy,,,,49229584.0,ns,68
simple_insert,bevy,,,,51629907.0,ns,70
simple_insert,bevy,,,,56481745.0,ns,72
simple_insert,bevy,,,,56313127.0,ns,74
simple_insert,bevy,,,,56945045.0,ns,76
simple_insert,bevy,,,,56571205.0,ns,78
simple_insert,bevy,,,,58447781.0,ns,80
simple_insert,bevy,,,,62305962.0,ns,82
simple_insert,bevy,,,,63451800.0,ns,84
simple_insert,bevy,,,,62139252.0,ns,86
simple_insert,bevy,,,,63636439.0,ns,88
simple_insert,bevy,,,,65043936.0,ns,90
simple_insert,bevy,,,,66486412.0,ns,92
simple_insert,bevy,,,,68007728.0,ns,94
simple_insert,bevy,,,,70073384.0,ns,96
simple_insert,bevy,,,,70926911.0,ns,98
simple_insert,bevy,,,,72902587.0,ns,100
simple_insert,bevy,,,,73794505.0,ns,102
simple_insert,bevy,,,,75184421.0,ns,104
simple_insert,bevy,,,,76580908.0,ns,106
simple_insert,bevy,,,,78068025.0,ns,108
simple_insert,bevy,,,,79456322.0,ns,110
simple_insert,bevy,,,,82017905.0,ns,112
simple_insert,bevy,,,,82833883.0,ns,114
simple_insert,bevy,,,,84193500.0,ns,116
simple_insert,bevy,,,,85190257.0,ns,118
simple_insert,bevy,,,,86928604.0,ns,120
simple_insert,bevy,,,,88267800.0,ns,122
simple_insert,bevy,,,,89742627.0,ns,124
simple_insert,bevy,,,,92394741.0,ns,126
simple_insert,bevy,,,,93006269.0,ns,128
simple_insert,bevy,,,,94258756.0,ns,130
simple_insert,bevy,,,,95710883.0,ns,132
simple_insert,bevy,,,,99044845.0,ns,134
simple_insert,bevy,,,,98873935.0,ns,136
simple_insert,bevy,,,,99886693.0,ns,138
simple_insert,bevy,,,,103007835.0,ns,140
simple_insert,bevy,,,,103376954.0,ns,142
simple_insert,bevy,,,,104795911.0,ns,144
simple_insert,bevy,,,,105919749.0,ns,146
simple_insert,bevy,,,,106831656.0,ns,148
simple_insert,bevy,,,,108335643.0,ns,150
simple_insert,bevy,,,,113586790.0,ns,152
simple_insert,bevy,,,,114800587.0,ns,154
simple_insert,bevy,,,,112840272.0,ns,156
simple_insert,bevy,,,,113863530.0,ns,158
simple_insert,bevy,,,,115542146.0,ns,160
simple_insert,bevy,,,,118132989.0,ns,162
simple_insert,bevy,,,,118568879.0,ns,164
simple_insert,bevy,,,,119811925.0,ns,166
simple_insert,bevy,,,,121235562.0,ns,168
simple_insert,bevy,,,,123244447.0,ns,170
simple_insert,bevy,,,,127869836.0,ns,172
simple_insert,bevy,,,,128339356.0,ns,174
simple_insert,bevy,,,,128316785.0,ns,176
simple_insert,bevy,,,,129468073.0,ns,178
simple_insert,bevy,,,,131248918.0,ns,180
simple_insert,bevy,,,,133741832.0,ns,182
simple_insert,bevy,,,,133691233.0,ns,184
simple_insert,bevy,,,,134628560.0,ns,186
simple_insert,bevy,,,,136408246.0,ns,188
simple_insert,bevy,,,,137768373.0,ns,190
simple_insert,bevy,,,,143968358.0,ns,192
simple_insert,bevy,,,,141166795.0,ns,194
simple_insert,bevy,,,,142178842.0,ns,196
simple_insert,bevy,,,,146014614.0,ns,198
simple_insert,bevy,,,,146865871.0,ns,200
