group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,ellecs,,,,1785816.0,ns,1
simple_insert,ellecs,,,,3379082.0,ns,2
simple_insert,ellecs,,,,5105318.0,ns,3
simple_insert,ellecs,,,,7004373.0,ns,4
simple_insert,ellecs,,,,9742807.0,ns,5
simple_insert,ellecs,,,,11451383.0,ns,6
simple_insert,ellecs,,,,11773712.0,ns,7
simple_insert,ellecs,,,,14975984.0,ns,8
simple_insert,ellecs,,,,16625751.0,ns,9
simple_insert,ellecs,,,,18699305.0,ns,10
simple_insert,ellecs,,,,22064818.0,ns,11
simple_insert,ellecs,,,,22823575.0,ns,12
simple_insert,ellecs,,,,24685382.0,ns,13
simple_insert,ellecs,,,,26836426.0,ns,14
simple_insert,ellecs,,,,31275446.0,ns,15
simple_insert,ellecs,,,,34234938.0,ns,16
simple_insert,ellecs,,,,31487286.0,ns,17
simple_insert,ellecs,,,,36637063.0,ns,18
simple_insert,ellecs,,,,34659607.0,ns,19
simple_insert,ellecs,,,,35277946.0,ns,20
simple_insert,ellecs,,,,35956375.0,ns,21
simple_insert,ellecs,,,,37565101.0,ns,22
simple_insert,ellecs,,,,39393276.0,ns,23
simple_insert,ellecs,,,,40289035.0,ns,24
simple_insert,ellecs,,,,41438831.0,ns,25
simple_insert,ellecs,,,,43339797.0,ns,26
simple_insert,ellecs,,,,44958163.0,ns,27
simple_insert,ellecs,,,,47320648.0,ns,28
simple_insert,ellecs,,,,48411475.0,ns,29
simple_insert,ellecs,,,,50933399.0,ns,30
simple_insert,ellecs,,,,57335724.0,ns,31
simple_insert,ellecs,,,,56789445.0,ns,32
simple_insert,ellecs,,,,58164272.0,ns,33
simple_insert,ellecs,,,,61283434.0,ns,34
simple_insert,ellecs,,,,59530089.0,ns,35
simple_insert,ellecs,,,,64401647.0,ns,36
simple_insert,ellecs,,,,88733219.0,ns,37
simple_insert,ellecs,,,,72354698.0,ns,38
simple_insert,ellecs,,,,84423650.0,ns,39
simple_insert,ellecs,,,,91442962.0,ns,40
simple_insert,ellecs,,,,84058351.0,ns,41
simple_insert,ellecs,,,,84630809.0,ns,42
simple_insert,ellecs,,,,81237766.0,ns,43
simple_insert,ellecs,,,,80780819.0,ns,44
simple_insert,ellecs,,,,78158714.0,ns,45
simple_insert,ellecs,,,,77481066.0,ns,46
simple_insert,ellecs,,,,79847161.0,ns,47
simple_insert,ellecs,,,,81457746.0,ns,48
simple_insert,ellecs,,,,82161755.0,ns,49
simple_insert,ellecs,,,,83440291.0,ns,50
simple_insert,ellecs,,,,84709079.0,ns,51
simple_insert,ellecs,,,,86461295.0,ns,52
simple_insert,ellecs,,,,88577199.0,ns,53
simple_insert,ellecs,,,,98786656.0,ns,54
simple_insert,ellecs,,,,107404604.0,ns,55
simple_insert,ellecs,,,,98852966.0,ns,56
simple_insert,ellecs,,,,104355272.0,ns,57
simple_insert,ellecs,,,,102317937.0,ns,58
simple_insert,ellecs,,,,104365602.0,ns,59
simple_insert,ellecs,,,,119296097.0,ns,60
simple_insert,ellecs,,,,108292322.0,ns,61
simple_insert,ellecs,,,,106558107.0,ns,62
simple_insert,ellecs,,,,106389707.0,ns,63
simple_insert,ellecs,,,,107968504.0,ns,64
simple_insert,ellecs,,,,114129949.0,ns,65
simple_insert,ellecs,,,,110393378.0,ns,66
simple_insert,ellecs,,,,113159861.0,ns,67
simple_insert,ellecs,,,,116628443.0,ns,68
simple_insert,ellecs,,,,117148652.0,ns,69
simple_insert,ellecs,,,,117372650.0,ns,70
simple_insert,ellecs,,,,118376670.0,ns,71
simple_insert,ellecs,,,,120348614.0,ns,72
simple_insert,ellecs,,,,122583979.0,ns,73
simple_insert,ellecs,,,,124354574.0,ns,74
simple_insert,ellecs,,,,125410502.0,ns,75
simple_insert,ellecs,,,,127006998.0,ns,76
simple_insert,ellecs,,,,130250241.0,ns,77
simple_insert,ellecs,,,,130566510.0,ns,78
simple_insert,ellecs,,,,137418843.0,ns,79
simple_insert,ellecs,,,,138977740.0,ns,80
simple_insert,ellecs,,,,138379662.0,ns,81
simple_insert,ellecs,,,,137253914.0,ns,82
simple_insert,ellecs,,,,139991937.0,ns,83
simple_insert,ellecs,,,,141312695.0,ns,84
simple_insert,ellecs,,,,142977590.0,ns,85
simple_insert,ellecs,,,,157997755.0,ns,86
simple_insert,ellecs,,,,151054221.0,ns,87
simple_insert,ellecs,,,,148452777.0,ns,88
simple_insert,ellecs,,,,149810025.0,ns,89
simple_insert,ellecs,,,,151389850.0,ns,90
simple_insert,ellecs,,,,153155506.0,ns,91
simple_insert,ellecs,,,,154299534.0,ns,92
simple_insert,ellecs,,,,155771839.0,ns,93
simple_insert,ellecs,,,,158356624.0,ns,94
simple_insert,ellecs,,,,158764773.0,ns,95
simple_insert,ellecs,,,,160433489.0,ns,96
simple_insert,ellecs,,,,162338175.0,ns,97
simple_insert,ellecs,,,,165111027.0,ns,98
simple_insert,ellecs,,,,164451380.0,ns,99
simple_insert,ellecs,,,,166977793.0,ns,100
