group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,hecs,,,,1538747.0,ns,2
simple_insert,hecs,,,,2794733.0,ns,4
simple_insert,hecs,,,,4245980.0,ns,6
simple_insert,hecs,,,,6030655.0,ns,8
simple_insert,hecs,,,,7483553.0,ns,10
simple_insert,hecs,,,,8767299.0,ns,12
simple_insert,hecs,,,,10229906.0,ns,14
simple_insert,hecs,,,,12121301.0,ns,16
simple_insert,hecs,,,,14229596.0,ns,18
simple_insert,hecs,,,,16087872.0,ns,20
simple_insert,hecs,,,,17871838.0,ns,22
simple_insert,hecs,,,,22329416.0,ns,24
simple_insert,hecs,,,,18769076.0,ns,26
simple_insert,hecs,,,,19703133.0,ns,28
simple_insert,hecs,,,,21120980.0,ns,30
simple_insert,hecs,,,,23106905.0,ns,32
simple_insert,hecs,,,,23875764.0,ns,34
simple_insert,hecs,,,,25508259.0,ns,36
simple_insert,hecs,,,,26702726.0,ns,38
simple_insert,hecs,,,,31407396.0,ns,40
simple_insert,hecs,,,,29691239.0,ns,42
simple_insert,hecs,,,,32012684.0,ns,44
simple_insert,hecs,,,,32605513.0,ns,46
simple_insert,hecs,,,,33989839.0,ns,48
simple_insert,hecs,,,,35435176.0,ns,50
simple_insert,hecs,,,,39918985.0,ns,52
simple_insert,hecs,,,,38203429.0,ns,54
simple_insert,hecs,,,,39311357.0,ns,56
simple_insert,hecs,,,,40851393.0,ns,58
simple_insert,hecs,,,,42705109.0,ns,60
simple_insert,hecs,,,,48812334.0,ns,62
simple_insert,hecs,,,,45270202.0,ns,64
simple_insert,hecs,,,,47431517.0,ns,66
simple_insert,hecs,,,,48703785.0,ns,68
simple_insert,hecs,,,,51756647.0,ns,70
simple_insert,hecs,,,,51220458.0,ns,72
simple_insert,hecs,,,,52458576.0,ns,74
simple_insert,hecs,,,,54534150.0,ns,76
simple_insert,hecs,,,,54744670.0,ns,78
simple_insert,hecs,,,,56615356.0,ns,80
simple_insert,hecs,,,,57994192.0,ns,82
simple_insert,hecs,,,,59807908.0,ns,84
simple_insert,hecs,,,,61679174.0,ns,86
simple_insert,hecs,,,,63606579.0,ns,88
simple_insert,hecs,,,,65071115.0,ns,90
simple_insert,hecs,,,,66018194.0,ns,92
simple_insert,hecs,,,,67122440.0,ns,94
simple_insert,hecs,,,,67440030.0,ns,96
simple_insert,hecs,,,,69589495.0,ns,98
simple_insert,hecs,,,,70711352.0,ns,100
simple_insert,hecs,,,,72210228.0,ns,102
simple_insert,hecs,,,,77395487.0,ns,104
simple_insert,hecs,,,,75465350.0,ns,106
simple_insert,hecs,,,,76484279.0,ns,108
simple_insert,hecs,,,,77066547.0,ns,110
simple_insert,hecs,,,,79126442.0,ns,112
simple_insert,hecs,,,,80971058.0,ns,114
simple_insert,hecs,,,,82061795.0,ns,116
simple_insert,hecs,,,,83150842.0,ns,118
simple_insert,hecs,,,,84818139.0,ns,120
simple_insert,hecs,,,,87250933.0,ns,122
simple_insert,hecs,,,,88280000.0,ns,124
simple_insert,hecs,,,,88638409.0,ns,126
simple_insert,hecs,,,,90132917.0,ns,128
simple_insert,hecs,,,,91989791.0,ns,130
simple_insert,hecs,,,,93016869.0,ns,132
simple_insert,hecs,,,,94641895.0,ns,134
simple_insert,hecs,,,,96093632.0,ns,136
simple_insert,hecs,,,,97717159.0,ns,138
simple_insert,hecs,,,,99000944.0,ns,140
simple_insert,hecs,,,,100544471.0,ns,142
simple_insert,hecs,,,,101455250.0,ns,144
simple_insert,hecs,,,,103007115.0,ns,146
simple_insert,hecs,,,,104156593.0,ns,148
simple_insert,hecs,,,,105556979.0,ns,150
simple_insert,hecs,,,,107085956.0,ns,152
simple_insert,hecs,,,,108580072.0,ns,154
simple_insert,hecs,,,,110372338.0,ns,156
simple_insert,hecs,,,,111766914.0,ns,158
simple_insert,hecs,,,,112742403.0,ns,160
simple_insert,hecs,,,,114225049.0,ns,162
simple_insert,hecs,,,,115486776.0,ns,164
simple_insert,hecs,,,,117329971.0,ns,166
simple_insert,hecs,,,,118736158.0,ns,168
simple_insert,hecs,,,,119050047.0,ns,170
simple_insert,hecs,,,,121487922.0,ns,172
simple_insert,hecs,,,,122535769.0,ns,174
simple_insert,hecs,,,,123625356.0,ns,176
simple_insert,hecs,,,,125645982.0,ns,178
simple_insert,hecs,,,,127018038.0,ns,180
simple_insert,hecs,,,,128546785.0,ns,182
simple_insert,hecs,,,,129503942.0,ns,184
simple_insert,hecs,,,,131883597.0,ns,186
simple_insert,hecs,,,,133678763.0,ns,188
simple_insert,hecs,,,,134393941.0,ns,190
simple_insert,hecs,,,,135402848.0,ns,192
simple_insert,hecs,,,,138390612.0,ns,194
simple_insert,hecs,,,,138241491.0,ns,196
simple_insert,hecs,,,,139605509.0,ns,198
simple_insert,hecs,,,,141526334.0,ns,200
