group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,legion,,,,1057179.0,ns,5
simple_insert,legion,,,,2164498.0,ns,10
simple_insert,legion,,,,3210616.0,ns,15
simple_insert,legion,,,,4176165.0,ns,20
simple_insert,legion,,,,5952613.0,ns,25
simple_insert,legion,,,,6649823.0,ns,30
simple_insert,legion,,,,8629070.0,ns,35
simple_insert,legion,,,,8319941.0,ns,40
simple_insert,legion,,,,9453139.0,ns,45
simple_insert,legion,,,,10303098.0,ns,50
simple_insert,legion,,,,11391147.0,ns,55
simple_insert,legion,,,,12402036.0,ns,60
simple_insert,legion,,,,13393154.0,ns,65
simple_insert,legion,,,,14581334.0,ns,70
simple_insert,legion,,,,15538822.0,ns,75
simple_insert,legion,,,,16698312.0,ns,80
simple_insert,legion,,,,17966469.0,ns,85
simple_insert,legion,,,,18763579.0,ns,90
simple_insert,legion,,,,19863997.0,ns,95
simple_insert,legion,,,,20774596.0,ns,100
simple_insert,legion,,,,21786796.0,ns,105
simple_insert,legion,,,,22750884.0,ns,110
simple_insert,legion,,,,23946202.0,ns,115
simple_insert,legion,,,,25136622.0,ns,120
simple_insert,legion,,,,25974970.0,ns,125
simple_insert,legion,,,,27263429.0,ns,130
simple_insert,legion,,,,28091098.0,ns,135
simple_insert,legion,,,,28968147.0,ns,140
simple_insert,legion,,,,30056126.0,ns,145
simple_insert,legion,,,,31295604.0,ns,150
simple_insert,legion,,,,32602433.0,ns,155
simple_insert,legion,,,,33475142.0,ns,160
simple_insert,legion,,,,34614940.0,ns,165
simple_insert,legion,,,,35920999.0,ns,170
simple_insert,legion,,,,36718108.0,ns,175
simple_insert,legion,,,,38073466.0,ns,180
simple_insert,legion,,,,42315932.0,ns,185
simple_insert,legion,,,,41657042.0,ns,190
simple_insert,legion,,,,44011810.0,ns,195
simple_insert,legion,,,,49885653.0,ns,200
simple_insert,legion,,,,54674377.0,ns,205
simple_insert,legion,,,,55826287.0,ns,210
simple_insert,legion,,,,58322223.0,ns,215
simple_insert,legion,,,,59665462.0,ns,220
simple_insert,legion,,,,53160210.0,ns,225
simple_insert,legion,,,,51126151.0,ns,230
simple_insert,legion,,,,52843370.0,ns,235
simple_insert,legion,,,,59167772.0,ns,240
simple_insert,legion,,,,55191637.0,ns,245
simple_insert,legion,,,,57141405.0,ns,250
simple_insert,legion,,,,59387662.0,ns,255
simple_insert,legion,,,,63065718.0,ns,260
simple_insert,legion,,,,65631514.0,ns,265
simple_insert,legion,,,,71543448.0,ns,270
simple_insert,legion,,,,59100063.0,ns,275
simple_insert,legion,,,,74014385.0,ns,280
simple_insert,legion,,,,72133797.0,ns,285
simple_insert,legion,,,,77137632.0,ns,290
simple_insert,legion,,,,78416750.0,ns,295
simple_insert,legion,,,,66578974.0,ns,300
simple_insert,legion,,,,63427977.0,ns,305
simple_insert,legion,,,,64486196.0,ns,310
simple_insert,legion,,,,69462371.0,ns,315
simple_insert,legion,,,,69939769.0,ns,320
simple_insert,legion,,,,76836892.0,ns,325
simple_insert,legion,,,,88697038.0,ns,330
simple_insert,legion,,,,84074314.0,ns,335
simple_insert,legion,,,,75242213.0,ns,340
simple_insert,legion,,,,77975411.0,ns,345
simple_insert,legion,,,,94350471.0,ns,350
simple_insert,legion,,,,96320450.0,ns,355
simple_insert,legion,,,,97064628.0,ns,360
simple_insert,legion,,,,80071548.0,ns,365
simple_insert,legion,,,,79924708.0,ns,370
simple_insert,legion,,,,83252625.0,ns,375
simple_insert,legion,,,,83373614.0,ns,380
simple_insert,legion,,,,84643382.0,ns,385
simple_insert,legion,,,,85006272.0,ns,390
simple_insert,legion,,,,86285331.0,ns,395
simple_insert,legion,,,,100854453.0,ns,400
simple_insert,legion,,,,108903235.0,ns,405
simple_insert,legion,,,,97116148.0,ns,410
simple_insert,legion,,,,106660408.0,ns,415
simple_insert,legion,,,,103378810.0,ns,420
simple_insert,legion,,,,114025839.0,ns,425
simple_insert,legion,,,,114632408.0,ns,430
simple_insert,legion,,,,116051346.0,ns,435
simple_insert,legion,,,,115365517.0,ns,440
simple_insert,legion,,,,93562911.0,ns,445
simple_insert,legion,,,,94484722.0,ns,450
simple_insert,legion,,,,95334169.0,ns,455
simple_insert,legion,,,,96813988.0,ns,460
simple_insert,legion,,,,99373355.0,ns,465
simple_insert,legion,,,,111976821.0,ns,470
simple_insert,legion,,,,120011261.0,ns,475
simple_insert,legion,,,,120003802.0,ns,480
simple_insert,legion,,,,114387337.0,ns,485
simple_insert,legion,,,,132300367.0,ns,490
simple_insert,legion,,,,132049477.0,ns,495
simple_insert,legion,,,,135614423.0,ns,500
