group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,legion_0.2.4,,,,1954067.0,ns,2
simple_insert,legion_0.2.4,,,,3822056.0,ns,4
simple_insert,legion_0.2.4,,,,5713303.0,ns,6
simple_insert,legion_0.2.4,,,,7658461.0,ns,8
simple_insert,legion_0.2.4,,,,9734838.0,ns,10
simple_insert,legion_0.2.4,,,,11711267.0,ns,12
simple_insert,legion_0.2.4,,,,13401964.0,ns,14
simple_insert,legion_0.2.4,,,,15547322.0,ns,16
simple_insert,legion_0.2.4,,,,17593989.0,ns,18
simple_insert,legion_0.2.4,,,,21247035.0,ns,20
simple_insert,legion_0.2.4,,,,21467985.0,ns,22
simple_insert,legion_0.2.4,,,,23303773.0,ns,24
simple_insert,legion_0.2.4,,,,25093240.0,ns,26
simple_insert,legion_0.2.4,,,,27146318.0,ns,28
simple_insert,legion_0.2.4,,,,28949266.0,ns,30
simple_insert,legion_0.2.4,,,,30891533.0,ns,32
simple_insert,legion_0.2.4,,,,32992972.0,ns,34
simple_insert,legion_0.2.4,,,,34686619.0,ns,36
simple_insert,legion_0.2.4,,,,36860877.0,ns,38
simple_insert,legion_0.2.4,,,,41085392.0,ns,40
simple_insert,legion_0.2.4,,,,40897052.0,ns,42
simple_insert,legion_0.2.4,,,,42697140.0,ns,44
simple_insert,legion_0.2.4,,,,44572577.0,ns,46
simple_insert,legion_0.2.4,,,,46642825.0,ns,48
simple_insert,legion_0.2.4,,,,48616993.0,ns,50
simple_insert,legion_0.2.4,,,,50758470.0,ns,52
simple_insert,legion_0.2.4,,,,63545115.0,ns,54
simple_insert,legion_0.2.4,,,,53695677.0,ns,56
simple_insert,legion_0.2.4,,,,56133003.0,ns,58
simple_insert,legion_0.2.4,,,,57763143.0,ns,60
simple_insert,legion_0.2.4,,,,59623249.0,ns,62
simple_insert,legion_0.2.4,,,,62022457.0,ns,64
simple_insert,legion_0.2.4,,,,63500046.0,ns,66
simple_insert,legion_0.2.4,,,,65863222.0,ns,68
simple_insert,legion_0.2.4,,,,67556030.0,ns,70
simple_insert,legion_0.2.4,,,,69841788.0,ns,72
simple_insert,legion_0.2.4,,,,72097065.0,ns,74
simple_insert,legion_0.2.4,,,,73469493.0,ns,76
simple_insert,legion_0.2.4,,,,75739621.0,ns,78
simple_insert,legion_0.2.4,,,,77379059.0,ns,80
simple_insert,legion_0.2.4,,,,79580726.0,ns,82
simple_insert,legion_0.2.4,,,,81117694.0,ns,84
simple_insert,legion_0.2.4,,,,83630621.0,ns,86
simple_insert,legion_0.2.4,,,,85086660.0,ns,88
simple_insert,legion_0.2.4,,,,87264896.0,ns,90
simple_insert,legion_0.2.4,,,,89117825.0,ns,92
simple_insert,legion_0.2.4,,,,91698612.0,ns,94
simple_insert,legion_0.2.4,,,,93006280.0,ns,96
simple_insert,legion_0.2.4,,,,94435298.0,ns,98
simple_insert,legion_0.2.4,,,,97306465.0,ns,100
simple_insert,legion_0.2.4,,,,98386814.0,ns,102
simple_insert,legion_0.2.4,,,,101196780.0,ns,104
simple_insert,legion_0.2.4,,,,103028838.0,ns,106
simple_insert,legion_0.2.4,,,,104249067.0,ns,108
