group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,shipyard,,,,1617918.0,ns,1
simple_insert,shipyard,,,,3281965.0,ns,2
simple_insert,shipyard,,,,4808114.0,ns,3
simple_insert,shipyard,,,,6767922.0,ns,4
simple_insert,shipyard,,,,8116459.0,ns,5
simple_insert,shipyard,,,,9827787.0,ns,6
simple_insert,shipyard,,,,11188286.0,ns,7
simple_insert,shipyard,,,,12766513.0,ns,8
simple_insert,shipyard,,,,14454042.0,ns,9
simple_insert,shipyard,,,,16073539.0,ns,10
simple_insert,shipyard,,,,17651117.0,ns,11
simple_insert,shipyard,,,,19272746.0,ns,12
simple_insert,shipyard,,,,20723623.0,ns,13
simple_insert,shipyard,,,,22317232.0,ns,14
simple_insert,shipyard,,,,23990918.0,ns,15
simple_insert,shipyard,,,,25616198.0,ns,16
simple_insert,shipyard,,,,27179565.0,ns,17
simple_insert,shipyard,,,,28761262.0,ns,18
simple_insert,shipyard,,,,31223351.0,ns,19
simple_insert,shipyard,,,,33480216.0,ns,20
simple_insert,shipyard,,,,34732956.0,ns,21
simple_insert,shipyard,,,,37136412.0,ns,22
simple_insert,shipyard,,,,40089468.0,ns,23
simple_insert,shipyard,,,,46090681.0,ns,24
simple_insert,shipyard,,,,51645463.0,ns,25
simple_insert,shipyard,,,,54658950.0,ns,26
simple_insert,shipyard,,,,47387179.0,ns,27
simple_insert,shipyard,,,,53504401.0,ns,28
simple_insert,shipyard,,,,58163825.0,ns,29
simple_insert,shipyard,,,,54456820.0,ns,30
simple_insert,shipyard,,,,72056457.0,ns,31
simple_insert,shipyard,,,,81185115.0,ns,32
simple_insert,shipyard,,,,80207947.0,ns,33
simple_insert,shipyard,,,,64440897.0,ns,34
simple_insert,shipyard,,,,61151431.0,ns,35
simple_insert,shipyard,,,,57844535.0,ns,36
simple_insert,shipyard,,,,63967028.0,ns,37
simple_insert,shipyard,,,,60782522.0,ns,38
simple_insert,shipyard,,,,67440233.0,ns,39
simple_insert,shipyard,,,,76961840.0,ns,40
simple_insert,shipyard,,,,69487331.0,ns,41
simple_insert,shipyard,,,,67906742.0,ns,42
simple_insert,shipyard,,,,74579303.0,ns,43
simple_insert,shipyard,,,,70450450.0,ns,44
simple_insert,shipyard,,,,76919940.0,ns,45
simple_insert,shipyard,,,,74527454.0,ns,46
simple_insert,shipyard,,,,75223083.0,ns,47
simple_insert,shipyard,,,,81971153.0,ns,48
simple_insert,shipyard,,,,83921512.0,ns,49
simple_insert,shipyard,,,,91320292.0,ns,50
simple_insert,shipyard,,,,81429745.0,ns,51
simple_insert,shipyard,,,,83223042.0,ns,52
simple_insert,shipyard,,,,84816640.0,ns,53
simple_insert,shipyard,,,,97278865.0,ns,54
simple_insert,shipyard,,,,114032112.0,ns,55
simple_insert,shipyard,,,,100576500.0,ns,56
simple_insert,shipyard,,,,113630382.0,ns,57
simple_insert,shipyard,,,,92596041.0,ns,58
simple_insert,shipyard,,,,99215731.0,ns,59
simple_insert,shipyard,,,,103436736.0,ns,60
simple_insert,shipyard,,,,104294855.0,ns,61
simple_insert,shipyard,,,,98456412.0,ns,62
simple_insert,shipyard,,,,115697420.0,ns,63
simple_insert,shipyard,,,,114481912.0,ns,64
simple_insert,shipyard,,,,129297602.0,ns,65
simple_insert,shipyard,,,,120985213.0,ns,66
simple_insert,shipyard,,,,106005462.0,ns,67
simple_insert,shipyard,,,,121790462.0,ns,68
simple_insert,shipyard,,,,114462611.0,ns,69
simple_insert,shipyard,,,,119785435.0,ns,70
simple_insert,shipyard,,,,147327879.0,ns,71
simple_insert,shipyard,,,,123470649.0,ns,72
simple_insert,shipyard,,,,130405631.0,ns,73
simple_insert,shipyard,,,,131729998.0,ns,74
simple_insert,shipyard,,,,119714874.0,ns,75
simple_insert,shipyard,,,,140614507.0,ns,76
simple_insert,shipyard,,,,127403674.0,ns,77
simple_insert,shipyard,,,,131342010.0,ns,78
simple_insert,shipyard,,,,133661436.0,ns,79
simple_insert,shipyard,,,,130860959.0,ns,80
simple_insert,shipyard,,,,150347584.0,ns,81
simple_insert,shipyard,,,,136613922.0,ns,82
simple_insert,shipyard,,,,139119768.0,ns,83
simple_insert,shipyard,,,,144677672.0,ns,84
simple_insert,shipyard,,,,136169912.0,ns,85
simple_insert,shipyard,,,,151399443.0,ns,86
simple_insert,shipyard,,,,150167843.0,ns,87
simple_insert,shipyard,,,,154463838.0,ns,88
simple_insert,shipyard,,,,150344134.0,ns,89
simple_insert,shipyard,,,,151177652.0,ns,90
simple_insert,shipyard,,,,164152256.0,ns,91
simple_insert,shipyard,,,,195098274.0,ns,92
simple_insert,shipyard,,,,158414764.0,ns,93
simple_insert,shipyard,,,,154501237.0,ns,94
simple_insert,shipyard,,,,184001349.0,ns,95
simple_insert,shipyard,,,,158226182.0,ns,96
simple_insert,shipyard,,,,164239575.0,ns,97
simple_insert,shipyard,,,,158996402.0,ns,98
simple_insert,shipyard,,,,165583873.0,ns,99
simple_insert,shipyard,,,,174394611.0,ns,100
