group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,specs,,,,1561468.0,ns,1
simple_insert,specs,,,,3130196.0,ns,2
simple_insert,specs,,,,4603084.0,ns,3
simple_insert,specs,,,,6163232.0,ns,4
simple_insert,specs,,,,7741119.0,ns,5
simple_insert,specs,,,,9196178.0,ns,6
simple_insert,specs,,,,10766626.0,ns,7
simple_insert,specs,,,,12477434.0,ns,8
simple_insert,specs,,,,15407629.0,ns,9
simple_insert,specs,,,,15491090.0,ns,10
simple_insert,specs,,,,16958227.0,ns,11
simple_insert,specs,,,,18435235.0,ns,12
simple_insert,specs,,,,19970704.0,ns,13
simple_insert,specs,,,,21528322.0,ns,14
simple_insert,specs,,,,23073369.0,ns,15
simple_insert,specs,,,,24755147.0,ns,16
simple_insert,specs,,,,26355855.0,ns,17
simple_insert,specs,,,,28022333.0,ns,18
simple_insert,specs,,,,29483721.0,ns,19
simple_insert,specs,,,,31268509.0,ns,20
simple_insert,specs,,,,32330417.0,ns,21
simple_insert,specs,,,,33851375.0,ns,22
simple_insert,specs,,,,35655583.0,ns,23
simple_insert,specs,,,,37418890.0,ns,24
simple_insert,specs,,,,38409369.0,ns,25
simple_insert,specs,,,,40532697.0,ns,26
simple_insert,specs,,,,42037184.0,ns,27
simple_insert,specs,,,,43090322.0,ns,28
simple_insert,specs,,,,44603971.0,ns,29
simple_insert,specs,,,,46225109.0,ns,30
simple_insert,specs,,,,47658656.0,ns,31
simple_insert,specs,,,,49538225.0,ns,32
simple_insert,specs,,,,51360262.0,ns,33
simple_insert,specs,,,,53377249.0,ns,34
simple_insert,specs,,,,54094608.0,ns,35
simple_insert,specs,,,,63606406.0,ns,36
simple_insert,specs,,,,57560793.0,ns,37
simple_insert,specs,,,,58638822.0,ns,38
simple_insert,specs,,,,65324363.0,ns,39
simple_insert,specs,,,,72618454.0,ns,40
simple_insert,specs,,,,73527163.0,ns,41
simple_insert,specs,,,,65260892.0,ns,42
simple_insert,specs,,,,89607581.0,ns,43
simple_insert,specs,,,,80951513.0,ns,44
simple_insert,specs,,,,87802693.0,ns,45
simple_insert,specs,,,,79541645.0,ns,46
simple_insert,specs,,,,81483631.0,ns,47
simple_insert,specs,,,,75350900.0,ns,48
simple_insert,specs,,,,83096689.0,ns,49
simple_insert,specs,,,,83118580.0,ns,50
simple_insert,specs,,,,78410655.0,ns,51
simple_insert,specs,,,,79958784.0,ns,52
simple_insert,specs,,,,81537031.0,ns,53
simple_insert,specs,,,,82960280.0,ns,54
simple_insert,specs,,,,84578937.0,ns,55
simple_insert,specs,,,,86381565.0,ns,56
simple_insert,specs,,,,110527553.0,ns,57
simple_insert,specs,,,,96414341.0,ns,58
simple_insert,specs,,,,109311464.0,ns,59
simple_insert,specs,,,,92771917.0,ns,60
simple_insert,specs,,,,94005764.0,ns,61
simple_insert,specs,,,,95551633.0,ns,62
simple_insert,specs,,,,97353040.0,ns,63
simple_insert,specs,,,,98585049.0,ns,64
simple_insert,specs,,,,100307826.0,ns,65
simple_insert,specs,,,,101847294.0,ns,66
simple_insert,specs,,,,103178201.0,ns,67
simple_insert,specs,,,,105045250.0,ns,68
simple_insert,specs,,,,108743475.0,ns,69
simple_insert,specs,,,,108333815.0,ns,70
simple_insert,specs,,,,110125313.0,ns,71
simple_insert,specs,,,,111694041.0,ns,72
simple_insert,specs,,,,113315608.0,ns,73
simple_insert,specs,,,,114104778.0,ns,74
simple_insert,specs,,,,116296454.0,ns,75
simple_insert,specs,,,,116906133.0,ns,76
simple_insert,specs,,,,120116640.0,ns,77
simple_insert,specs,,,,123247035.0,ns,78
simple_insert,specs,,,,121739237.0,ns,79
simple_insert,specs,,,,123128485.0,ns,80
simple_insert,specs,,,,124627503.0,ns,81
simple_insert,specs,,,,126020181.0,ns,82
simple_insert,specs,,,,128073908.0,ns,83
simple_insert,specs,,,,129992366.0,ns,84
simple_insert,specs,,,,133445661.0,ns,85
simple_insert,specs,,,,140134002.0,ns,86
simple_insert,specs,,,,168278584.0,ns,87
simple_insert,specs,,,,181601736.0,ns,88
simple_insert,specs,,,,186704529.0,ns,89
simple_insert,specs,,,,181071977.0,ns,90
simple_insert,specs,,,,179812418.0,ns,91
simple_insert,specs,,,,147818501.0,ns,92
simple_insert,specs,,,,166181166.0,ns,93
simple_insert,specs,,,,146793433.0,ns,94
simple_insert,specs,,,,146110943.0,ns,95
simple_insert,specs,,,,156306360.0,ns,96
simple_insert,specs,,,,155678100.0,ns,97
simple_insert,specs,,,,172480608.0,ns,98
simple_insert,specs,,,,157415617.0,ns,99
simple_insert,specs,,,,153956683.0,ns,100
