group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,bevy,,,,1029478.0,ns,53
simple_iter,bevy,,,,1947827.0,ns,106
simple_iter,bevy,,,,3216954.0,ns,159
simple_iter,bevy,,,,4189273.0,ns,212
simple_iter,bevy,,,,5183941.0,ns,265
simple_iter,bevy,,,,5927630.0,ns,318
simple_iter,bevy,,,,7501259.0,ns,371
simple_iter,bevy,,,,7893197.0,ns,424
simple_iter,bevy,,,,8972916.0,ns,477
simple_iter,bevy,,,,10451823.0,ns,530
simple_iter,bevy,,,,11132302.0,ns,583
simple_iter,bevy,,,,11862071.0,ns,636
simple_iter,bevy,,,,13260298.0,ns,689
simple_iter,bevy,,,,13287650.0,ns,742
simple_iter,bevy,,,,14670796.0,ns,795
simple_iter,bevy,,,,15395355.0,ns,848
simple_iter,bevy,,,,17169843.0,ns,901
simple_iter,bevy,,,,18589880.0,ns,954
simple_iter,bevy,,,,20230628.0,ns,1007
simple_iter,bevy,,,,21631845.0,ns,1060
simple_iter,bevy,,,,22658614.0,ns,1113
simple_iter,bevy,,,,23004063.0,ns,1166
simple_iter,bevy,,,,24627100.0,ns,1219
simple_iter,bevy,,,,24910790.0,ns,1272
simple_iter,bevy,,,,25281339.0,ns,1325
simple_iter,bevy,,,,29816652.0,ns,1378
simple_iter,bevy,,,,26350138.0,ns,1431
simple_iter,bevy,,,,27779845.0,ns,1484
simple_iter,bevy,,,,29521343.0,ns,1537
simple_iter,bevy,,,,29666503.0,ns,1590
simple_iter,bevy,,,,31805409.0,ns,1643
simple_iter,bevy,,,,32377849.0,ns,1696
simple_iter,bevy,,,,33186177.0,ns,1749
simple_iter,bevy,,,,33982155.0,ns,1802
simple_iter,bevy,,,,34441355.0,ns,1855
simple_iter,bevy,,,,34325834.0,ns,1908
simple_iter,bevy,,,,35337644.0,ns,1961
simple_iter,bevy,,,,36096682.0,ns,2014
simple_iter,bevy,,,,37126251.0,ns,2067
simple_iter,bevy,,,,39057338.0,ns,2120
simple_iter,bevy,,,,41871923.0,ns,2173
simple_iter,bevy,,,,41670403.0,ns,2226
simple_iter,bevy,,,,43704420.0,ns,2279
simple_iter,bevy,,,,45966836.0,ns,2332
simple_iter,bevy,,,,45451668.0,ns,2385
simple_iter,bevy,,,,46382275.0,ns,2438
simple_iter,bevy,,,,49481491.0,ns,2491
simple_iter,bevy,,,,51299977.0,ns,2544
simple_iter,bevy,,,,51312378.0,ns,2597
simple_iter,bevy,,,,50468819.0,ns,2650
simple_iter,bevy,,,,52562486.0,ns,2703
simple_iter,bevy,,,,55880230.0,ns,2756
simple_iter,bevy,,,,53192266.0,ns,2809
simple_iter,bevy,,,,53185894.0,ns,2862
simple_iter,bevy,,,,55886431.0,ns,2915
simple_iter,bevy,,,,56867589.0,ns,2968
simple_iter,bevy,,,,59864564.0,ns,3021
simple_iter,bevy,,,,57559548.0,ns,3074
simple_iter,bevy,,,,60377453.0,ns,3127
simple_iter,bevy,,,,59585815.0,ns,3180
simple_iter,bevy,,,,58497727.0,ns,3233
simple_iter,bevy,,,,58971105.0,ns,3286
simple_iter,bevy,,,,60236014.0,ns,3339
simple_iter,bevy,,,,61528161.0,ns,3392
simple_iter,bevy,,,,62588840.0,ns,3445
simple_iter,bevy,,,,65039895.0,ns,3498
simple_iter,bevy,,,,67522382.0,ns,3551
simple_iter,bevy,,,,67504931.0,ns,3604
simple_iter,bevy,,,,69010670.0,ns,3657
simple_iter,bevy,,,,69253368.0,ns,3710
simple_iter,bevy,,,,71486145.0,ns,3763
simple_iter,bevy,,,,70185517.0,ns,3816
simple_iter,bevy,,,,74665471.0,ns,3869
simple_iter,bevy,,,,79636842.0,ns,3922
simple_iter,bevy,,,,79418533.0,ns,3975
simple_iter,bevy,,,,73993871.0,ns,4028
simple_iter,bevy,,,,75952588.0,ns,4081
simple_iter,bevy,,,,73898592.0,ns,4134
simple_iter,bevy,,,,75010439.0,ns,4187
simple_iter,bevy,,,,82033538.0,ns,4240
simple_iter,bevy,,,,77922675.0,ns,4293
simple_iter,bevy,,,,82476488.0,ns,4346
simple_iter,bevy,,,,82773637.0,ns,4399
simple_iter,bevy,,,,84917374.0,ns,4452
simple_iter,bevy,,,,84689404.0,ns,4505
simple_iter,bevy,,,,84841243.0,ns,4558
simple_iter,bevy,,,,83509156.0,ns,4611
simple_iter,bevy,,,,85892981.0,ns,4664
simple_iter,bevy,,,,91202184.0,ns,4717
simple_iter,bevy,,,,88484418.0,ns,4770
simple_iter,bevy,,,,87447150.0,ns,4823
simple_iter,bevy,,,,87557900.0,ns,4876
simple_iter,bevy,,,,90099425.0,ns,4929
simple_iter,bevy,,,,91272024.0,ns,4982
simple_iter,bevy,,,,91937551.0,ns,5035
simple_iter,bevy,,,,92325592.0,ns,5088
simple_iter,bevy,,,,93602560.0,ns,5141
simple_iter,bevy,,,,94944268.0,ns,5194
simple_iter,bevy,,,,96610614.0,ns,5247
simple_iter,bevy,,,,97974763.0,ns,5300
