group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,ellecs,,,,1015389.0,ns,77
simple_iter,ellecs,,,,2048227.0,ns,154
simple_iter,ellecs,,,,3066155.0,ns,231
simple_iter,ellecs,,,,4062934.0,ns,308
simple_iter,ellecs,,,,4638903.0,ns,385
simple_iter,ellecs,,,,6143450.0,ns,462
simple_iter,ellecs,,,,6471559.0,ns,539
simple_iter,ellecs,,,,7414149.0,ns,616
simple_iter,ellecs,,,,8368986.0,ns,693
simple_iter,ellecs,,,,9289075.0,ns,770
simple_iter,ellecs,,,,10276394.0,ns,847
simple_iter,ellecs,,,,11134532.0,ns,924
simple_iter,ellecs,,,,12264660.0,ns,1001
simple_iter,ellecs,,,,14286288.0,ns,1078
simple_iter,ellecs,,,,14347197.0,ns,1155
simple_iter,ellecs,,,,14818767.0,ns,1232
simple_iter,ellecs,,,,15721975.0,ns,1309
simple_iter,ellecs,,,,16647653.0,ns,1386
simple_iter,ellecs,,,,17549342.0,ns,1463
simple_iter,ellecs,,,,18487101.0,ns,1540
simple_iter,ellecs,,,,19410249.0,ns,1617
simple_iter,ellecs,,,,20320287.0,ns,1694
simple_iter,ellecs,,,,21254866.0,ns,1771
simple_iter,ellecs,,,,22205094.0,ns,1848
simple_iter,ellecs,,,,23115953.0,ns,1925
simple_iter,ellecs,,,,25061211.0,ns,2002
simple_iter,ellecs,,,,25309710.0,ns,2079
simple_iter,ellecs,,,,26015549.0,ns,2156
simple_iter,ellecs,,,,26956868.0,ns,2233
simple_iter,ellecs,,,,29029893.0,ns,2310
simple_iter,ellecs,,,,28789375.0,ns,2387
simple_iter,ellecs,,,,31559470.0,ns,2464
simple_iter,ellecs,,,,31383390.0,ns,2541
simple_iter,ellecs,,,,32087629.0,ns,2618
simple_iter,ellecs,,,,34830694.0,ns,2695
simple_iter,ellecs,,,,34361085.0,ns,2772
simple_iter,ellecs,,,,34548325.0,ns,2849
simple_iter,ellecs,,,,37713180.0,ns,2926
simple_iter,ellecs,,,,37167621.0,ns,3003
simple_iter,ellecs,,,,37226452.0,ns,3080
simple_iter,ellecs,,,,38446049.0,ns,3157
simple_iter,ellecs,,,,38958768.0,ns,3234
simple_iter,ellecs,,,,39845357.0,ns,3311
simple_iter,ellecs,,,,43133192.0,ns,3388
simple_iter,ellecs,,,,45973478.0,ns,3465
simple_iter,ellecs,,,,45536627.0,ns,3542
simple_iter,ellecs,,,,46989915.0,ns,3619
simple_iter,ellecs,,,,47114075.0,ns,3696
simple_iter,ellecs,,,,45686828.0,ns,3773
simple_iter,ellecs,,,,48449622.0,ns,3850
simple_iter,ellecs,,,,48250493.0,ns,3927
simple_iter,ellecs,,,,48876033.0,ns,4004
simple_iter,ellecs,,,,50664479.0,ns,4081
simple_iter,ellecs,,,,50502970.0,ns,4158
simple_iter,ellecs,,,,52686176.0,ns,4235
simple_iter,ellecs,,,,52246697.0,ns,4312
simple_iter,ellecs,,,,52977226.0,ns,4389
simple_iter,ellecs,,,,54473014.0,ns,4466
simple_iter,ellecs,,,,55346682.0,ns,4543
simple_iter,ellecs,,,,57948018.0,ns,4620
simple_iter,ellecs,,,,57358589.0,ns,4697
simple_iter,ellecs,,,,59594535.0,ns,4774
simple_iter,ellecs,,,,59420256.0,ns,4851
simple_iter,ellecs,,,,61560172.0,ns,4928
simple_iter,ellecs,,,,61769582.0,ns,5005
simple_iter,ellecs,,,,63358299.0,ns,5082
simple_iter,ellecs,,,,63473130.0,ns,5159
simple_iter,ellecs,,,,65475067.0,ns,5236
simple_iter,ellecs,,,,64061838.0,ns,5313
simple_iter,ellecs,,,,68454931.0,ns,5390
simple_iter,ellecs,,,,68892490.0,ns,5467
simple_iter,ellecs,,,,72384745.0,ns,5544
simple_iter,ellecs,,,,72102625.0,ns,5621
simple_iter,ellecs,,,,68908871.0,ns,5698
simple_iter,ellecs,,,,71246136.0,ns,5775
simple_iter,ellecs,,,,86600142.0,ns,5852
simple_iter,ellecs,,,,73566173.0,ns,5929
simple_iter,ellecs,,,,95253608.0,ns,6006
simple_iter,ellecs,,,,103295486.0,ns,6083
simple_iter,ellecs,,,,75970599.0,ns,6160
simple_iter,ellecs,,,,76093209.0,ns,6237
simple_iter,ellecs,,,,76208469.0,ns,6314
simple_iter,ellecs,,,,77830056.0,ns,6391
simple_iter,ellecs,,,,79200004.0,ns,6468
simple_iter,ellecs,,,,80022532.0,ns,6545
simple_iter,ellecs,,,,81749181.0,ns,6622
simple_iter,ellecs,,,,82282919.0,ns,6699
simple_iter,ellecs,,,,84672565.0,ns,6776
simple_iter,ellecs,,,,84836795.0,ns,6853
simple_iter,ellecs,,,,87440131.0,ns,6930
simple_iter,ellecs,,,,87058011.0,ns,7007
simple_iter,ellecs,,,,88257090.0,ns,7084
simple_iter,ellecs,,,,88758869.0,ns,7161
simple_iter,ellecs,,,,95058199.0,ns,7238
simple_iter,ellecs,,,,92666203.0,ns,7315
simple_iter,ellecs,,,,91593185.0,ns,7392
simple_iter,ellecs,,,,92378513.0,ns,7469
simple_iter,ellecs,,,,92838812.0,ns,7546
simple_iter,ellecs,,,,96369516.0,ns,7623
simple_iter,ellecs,,,,94226940.0,ns,7700
