group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,hecs,,,,999228.0,ns,45
simple_iter,hecs,,,,2004357.0,ns,90
simple_iter,hecs,,,,3005166.0,ns,135
simple_iter,hecs,,,,3998084.0,ns,180
simple_iter,hecs,,,,5000213.0,ns,225
simple_iter,hecs,,,,6010741.0,ns,270
simple_iter,hecs,,,,6998050.0,ns,315
simple_iter,hecs,,,,8005698.0,ns,360
simple_iter,hecs,,,,8998726.0,ns,405
simple_iter,hecs,,,,10005045.0,ns,450
simple_iter,hecs,,,,11007444.0,ns,495
simple_iter,hecs,,,,11999552.0,ns,540
simple_iter,hecs,,,,13010430.0,ns,585
simple_iter,hecs,,,,14012379.0,ns,630
simple_iter,hecs,,,,15002238.0,ns,675
simple_iter,hecs,,,,16016617.0,ns,720
simple_iter,hecs,,,,17001636.0,ns,765
simple_iter,hecs,,,,18008603.0,ns,810
simple_iter,hecs,,,,19017312.0,ns,855
simple_iter,hecs,,,,20002630.0,ns,900
simple_iter,hecs,,,,21010279.0,ns,945
simple_iter,hecs,,,,22042747.0,ns,990
simple_iter,hecs,,,,23050366.0,ns,1035
simple_iter,hecs,,,,24111935.0,ns,1080
simple_iter,hecs,,,,26176461.0,ns,1125
simple_iter,hecs,,,,26014002.0,ns,1170
simple_iter,hecs,,,,27011770.0,ns,1215
simple_iter,hecs,,,,28002148.0,ns,1260
simple_iter,hecs,,,,29036738.0,ns,1305
simple_iter,hecs,,,,30030345.0,ns,1350
simple_iter,hecs,,,,31016345.0,ns,1395
simple_iter,hecs,,,,32016043.0,ns,1440
simple_iter,hecs,,,,33017151.0,ns,1485
simple_iter,hecs,,,,34048880.0,ns,1530
simple_iter,hecs,,,,35030239.0,ns,1575
simple_iter,hecs,,,,36014076.0,ns,1620
simple_iter,hecs,,,,37029245.0,ns,1665
simple_iter,hecs,,,,38001404.0,ns,1710
simple_iter,hecs,,,,39004913.0,ns,1755
simple_iter,hecs,,,,40010181.0,ns,1800
simple_iter,hecs,,,,41006100.0,ns,1845
simple_iter,hecs,,,,42093938.0,ns,1890
simple_iter,hecs,,,,43028817.0,ns,1935
simple_iter,hecs,,,,44012125.0,ns,1980
simple_iter,hecs,,,,45024645.0,ns,2025
simple_iter,hecs,,,,46060092.0,ns,2070
simple_iter,hecs,,,,46994611.0,ns,2115
simple_iter,hecs,,,,48012179.0,ns,2160
simple_iter,hecs,,,,49015229.0,ns,2205
simple_iter,hecs,,,,50009396.0,ns,2250
simple_iter,hecs,,,,51617914.0,ns,2295
simple_iter,hecs,,,,52031633.0,ns,2340
simple_iter,hecs,,,,53107862.0,ns,2385
simple_iter,hecs,,,,54039440.0,ns,2430
simple_iter,hecs,,,,55003428.0,ns,2475
simple_iter,hecs,,,,56003127.0,ns,2520
simple_iter,hecs,,,,56999116.0,ns,2565
simple_iter,hecs,,,,58275525.0,ns,2610
simple_iter,hecs,,,,60174381.0,ns,2655
simple_iter,hecs,,,,60031532.0,ns,2700
simple_iter,hecs,,,,61030580.0,ns,2745
simple_iter,hecs,,,,62126678.0,ns,2790
simple_iter,hecs,,,,63424407.0,ns,2835
simple_iter,hecs,,,,64483005.0,ns,2880
simple_iter,hecs,,,,65025994.0,ns,2925
simple_iter,hecs,,,,66275423.0,ns,2970
simple_iter,hecs,,,,67099170.0,ns,3015
simple_iter,hecs,,,,68094109.0,ns,3060
simple_iter,hecs,,,,68981008.0,ns,3105
simple_iter,hecs,,,,70083197.0,ns,3150
simple_iter,hecs,,,,71166435.0,ns,3195
simple_iter,hecs,,,,72151554.0,ns,3240
simple_iter,hecs,,,,73038472.0,ns,3285
simple_iter,hecs,,,,73979971.0,ns,3330
simple_iter,hecs,,,,74992529.0,ns,3375
simple_iter,hecs,,,,75985218.0,ns,3420
simple_iter,hecs,,,,76975747.0,ns,3465
simple_iter,hecs,,,,78468623.0,ns,3510
simple_iter,hecs,,,,79009814.0,ns,3555
simple_iter,hecs,,,,79989452.0,ns,3600
simple_iter,hecs,,,,81199000.0,ns,3645
simple_iter,hecs,,,,81982778.0,ns,3690
simple_iter,hecs,,,,83007238.0,ns,3735
simple_iter,hecs,,,,84037146.0,ns,3780
simple_iter,hecs,,,,84990694.0,ns,3825
simple_iter,hecs,,,,86158602.0,ns,3870
simple_iter,hecs,,,,88752289.0,ns,3915
simple_iter,hecs,,,,88240929.0,ns,3960
simple_iter,hecs,,,,90429166.0,ns,4005
simple_iter,hecs,,,,105735493.0,ns,4050
simple_iter,hecs,,,,91186405.0,ns,4095
simple_iter,hecs,,,,95061569.0,ns,4140
simple_iter,hecs,,,,93216511.0,ns,4185
simple_iter,hecs,,,,96771117.0,ns,4230
simple_iter,hecs,,,,100996890.0,ns,4275
simple_iter,hecs,,,,96496407.0,ns,4320
simple_iter,hecs,,,,97323725.0,ns,4365
simple_iter,hecs,,,,102506068.0,ns,4410
simple_iter,hecs,,,,99359063.0,ns,4455
simple_iter,hecs,,,,100223661.0,ns,4500
