group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,legion (packed),,,,1060299.0,ns,82
simple_iter,legion (packed),,,,1973608.0,ns,164
simple_iter,legion (packed),,,,3064226.0,ns,246
simple_iter,legion (packed),,,,3945384.0,ns,328
simple_iter,legion (packed),,,,5038153.0,ns,410
simple_iter,legion (packed),,,,6074052.0,ns,492
simple_iter,legion (packed),,,,7232470.0,ns,574
simple_iter,legion (packed),,,,8046489.0,ns,656
simple_iter,legion (packed),,,,9012538.0,ns,738
simple_iter,legion (packed),,,,10102715.0,ns,820
simple_iter,legion (packed),,,,11071945.0,ns,902
simple_iter,legion (packed),,,,12063353.0,ns,984
simple_iter,legion (packed),,,,13092272.0,ns,1066
simple_iter,legion (packed),,,,14211150.0,ns,1148
simple_iter,legion (packed),,,,15176699.0,ns,1230
simple_iter,legion (packed),,,,16573427.0,ns,1312
simple_iter,legion (packed),,,,17212566.0,ns,1394
simple_iter,legion (packed),,,,18126915.0,ns,1476
simple_iter,legion (packed),,,,19086443.0,ns,1558
simple_iter,legion (packed),,,,20121192.0,ns,1640
simple_iter,legion (packed),,,,21148381.0,ns,1722
simple_iter,legion (packed),,,,22089879.0,ns,1804
simple_iter,legion (packed),,,,23245538.0,ns,1886
simple_iter,legion (packed),,,,24263107.0,ns,1968
simple_iter,legion (packed),,,,25682935.0,ns,2050
simple_iter,legion (packed),,,,26655303.0,ns,2132
simple_iter,legion (packed),,,,27588462.0,ns,2214
simple_iter,legion (packed),,,,28690851.0,ns,2296
simple_iter,legion (packed),,,,31358877.0,ns,2378
simple_iter,legion (packed),,,,31881105.0,ns,2460
simple_iter,legion (packed),,,,32323585.0,ns,2542
simple_iter,legion (packed),,,,33366013.0,ns,2624
simple_iter,legion (packed),,,,34662212.0,ns,2706
simple_iter,legion (packed),,,,34606562.0,ns,2788
simple_iter,legion (packed),,,,35142702.0,ns,2870
simple_iter,legion (packed),,,,36404979.0,ns,2952
simple_iter,legion (packed),,,,37456058.0,ns,3034
simple_iter,legion (packed),,,,38104477.0,ns,3116
simple_iter,legion (packed),,,,39629295.0,ns,3198
simple_iter,legion (packed),,,,40288344.0,ns,3280
simple_iter,legion (packed),,,,41507672.0,ns,3362
simple_iter,legion (packed),,,,42251261.0,ns,3444
simple_iter,legion (packed),,,,43626769.0,ns,3526
simple_iter,legion (packed),,,,43964559.0,ns,3608
simple_iter,legion (packed),,,,45587606.0,ns,3690
simple_iter,legion (packed),,,,45473307.0,ns,3772
simple_iter,legion (packed),,,,46477935.0,ns,3854
simple_iter,legion (packed),,,,47947483.0,ns,3936
simple_iter,legion (packed),,,,49137131.0,ns,4018
simple_iter,legion (packed),,,,49899440.0,ns,4100
simple_iter,legion (packed),,,,50748169.0,ns,4182
simple_iter,legion (packed),,,,53435426.0,ns,4264
simple_iter,legion (packed),,,,52953017.0,ns,4346
simple_iter,legion (packed),,,,53896225.0,ns,4428
simple_iter,legion (packed),,,,54547594.0,ns,4510
simple_iter,legion (packed),,,,55340463.0,ns,4592
simple_iter,legion (packed),,,,56291992.0,ns,4674
simple_iter,legion (packed),,,,57826610.0,ns,4756
simple_iter,legion (packed),,,,58360419.0,ns,4838
simple_iter,legion (packed),,,,59275728.0,ns,4920
simple_iter,legion (packed),,,,61362054.0,ns,5002
simple_iter,legion (packed),,,,62185093.0,ns,5084
simple_iter,legion (packed),,,,63101211.0,ns,5166
simple_iter,legion (packed),,,,63542452.0,ns,5248
simple_iter,legion (packed),,,,64358480.0,ns,5330
simple_iter,legion (packed),,,,66760047.0,ns,5412
simple_iter,legion (packed),,,,66365218.0,ns,5494
simple_iter,legion (packed),,,,67210636.0,ns,5576
simple_iter,legion (packed),,,,68978083.0,ns,5658
simple_iter,legion (packed),,,,69126893.0,ns,5740
simple_iter,legion (packed),,,,70147323.0,ns,5822
simple_iter,legion (packed),,,,71554930.0,ns,5904
simple_iter,legion (packed),,,,75189915.0,ns,5986
simple_iter,legion (packed),,,,72998608.0,ns,6068
simple_iter,legion (packed),,,,77150752.0,ns,6150
simple_iter,legion (packed),,,,75317825.0,ns,6232
simple_iter,legion (packed),,,,75974874.0,ns,6314
simple_iter,legion (packed),,,,82117895.0,ns,6396
simple_iter,legion (packed),,,,78217521.0,ns,6478
simple_iter,legion (packed),,,,78868980.0,ns,6560
simple_iter,legion (packed),,,,85019731.0,ns,6642
simple_iter,legion (packed),,,,88720116.0,ns,6724
simple_iter,legion (packed),,,,82787914.0,ns,6806
simple_iter,legion (packed),,,,82811045.0,ns,6888
simple_iter,legion (packed),,,,85682040.0,ns,6970
simple_iter,legion (packed),,,,84894361.0,ns,7052
simple_iter,legion (packed),,,,85802530.0,ns,7134
simple_iter,legion (packed),,,,87726508.0,ns,7216
simple_iter,legion (packed),,,,87755277.0,ns,7298
simple_iter,legion (packed),,,,90290533.0,ns,7380
simple_iter,legion (packed),,,,96727995.0,ns,7462
simple_iter,legion (packed),,,,96900755.0,ns,7544
simple_iter,legion (packed),,,,91750022.0,ns,7626
simple_iter,legion (packed),,,,102900607.0,ns,7708
simple_iter,legion (packed),,,,99047051.0,ns,7790
simple_iter,legion (packed),,,,94657507.0,ns,7872
simple_iter,legion (packed),,,,99668490.0,ns,7954
simple_iter,legion (packed),,,,99239041.0,ns,8036
simple_iter,legion (packed),,,,97935353.0,ns,8118
simple_iter,legion (packed),,,,104048555.0,ns,8200
