group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,legion,,,,974928.0,ns,81
simple_iter,legion,,,,1947677.0,ns,162
simple_iter,legion,,,,2923726.0,ns,243
simple_iter,legion,,,,3896165.0,ns,324
simple_iter,legion,,,,4943693.0,ns,405
simple_iter,legion,,,,5845132.0,ns,486
simple_iter,legion,,,,6826510.0,ns,567
simple_iter,legion,,,,8374838.0,ns,648
simple_iter,legion,,,,8778438.0,ns,729
simple_iter,legion,,,,9749967.0,ns,810
simple_iter,legion,,,,10720405.0,ns,891
simple_iter,legion,,,,11708485.0,ns,972
simple_iter,legion,,,,12663063.0,ns,1053
simple_iter,legion,,,,13812001.0,ns,1134
simple_iter,legion,,,,15068909.0,ns,1215
simple_iter,legion,,,,15982409.0,ns,1296
simple_iter,legion,,,,16694197.0,ns,1377
simple_iter,legion,,,,18395215.0,ns,1458
simple_iter,legion,,,,18777035.0,ns,1539
simple_iter,legion,,,,19713143.0,ns,1620
simple_iter,legion,,,,20610262.0,ns,1701
simple_iter,legion,,,,21479941.0,ns,1782
simple_iter,legion,,,,22486329.0,ns,1863
simple_iter,legion,,,,23485408.0,ns,1944
simple_iter,legion,,,,24927427.0,ns,2025
simple_iter,legion,,,,26722194.0,ns,2106
simple_iter,legion,,,,26714734.0,ns,2187
simple_iter,legion,,,,27363503.0,ns,2268
simple_iter,legion,,,,28355272.0,ns,2349
simple_iter,legion,,,,29314111.0,ns,2430
simple_iter,legion,,,,30285669.0,ns,2511
simple_iter,legion,,,,31253108.0,ns,2592
simple_iter,legion,,,,32243616.0,ns,2673
simple_iter,legion,,,,33266735.0,ns,2754
simple_iter,legion,,,,34210554.0,ns,2835
simple_iter,legion,,,,35156812.0,ns,2916
simple_iter,legion,,,,36197000.0,ns,2997
simple_iter,legion,,,,37254599.0,ns,3078
simple_iter,legion,,,,38104048.0,ns,3159
simple_iter,legion,,,,39084007.0,ns,3240
simple_iter,legion,,,,40028875.0,ns,3321
simple_iter,legion,,,,44130169.0,ns,3402
simple_iter,legion,,,,44958279.0,ns,3483
simple_iter,legion,,,,45686888.0,ns,3564
simple_iter,legion,,,,46808996.0,ns,3645
simple_iter,legion,,,,44823519.0,ns,3726
simple_iter,legion,,,,45790857.0,ns,3807
simple_iter,legion,,,,46750356.0,ns,3888
simple_iter,legion,,,,47709004.0,ns,3969
simple_iter,legion,,,,48843523.0,ns,4050
simple_iter,legion,,,,49826892.0,ns,4131
simple_iter,legion,,,,50735461.0,ns,4212
simple_iter,legion,,,,52265548.0,ns,4293
simple_iter,legion,,,,52732068.0,ns,4374
simple_iter,legion,,,,53599147.0,ns,4455
simple_iter,legion,,,,54642395.0,ns,4536
simple_iter,legion,,,,56311133.0,ns,4617
simple_iter,legion,,,,59403959.0,ns,4698
simple_iter,legion,,,,61847466.0,ns,4779
simple_iter,legion,,,,63810273.0,ns,4860
simple_iter,legion,,,,61191726.0,ns,4941
simple_iter,legion,,,,62915884.0,ns,5022
simple_iter,legion,,,,65166240.0,ns,5103
simple_iter,legion,,,,63665902.0,ns,5184
simple_iter,legion,,,,67957027.0,ns,5265
simple_iter,legion,,,,64903890.0,ns,5346
simple_iter,legion,,,,65613511.0,ns,5427
simple_iter,legion,,,,66678309.0,ns,5508
simple_iter,legion,,,,67716968.0,ns,5589
simple_iter,legion,,,,68415417.0,ns,5670
simple_iter,legion,,,,74314658.0,ns,5751
simple_iter,legion,,,,73398280.0,ns,5832
simple_iter,legion,,,,72708310.0,ns,5913
simple_iter,legion,,,,74047349.0,ns,5994
simple_iter,legion,,,,74163079.0,ns,6075
simple_iter,legion,,,,76890595.0,ns,6156
simple_iter,legion,,,,76810645.0,ns,6237
simple_iter,legion,,,,79704281.0,ns,6318
simple_iter,legion,,,,78663452.0,ns,6399
simple_iter,legion,,,,78312603.0,ns,6480
simple_iter,legion,,,,78952361.0,ns,6561
simple_iter,legion,,,,79908300.0,ns,6642
simple_iter,legion,,,,81488538.0,ns,6723
simple_iter,legion,,,,82725387.0,ns,6804
simple_iter,legion,,,,82905976.0,ns,6885
simple_iter,legion,,,,84522085.0,ns,6966
simple_iter,legion,,,,85435853.0,ns,7047
simple_iter,legion,,,,85873112.0,ns,7128
simple_iter,legion,,,,86976881.0,ns,7209
simple_iter,legion,,,,87955710.0,ns,7290
simple_iter,legion,,,,88642728.0,ns,7371
simple_iter,legion,,,,89597867.0,ns,7452
simple_iter,legion,,,,90585906.0,ns,7533
simple_iter,legion,,,,91590075.0,ns,7614
simple_iter,legion,,,,92526033.0,ns,7695
simple_iter,legion,,,,95314949.0,ns,7776
simple_iter,legion,,,,95272689.0,ns,7857
simple_iter,legion,,,,95461670.0,ns,7938
simple_iter,legion,,,,96445677.0,ns,8019
simple_iter,legion,,,,97436206.0,ns,8100
