group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,legion_0.2.4,,,,988229.0,ns,82
simple_iter,legion_0.2.4,,,,1980638.0,ns,164
simple_iter,legion_0.2.4,,,,2967565.0,ns,246
simple_iter,legion_0.2.4,,,,3953214.0,ns,328
simple_iter,legion_0.2.4,,,,4947563.0,ns,410
simple_iter,legion_0.2.4,,,,5936641.0,ns,492
simple_iter,legion_0.2.4,,,,6934460.0,ns,574
simple_iter,legion_0.2.4,,,,7919470.0,ns,656
simple_iter,legion_0.2.4,,,,8912768.0,ns,738
simple_iter,legion_0.2.4,,,,9900676.0,ns,820
simple_iter,legion_0.2.4,,,,10905144.0,ns,902
simple_iter,legion_0.2.4,,,,11893003.0,ns,984
simple_iter,legion_0.2.4,,,,12886862.0,ns,1066
simple_iter,legion_0.2.4,,,,14207270.0,ns,1148
simple_iter,legion_0.2.4,,,,14936618.0,ns,1230
simple_iter,legion_0.2.4,,,,15861037.0,ns,1312
simple_iter,legion_0.2.4,,,,16846807.0,ns,1394
simple_iter,legion_0.2.4,,,,18186394.0,ns,1476
simple_iter,legion_0.2.4,,,,18835323.0,ns,1558
simple_iter,legion_0.2.4,,,,19827772.0,ns,1640
simple_iter,legion_0.2.4,,,,21580810.0,ns,1722
simple_iter,legion_0.2.4,,,,21815269.0,ns,1804
simple_iter,legion_0.2.4,,,,22778617.0,ns,1886
simple_iter,legion_0.2.4,,,,23800056.0,ns,1968
simple_iter,legion_0.2.4,,,,25728764.0,ns,2050
simple_iter,legion_0.2.4,,,,26344183.0,ns,2132
simple_iter,legion_0.2.4,,,,27360571.0,ns,2214
simple_iter,legion_0.2.4,,,,27714791.0,ns,2296
simple_iter,legion_0.2.4,,,,28742899.0,ns,2378
simple_iter,legion_0.2.4,,,,29754788.0,ns,2460
simple_iter,legion_0.2.4,,,,32280064.0,ns,2542
simple_iter,legion_0.2.4,,,,32963673.0,ns,2624
simple_iter,legion_0.2.4,,,,32981624.0,ns,2706
simple_iter,legion_0.2.4,,,,34780730.0,ns,2788
simple_iter,legion_0.2.4,,,,34797231.0,ns,2870
simple_iter,legion_0.2.4,,,,38348865.0,ns,2952
simple_iter,legion_0.2.4,,,,38729595.0,ns,3034
simple_iter,legion_0.2.4,,,,40328963.0,ns,3116
simple_iter,legion_0.2.4,,,,41808811.0,ns,3198
simple_iter,legion_0.2.4,,,,42534120.0,ns,3280
simple_iter,legion_0.2.4,,,,41401832.0,ns,3362
simple_iter,legion_0.2.4,,,,45239796.0,ns,3444
simple_iter,legion_0.2.4,,,,44588007.0,ns,3526
simple_iter,legion_0.2.4,,,,43908547.0,ns,3608
simple_iter,legion_0.2.4,,,,46297725.0,ns,3690
simple_iter,legion_0.2.4,,,,45512186.0,ns,3772
simple_iter,legion_0.2.4,,,,46516403.0,ns,3854
simple_iter,legion_0.2.4,,,,48429042.0,ns,3936
simple_iter,legion_0.2.4,,,,48508952.0,ns,4018
simple_iter,legion_0.2.4,,,,49473210.0,ns,4100
simple_iter,legion_0.2.4,,,,52459766.0,ns,4182
simple_iter,legion_0.2.4,,,,54630693.0,ns,4264
simple_iter,legion_0.2.4,,,,56135280.0,ns,4346
simple_iter,legion_0.2.4,,,,56134861.0,ns,4428
simple_iter,legion_0.2.4,,,,58191388.0,ns,4510
simple_iter,legion_0.2.4,,,,60454534.0,ns,4592
simple_iter,legion_0.2.4,,,,59027126.0,ns,4674
simple_iter,legion_0.2.4,,,,59067246.0,ns,4756
simple_iter,legion_0.2.4,,,,61270573.0,ns,4838
simple_iter,legion_0.2.4,,,,61403723.0,ns,4920
simple_iter,legion_0.2.4,,,,63797980.0,ns,5002
simple_iter,legion_0.2.4,,,,64182919.0,ns,5084
simple_iter,legion_0.2.4,,,,64123449.0,ns,5166
simple_iter,legion_0.2.4,,,,64939878.0,ns,5248
simple_iter,legion_0.2.4,,,,65810506.0,ns,5330
simple_iter,legion_0.2.4,,,,66724955.0,ns,5412
simple_iter,legion_0.2.4,,,,68641872.0,ns,5494
simple_iter,legion_0.2.4,,,,69734241.0,ns,5576
simple_iter,legion_0.2.4,,,,69908941.0,ns,5658
simple_iter,legion_0.2.4,,,,71135549.0,ns,5740
simple_iter,legion_0.2.4,,,,73157217.0,ns,5822
simple_iter,legion_0.2.4,,,,75056783.0,ns,5904
simple_iter,legion_0.2.4,,,,73925075.0,ns,5986
simple_iter,legion_0.2.4,,,,74631405.0,ns,6068
simple_iter,legion_0.2.4,,,,76503921.0,ns,6150
simple_iter,legion_0.2.4,,,,77426440.0,ns,6232
simple_iter,legion_0.2.4,,,,78918817.0,ns,6314
simple_iter,legion_0.2.4,,,,78870698.0,ns,6396
simple_iter,legion_0.2.4,,,,80170137.0,ns,6478
simple_iter,legion_0.2.4,,,,82245293.0,ns,6560
simple_iter,legion_0.2.4,,,,82451362.0,ns,6642
simple_iter,legion_0.2.4,,,,83893690.0,ns,6724
simple_iter,legion_0.2.4,,,,84178050.0,ns,6806
simple_iter,legion_0.2.4,,,,86658597.0,ns,6888
simple_iter,legion_0.2.4,,,,86259977.0,ns,6970
simple_iter,legion_0.2.4,,,,87987505.0,ns,7052
simple_iter,legion_0.2.4,,,,91834859.0,ns,7134
simple_iter,legion_0.2.4,,,,90473391.0,ns,7216
simple_iter,legion_0.2.4,,,,94168127.0,ns,7298
simple_iter,legion_0.2.4,,,,97099162.0,ns,7380
simple_iter,legion_0.2.4,,,,97205042.0,ns,7462
simple_iter,legion_0.2.4,,,,91959119.0,ns,7544
simple_iter,legion_0.2.4,,,,93106777.0,ns,7626
simple_iter,legion_0.2.4,,,,94322905.0,ns,7708
simple_iter,legion_0.2.4,,,,95220164.0,ns,7790
simple_iter,legion_0.2.4,,,,96146953.0,ns,7872
simple_iter,legion_0.2.4,,,,97523701.0,ns,7954
simple_iter,legion_0.2.4,,,,98046570.0,ns,8036
simple_iter,legion_0.2.4,,,,101373186.0,ns,8118
simple_iter,legion_0.2.4,,,,103645352.0,ns,8200
