group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,shipyard (packed),,,,997398.0,ns,36
simple_iter,shipyard (packed),,,,1996517.0,ns,72
simple_iter,shipyard (packed),,,,2986195.0,ns,108
simple_iter,shipyard (packed),,,,3996684.0,ns,144
simple_iter,shipyard (packed),,,,5010203.0,ns,180
simple_iter,shipyard (packed),,,,5991810.0,ns,216
simple_iter,shipyard (packed),,,,6995669.0,ns,252
simple_iter,shipyard (packed),,,,7979997.0,ns,288
simple_iter,shipyard (packed),,,,8993707.0,ns,324
simple_iter,shipyard (packed),,,,9991005.0,ns,360
simple_iter,shipyard (packed),,,,10982103.0,ns,396
simple_iter,shipyard (packed),,,,11990002.0,ns,432
simple_iter,shipyard (packed),,,,13007010.0,ns,468
simple_iter,shipyard (packed),,,,14004828.0,ns,504
simple_iter,shipyard (packed),,,,15122297.0,ns,540
simple_iter,shipyard (packed),,,,17001645.0,ns,576
simple_iter,shipyard (packed),,,,17562253.0,ns,612
simple_iter,shipyard (packed),,,,18032433.0,ns,648
simple_iter,shipyard (packed),,,,19012850.0,ns,684
simple_iter,shipyard (packed),,,,20233200.0,ns,720
simple_iter,shipyard (packed),,,,21352897.0,ns,756
simple_iter,shipyard (packed),,,,22510476.0,ns,792
simple_iter,shipyard (packed),,,,23449654.0,ns,828
simple_iter,shipyard (packed),,,,24129284.0,ns,864
simple_iter,shipyard (packed),,,,25026631.0,ns,900
simple_iter,shipyard (packed),,,,25953030.0,ns,936
simple_iter,shipyard (packed),,,,26963889.0,ns,972
simple_iter,shipyard (packed),,,,27934688.0,ns,1008
simple_iter,shipyard (packed),,,,28910995.0,ns,1044
simple_iter,shipyard (packed),,,,29919034.0,ns,1080
simple_iter,shipyard (packed),,,,38074872.0,ns,1116
simple_iter,shipyard (packed),,,,31949211.0,ns,1152
simple_iter,shipyard (packed),,,,33569279.0,ns,1188
simple_iter,shipyard (packed),,,,34596347.0,ns,1224
simple_iter,shipyard (packed),,,,35457836.0,ns,1260
simple_iter,shipyard (packed),,,,36619774.0,ns,1296
simple_iter,shipyard (packed),,,,37397013.0,ns,1332
simple_iter,shipyard (packed),,,,37988471.0,ns,1368
simple_iter,shipyard (packed),,,,38954300.0,ns,1404
simple_iter,shipyard (packed),,,,39855810.0,ns,1440
simple_iter,shipyard (packed),,,,40935077.0,ns,1476
simple_iter,shipyard (packed),,,,42006415.0,ns,1512
simple_iter,shipyard (packed),,,,42863794.0,ns,1548
simple_iter,shipyard (packed),,,,43933843.0,ns,1584
simple_iter,shipyard (packed),,,,44818931.0,ns,1620
simple_iter,shipyard (packed),,,,45951440.0,ns,1656
simple_iter,shipyard (packed),,,,46950419.0,ns,1692
simple_iter,shipyard (packed),,,,47841477.0,ns,1728
simple_iter,shipyard (packed),,,,49253075.0,ns,1764
simple_iter,shipyard (packed),,,,49869444.0,ns,1800
simple_iter,shipyard (packed),,,,50910522.0,ns,1836
simple_iter,shipyard (packed),,,,51912810.0,ns,1872
simple_iter,shipyard (packed),,,,53001369.0,ns,1908
simple_iter,shipyard (packed),,,,53909257.0,ns,1944
simple_iter,shipyard (packed),,,,54951056.0,ns,1980
simple_iter,shipyard (packed),,,,55886365.0,ns,2016
simple_iter,shipyard (packed),,,,56953812.0,ns,2052
simple_iter,shipyard (packed),,,,57974451.0,ns,2088
simple_iter,shipyard (packed),,,,58894980.0,ns,2124
simple_iter,shipyard (packed),,,,60083907.0,ns,2160
simple_iter,shipyard (packed),,,,60882777.0,ns,2196
simple_iter,shipyard (packed),,,,61779445.0,ns,2232
simple_iter,shipyard (packed),,,,63054073.0,ns,2268
simple_iter,shipyard (packed),,,,63906682.0,ns,2304
simple_iter,shipyard (packed),,,,64914521.0,ns,2340
simple_iter,shipyard (packed),,,,65870989.0,ns,2376
simple_iter,shipyard (packed),,,,67095706.0,ns,2412
simple_iter,shipyard (packed),,,,67900236.0,ns,2448
simple_iter,shipyard (packed),,,,69361984.0,ns,2484
simple_iter,shipyard (packed),,,,69923123.0,ns,2520
simple_iter,shipyard (packed),,,,70796201.0,ns,2556
simple_iter,shipyard (packed),,,,71946360.0,ns,2592
simple_iter,shipyard (packed),,,,73293737.0,ns,2628
simple_iter,shipyard (packed),,,,73812807.0,ns,2664
simple_iter,shipyard (packed),,,,74866705.0,ns,2700
simple_iter,shipyard (packed),,,,76261463.0,ns,2736
simple_iter,shipyard (packed),,,,76592692.0,ns,2772
simple_iter,shipyard (packed),,,,78715648.0,ns,2808
simple_iter,shipyard (packed),,,,79352928.0,ns,2844
simple_iter,shipyard (packed),,,,80251887.0,ns,2880
simple_iter,shipyard (packed),,,,80791176.0,ns,2916
simple_iter,shipyard (packed),,,,82151554.0,ns,2952
simple_iter,shipyard (packed),,,,82650903.0,ns,2988
simple_iter,shipyard (packed),,,,83737511.0,ns,3024
simple_iter,shipyard (packed),,,,84785639.0,ns,3060
simple_iter,shipyard (packed),,,,85930728.0,ns,3096
simple_iter,shipyard (packed),,,,86712397.0,ns,3132
simple_iter,shipyard (packed),,,,87716926.0,ns,3168
simple_iter,shipyard (packed),,,,88772604.0,ns,3204
simple_iter,shipyard (packed),,,,89589862.0,ns,3240
simple_iter,shipyard (packed),,,,90955600.0,ns,3276
simple_iter,shipyard (packed),,,,92375588.0,ns,3312
simple_iter,shipyard (packed),,,,93044336.0,ns,3348
simple_iter,shipyard (packed),,,,94257485.0,ns,3384
simple_iter,shipyard (packed),,,,94689784.0,ns,3420
simple_iter,shipyard (packed),,,,96295712.0,ns,3456
simple_iter,shipyard (packed),,,,97042380.0,ns,3492
simple_iter,shipyard (packed),,,,98049989.0,ns,3528
simple_iter,shipyard (packed),,,,98827518.0,ns,3564
simple_iter,shipyard (packed),,,,99960246.0,ns,3600
