group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,shipyard,,,,923898.0,ns,12
simple_iter,shipyard,,,,1876838.0,ns,24
simple_iter,shipyard,,,,2864786.0,ns,36
simple_iter,shipyard,,,,3896984.0,ns,48
simple_iter,shipyard,,,,4736383.0,ns,60
simple_iter,shipyard,,,,5838751.0,ns,72
simple_iter,shipyard,,,,7486359.0,ns,84
simple_iter,shipyard,,,,8430367.0,ns,96
simple_iter,shipyard,,,,8548117.0,ns,108
simple_iter,shipyard,,,,9767224.0,ns,120
simple_iter,shipyard,,,,11229443.0,ns,132
simple_iter,shipyard,,,,11425442.0,ns,144
simple_iter,shipyard,,,,12296411.0,ns,156
simple_iter,shipyard,,,,13934279.0,ns,168
simple_iter,shipyard,,,,14941718.0,ns,180
simple_iter,shipyard,,,,15197007.0,ns,192
simple_iter,shipyard,,,,16372795.0,ns,204
simple_iter,shipyard,,,,17183044.0,ns,216
simple_iter,shipyard,,,,18097063.0,ns,228
simple_iter,shipyard,,,,18940351.0,ns,240
simple_iter,shipyard,,,,20032440.0,ns,252
simple_iter,shipyard,,,,21123628.0,ns,264
simple_iter,shipyard,,,,21842367.0,ns,276
simple_iter,shipyard,,,,22761246.0,ns,288
simple_iter,shipyard,,,,23843915.0,ns,300
simple_iter,shipyard,,,,25404922.0,ns,312
simple_iter,shipyard,,,,26690940.0,ns,324
simple_iter,shipyard,,,,30515544.0,ns,336
simple_iter,shipyard,,,,29557495.0,ns,348
simple_iter,shipyard,,,,29399916.0,ns,360
simple_iter,shipyard,,,,29855825.0,ns,372
simple_iter,shipyard,,,,31743822.0,ns,384
simple_iter,shipyard,,,,34434089.0,ns,396
simple_iter,shipyard,,,,33968669.0,ns,408
simple_iter,shipyard,,,,33372339.0,ns,420
simple_iter,shipyard,,,,34685138.0,ns,432
simple_iter,shipyard,,,,35662485.0,ns,444
simple_iter,shipyard,,,,37346644.0,ns,456
simple_iter,shipyard,,,,37996103.0,ns,468
simple_iter,shipyard,,,,39687869.0,ns,480
simple_iter,shipyard,,,,40926478.0,ns,492
simple_iter,shipyard,,,,40020810.0,ns,504
simple_iter,shipyard,,,,40838508.0,ns,516
simple_iter,shipyard,,,,41604918.0,ns,528
simple_iter,shipyard,,,,42567355.0,ns,540
simple_iter,shipyard,,,,43499685.0,ns,552
simple_iter,shipyard,,,,44565842.0,ns,564
simple_iter,shipyard,,,,45833461.0,ns,576
simple_iter,shipyard,,,,46575429.0,ns,588
simple_iter,shipyard,,,,47441158.0,ns,600
simple_iter,shipyard,,,,48497627.0,ns,612
simple_iter,shipyard,,,,49191326.0,ns,624
simple_iter,shipyard,,,,50134725.0,ns,636
simple_iter,shipyard,,,,51071274.0,ns,648
simple_iter,shipyard,,,,52035241.0,ns,660
simple_iter,shipyard,,,,53022130.0,ns,672
simple_iter,shipyard,,,,54150628.0,ns,684
simple_iter,shipyard,,,,54710428.0,ns,696
simple_iter,shipyard,,,,66839238.0,ns,708
simple_iter,shipyard,,,,56834924.0,ns,720
simple_iter,shipyard,,,,57460823.0,ns,732
simple_iter,shipyard,,,,60382459.0,ns,744
simple_iter,shipyard,,,,63501433.0,ns,756
simple_iter,shipyard,,,,64500933.0,ns,768
simple_iter,shipyard,,,,65595571.0,ns,780
simple_iter,shipyard,,,,66511579.0,ns,792
simple_iter,shipyard,,,,67528508.0,ns,804
simple_iter,shipyard,,,,68535166.0,ns,816
simple_iter,shipyard,,,,69606155.0,ns,828
simple_iter,shipyard,,,,71910663.0,ns,840
simple_iter,shipyard,,,,68333477.0,ns,852
simple_iter,shipyard,,,,68953187.0,ns,864
simple_iter,shipyard,,,,69003286.0,ns,876
simple_iter,shipyard,,,,70058534.0,ns,888
simple_iter,shipyard,,,,70656824.0,ns,900
simple_iter,shipyard,,,,71860502.0,ns,912
simple_iter,shipyard,,,,72729350.0,ns,924
simple_iter,shipyard,,,,75905665.0,ns,936
simple_iter,shipyard,,,,79665420.0,ns,948
simple_iter,shipyard,,,,80731548.0,ns,960
simple_iter,shipyard,,,,81753587.0,ns,972
simple_iter,shipyard,,,,82852825.0,ns,984
simple_iter,shipyard,,,,83761544.0,ns,996
simple_iter,shipyard,,,,84676242.0,ns,1008
simple_iter,shipyard,,,,83462404.0,ns,1020
simple_iter,shipyard,,,,85816330.0,ns,1032
simple_iter,shipyard,,,,87556637.0,ns,1044
simple_iter,shipyard,,,,88770865.0,ns,1056
simple_iter,shipyard,,,,89528955.0,ns,1068
simple_iter,shipyard,,,,88929926.0,ns,1080
simple_iter,shipyard,,,,87942298.0,ns,1092
simple_iter,shipyard,,,,87588038.0,ns,1104
simple_iter,shipyard,,,,88860696.0,ns,1116
simple_iter,shipyard,,,,94829717.0,ns,1128
simple_iter,shipyard,,,,94062117.0,ns,1140
simple_iter,shipyard,,,,91474011.0,ns,1152
simple_iter,shipyard,,,,92561080.0,ns,1164
simple_iter,shipyard,,,,96232705.0,ns,1176
simple_iter,shipyard,,,,95899754.0,ns,1188
simple_iter,shipyard,,,,95677495.0,ns,1200
