group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,specs,,,,982469.0,ns,27
simple_iter,specs,,,,1966897.0,ns,54
simple_iter,specs,,,,2964725.0,ns,81
simple_iter,specs,,,,3928924.0,ns,108
simple_iter,specs,,,,4910013.0,ns,135
simple_iter,specs,,,,5898900.0,ns,162
simple_iter,specs,,,,6863979.0,ns,189
simple_iter,specs,,,,8196557.0,ns,216
simple_iter,specs,,,,8872176.0,ns,243
simple_iter,specs,,,,9827115.0,ns,270
simple_iter,specs,,,,10837093.0,ns,297
simple_iter,specs,,,,11860872.0,ns,324
simple_iter,specs,,,,12691250.0,ns,351
simple_iter,specs,,,,13772258.0,ns,378
simple_iter,specs,,,,14744287.0,ns,405
simple_iter,specs,,,,15787506.0,ns,432
simple_iter,specs,,,,16715253.0,ns,459
simple_iter,specs,,,,17706063.0,ns,486
simple_iter,specs,,,,18721321.0,ns,513
simple_iter,specs,,,,19735699.0,ns,540
simple_iter,specs,,,,20670248.0,ns,567
simple_iter,specs,,,,21558756.0,ns,594
simple_iter,specs,,,,22639615.0,ns,621
simple_iter,specs,,,,23664813.0,ns,648
simple_iter,specs,,,,24695122.0,ns,675
simple_iter,specs,,,,25570210.0,ns,702
simple_iter,specs,,,,26524649.0,ns,729
simple_iter,specs,,,,27559337.0,ns,756
simple_iter,specs,,,,28497346.0,ns,783
simple_iter,specs,,,,29514664.0,ns,810
simple_iter,specs,,,,30507193.0,ns,837
simple_iter,specs,,,,31967480.0,ns,864
simple_iter,specs,,,,32595790.0,ns,891
simple_iter,specs,,,,33576118.0,ns,918
simple_iter,specs,,,,34427767.0,ns,945
simple_iter,specs,,,,35417455.0,ns,972
simple_iter,specs,,,,36406403.0,ns,999
simple_iter,specs,,,,37401211.0,ns,1026
simple_iter,specs,,,,38464710.0,ns,1053
simple_iter,specs,,,,39449758.0,ns,1080
simple_iter,specs,,,,40572187.0,ns,1107
simple_iter,specs,,,,41736555.0,ns,1134
simple_iter,specs,,,,42238843.0,ns,1161
simple_iter,specs,,,,43307552.0,ns,1188
simple_iter,specs,,,,44513941.0,ns,1215
simple_iter,specs,,,,45285139.0,ns,1242
simple_iter,specs,,,,46250797.0,ns,1269
simple_iter,specs,,,,47205927.0,ns,1296
simple_iter,specs,,,,49316313.0,ns,1323
simple_iter,specs,,,,49334123.0,ns,1350
simple_iter,specs,,,,50392322.0,ns,1377
simple_iter,specs,,,,51190001.0,ns,1404
simple_iter,specs,,,,58976018.0,ns,1431
simple_iter,specs,,,,53347437.0,ns,1458
simple_iter,specs,,,,54350125.0,ns,1485
simple_iter,specs,,,,55688403.0,ns,1512
simple_iter,specs,,,,57006261.0,ns,1539
simple_iter,specs,,,,59708757.0,ns,1566
simple_iter,specs,,,,60112327.0,ns,1593
simple_iter,specs,,,,60127206.0,ns,1620
simple_iter,specs,,,,60732355.0,ns,1647
simple_iter,specs,,,,61000875.0,ns,1674
simple_iter,specs,,,,62596582.0,ns,1701
simple_iter,specs,,,,62890223.0,ns,1728
simple_iter,specs,,,,65051588.0,ns,1755
simple_iter,specs,,,,64681099.0,ns,1782
simple_iter,specs,,,,66301528.0,ns,1809
simple_iter,specs,,,,67707504.0,ns,1836
simple_iter,specs,,,,68922733.0,ns,1863
simple_iter,specs,,,,71385579.0,ns,1890
simple_iter,specs,,,,70069631.0,ns,1917
simple_iter,specs,,,,70742339.0,ns,1944
simple_iter,specs,,,,71694098.0,ns,1971
simple_iter,specs,,,,72733267.0,ns,1998
simple_iter,specs,,,,73888175.0,ns,2025
simple_iter,specs,,,,74680963.0,ns,2052
simple_iter,specs,,,,75603522.0,ns,2079
simple_iter,specs,,,,76644651.0,ns,2106
simple_iter,specs,,,,77601819.0,ns,2133
simple_iter,specs,,,,78720897.0,ns,2160
simple_iter,specs,,,,79573746.0,ns,2187
simple_iter,specs,,,,80559903.0,ns,2214
simple_iter,specs,,,,104436047.0,ns,2241
simple_iter,specs,,,,82783041.0,ns,2268
simple_iter,specs,,,,83388670.0,ns,2295
simple_iter,specs,,,,84580398.0,ns,2322
simple_iter,specs,,,,85607976.0,ns,2349
simple_iter,specs,,,,86580364.0,ns,2376
simple_iter,specs,,,,87731563.0,ns,2403
simple_iter,specs,,,,88526122.0,ns,2430
simple_iter,specs,,,,89900120.0,ns,2457
simple_iter,specs,,,,94073603.0,ns,2484
simple_iter,specs,,,,92155906.0,ns,2511
simple_iter,specs,,,,94720772.0,ns,2538
simple_iter,specs,,,,96456509.0,ns,2565
simple_iter,specs,,,,97020138.0,ns,2592
simple_iter,specs,,,,95809030.0,ns,2619
simple_iter,specs,,,,96970199.0,ns,2646
simple_iter,specs,,,,97440238.0,ns,2673
simple_iter,specs,,,,98735635.0,ns,2700
